Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 160","Kawartha Lakes",0,14,20,4,19,92,3,152,390
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 161","Brock",0,7,24,3,18,109,4,165,439
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 162","Cannington",4,37,46,9,37,84,1,218,445
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 163","Brock",0,32,56,8,33,112,0,241,409
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 164","Brock",5,17,54,14,49,126,2,267,481
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 165","Brock",5,24,55,7,34,128,2,255,465
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 166","Kawartha Lakes",0,6,13,1,8,59,0,87,244
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 167","Kawartha Lakes",1,23,25,4,44,95,3,195,540
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 168","Kawartha Lakes",0,12,25,6,18,114,0,175,471
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 169","Kawartha Lakes",2,19,21,2,16,102,0,162,438
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 170","Kawartha Lakes",2,9,47,9,35,113,2,217,651
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 171","Kawartha Lakes",3,10,21,6,15,76,0,131,396
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 172","Brock",2,11,27,5,30,98,0,173,489
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 173","Brock",3,10,14,1,19,47,1,95,351
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 174","Brock",0,5,22,1,9,37,1,75,252
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 175","Brock",0,18,29,3,19,84,2,155,551
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 176","Cavan Monaghan",1,4,34,5,22,80,1,147,270
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 177","Cavan Monaghan",3,14,56,3,23,70,0,169,346
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 178","Cavan Monaghan",0,4,29,5,29,53,1,121,276
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 179","Cavan Monaghan",2,5,35,7,30,104,0,183,362
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 180","Kawartha Lakes",0,14,40,6,25,75,6,166,563
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 181","Kawartha Lakes",3,14,43,8,39,87,1,195,608
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 182","Kawartha Lakes",2,11,43,8,35,117,3,219,654
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 183","Kawartha Lakes",1,17,37,1,25,99,0,180,524
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 184","Cavan Monaghan",0,8,33,1,18,68,0,128,308
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 185","Cavan Monaghan",2,13,23,5,26,93,1,163,429
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 186","Cavan Monaghan",1,9,29,3,23,50,0,115,386
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 187","Kawartha Lakes",3,16,33,5,44,134,0,235,398
