Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Barbara Biley,Robert Eppich,Susan Farlinger,Gord Johns,Susanne Lawson,Mary Lee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59009,"Courtenay--Alberni/Courtenay--Alberni"," 186","Parksville",0,6,30,71,6,39,0,152,402
59009,"Courtenay--Alberni/Courtenay--Alberni"," 187","Parksville",1,7,29,88,13,56,0,194,442
59009,"Courtenay--Alberni/Courtenay--Alberni"," 188","Parksville",0,7,23,58,2,43,0,133,422
59009,"Courtenay--Alberni/Courtenay--Alberni"," 189","Parksville",2,15,36,58,9,51,0,171,622
59009,"Courtenay--Alberni/Courtenay--Alberni"," 190","Parksville",0,6,27,61,8,29,1,132,434
59009,"Courtenay--Alberni/Courtenay--Alberni"," 191","Parksville",0,11,21,53,10,52,1,148,472
59009,"Courtenay--Alberni/Courtenay--Alberni"," 192","Parksville",0,6,17,62,9,16,1,111,415
59009,"Courtenay--Alberni/Courtenay--Alberni"," 193","Parksville",1,16,43,57,8,49,0,174,528
59009,"Courtenay--Alberni/Courtenay--Alberni"," 194","Parksville",0,6,17,50,10,29,0,112,408
59009,"Courtenay--Alberni/Courtenay--Alberni"," 195","Parksville",0,6,29,78,10,34,0,157,463
59009,"Courtenay--Alberni/Courtenay--Alberni"," 196","Parksville",0,5,19,58,7,32,2,123,479
59009,"Courtenay--Alberni/Courtenay--Alberni"," 197","Parksville",0,20,38,101,5,62,1,227,649
59009,"Courtenay--Alberni/Courtenay--Alberni"," 198","Parksville",0,4,36,58,4,24,0,126,515
59009,"Courtenay--Alberni/Courtenay--Alberni"," 199","Parksville",0,12,37,72,19,36,0,176,442
59009,"Courtenay--Alberni/Courtenay--Alberni"," 200","Parksville",0,9,36,86,6,43,0,180,593
59009,"Courtenay--Alberni/Courtenay--Alberni"," 201","Parksville",0,9,27,60,3,43,2,144,515
59009,"Courtenay--Alberni/Courtenay--Alberni"," 202","Parksville",0,5,35,51,5,38,0,134,499
59009,"Courtenay--Alberni/Courtenay--Alberni"," 203","Nanaimo F",0,16,21,67,15,71,0,190,627
59009,"Courtenay--Alberni/Courtenay--Alberni"," 204","Parksville",0,15,37,78,7,69,0,206,665
59009,"Courtenay--Alberni/Courtenay--Alberni"," 205","Parksville",0,0,28,46,4,61,0,139,525
59009,"Courtenay--Alberni/Courtenay--Alberni"," 206","Parksville",0,15,17,39,12,31,0,114,298
59009,"Courtenay--Alberni/Courtenay--Alberni"," 207","Parksville",0,1,20,29,0,38,0,88,443
59009,"Courtenay--Alberni/Courtenay--Alberni"," 208","Nanaimo F",0,21,25,67,17,48,1,179,491
59009,"Courtenay--Alberni/Courtenay--Alberni"," 209","Nanaimo E",0,6,24,42,10,34,0,116,351
59009,"Courtenay--Alberni/Courtenay--Alberni"," 210","Nanoose Bay",0,4,15,24,5,52,0,100,278
59009,"Courtenay--Alberni/Courtenay--Alberni"," 211","Nanoose Bay",0,8,42,60,6,82,0,198,493
59009,"Courtenay--Alberni/Courtenay--Alberni"," 212","Nanoose Bay",1,7,34,72,20,58,3,195,445
59009,"Courtenay--Alberni/Courtenay--Alberni"," 213","Nanoose Bay",1,4,28,62,4,48,1,148,322
59009,"Courtenay--Alberni/Courtenay--Alberni"," 214","Nanoose Bay",0,4,14,32,7,45,0,102,354
59009,"Courtenay--Alberni/Courtenay--Alberni"," 215","Nanaimo E",1,9,44,106,13,58,0,231,471
59009,"Courtenay--Alberni/Courtenay--Alberni"," 216","Nanaimo F",0,3,30,38,3,59,0,133,344
59009,"Courtenay--Alberni/Courtenay--Alberni"," 217","Nanaimo E",0,7,24,62,14,45,1,153,330
59009,"Courtenay--Alberni/Courtenay--Alberni"," 218","Nanoose Bay",0,13,32,71,17,68,0,201,446
59009,"Courtenay--Alberni/Courtenay--Alberni"," 219","Dolphin Beach",0,4,29,35,12,65,2,147,285
59009,"Courtenay--Alberni/Courtenay--Alberni"," 220","Dolphin Beach",0,5,36,54,7,84,1,187,433
59009,"Courtenay--Alberni/Courtenay--Alberni"," 221","Nanoose Bay",0,3,40,34,6,56,1,140,359
59009,"Courtenay--Alberni/Courtenay--Alberni"," 222","Nanoose Bay",1,4,17,20,4,45,0,91,237
59009,"Courtenay--Alberni/Courtenay--Alberni"," 223","Nanoose Bay",0,3,55,73,11,66,0,208,475
59009,"Courtenay--Alberni/Courtenay--Alberni"," 224","Nanoose Bay",1,17,18,57,8,59,0,160,342
59009,"Courtenay--Alberni/Courtenay--Alberni"," 225","Nanoose Bay",0,11,30,46,10,61,0,158,388
59009,"Courtenay--Alberni/Courtenay--Alberni"," 226","Cherry Creek",0,6,26,88,5,97,1,223,492
59009,"Courtenay--Alberni/Courtenay--Alberni"," 227","Port Alberni",0,9,18,72,7,49,0,155,435
59009,"Courtenay--Alberni/Courtenay--Alberni"," 228","Cherry Creek",0,13,23,102,4,87,0,229,440
59009,"Courtenay--Alberni/Courtenay--Alberni"," 229","Port Alberni",0,3,15,58,11,45,0,132,435
59009,"Courtenay--Alberni/Courtenay--Alberni"," 230","Port Alberni",0,13,23,75,8,56,0,175,488
59009,"Courtenay--Alberni/Courtenay--Alberni"," 231","Cherry Creek",0,12,26,48,64,3,0,153,498
59009,"Courtenay--Alberni/Courtenay--Alberni"," 232","Bamfield",1,4,12,83,10,28,0,138,297
59009,"Courtenay--Alberni/Courtenay--Alberni"," 400","Courtenay",2,1,24,18,2,20,0,67,85
59009,"Courtenay--Alberni/Courtenay--Alberni"," 401","Courtenay",1,3,39,31,5,25,2,106,124
59009,"Courtenay--Alberni/Courtenay--Alberni"," 402","Qualicum Beach",1,2,37,41,12,33,2,128,174
59009,"Courtenay--Alberni/Courtenay--Alberni"," 403","Parksville",0,5,13,21,7,26,4,76,112
