Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 64","Amaranth",8,0,45,23,174,17,0,267,508
35022,"Dufferin--Caledon/Dufferin--Caledon"," 65","Amaranth",5,0,45,21,145,30,0,246,448
35022,"Dufferin--Caledon/Dufferin--Caledon"," 66","Amaranth",7,0,35,17,120,25,0,204,474
35022,"Dufferin--Caledon/Dufferin--Caledon"," 67","Amaranth",5,0,33,22,106,16,0,182,448
35022,"Dufferin--Caledon/Dufferin--Caledon"," 68","Caledon",3,2,82,28,137,22,2,276,721
35022,"Dufferin--Caledon/Dufferin--Caledon"," 69","Caledon",3,2,50,22,109,22,0,208,554
35022,"Dufferin--Caledon/Dufferin--Caledon"," 70","Caledon",5,1,42,21,91,10,0,170,392
35022,"Dufferin--Caledon/Dufferin--Caledon"," 71","Caledon",3,2,55,10,82,14,1,167,469
35022,"Dufferin--Caledon/Dufferin--Caledon"," 72","Caledon",4,1,40,17,86,14,0,162,475
35022,"Dufferin--Caledon/Dufferin--Caledon"," 73","Caledon",2,0,59,11,84,6,0,162,493
35022,"Dufferin--Caledon/Dufferin--Caledon"," 74","Orangeville",6,1,60,39,110,16,0,232,526
35022,"Dufferin--Caledon/Dufferin--Caledon"," 75","Orangeville",16,1,60,42,98,18,3,238,519
35022,"Dufferin--Caledon/Dufferin--Caledon"," 76","Orangeville",12,1,52,30,89,17,0,201,616
35022,"Dufferin--Caledon/Dufferin--Caledon"," 77","Orangeville",15,0,39,36,75,21,3,189,542
35022,"Dufferin--Caledon/Dufferin--Caledon"," 78","Orangeville",19,0,55,48,83,8,0,213,632
35022,"Dufferin--Caledon/Dufferin--Caledon"," 79","Caledon",3,3,62,29,114,14,1,226,533
35022,"Dufferin--Caledon/Dufferin--Caledon"," 80","Caledon",8,1,36,18,82,22,1,168,446
35022,"Dufferin--Caledon/Dufferin--Caledon"," 81","Orangeville",9,1,80,25,88,11,4,218,514
35022,"Dufferin--Caledon/Dufferin--Caledon"," 82","Orangeville",26,0,69,25,73,10,0,203,602
35022,"Dufferin--Caledon/Dufferin--Caledon"," 83","Orangeville",14,1,45,17,60,7,0,144,395
35022,"Dufferin--Caledon/Dufferin--Caledon"," 84","Orangeville",13,1,56,21,93,10,0,194,532
35022,"Dufferin--Caledon/Dufferin--Caledon"," 85","Orangeville",7,0,86,16,108,11,0,228,532
35022,"Dufferin--Caledon/Dufferin--Caledon"," 86","Orangeville",14,0,93,33,133,12,0,285,586
35022,"Dufferin--Caledon/Dufferin--Caledon"," 87","Orangeville",7,1,48,43,85,14,1,199,432
35022,"Dufferin--Caledon/Dufferin--Caledon"," 88","Orangeville",12,0,96,34,119,15,0,276,610
35022,"Dufferin--Caledon/Dufferin--Caledon"," 89","Caledon",2,1,43,17,75,10,0,148,526
35022,"Dufferin--Caledon/Dufferin--Caledon"," 90","Caledon",6,0,55,28,102,14,0,205,603
35022,"Dufferin--Caledon/Dufferin--Caledon"," 91","Caledon",6,0,59,19,94,8,2,188,586
35022,"Dufferin--Caledon/Dufferin--Caledon"," 92","Caledon",7,0,53,38,115,17,0,230,681
35022,"Dufferin--Caledon/Dufferin--Caledon"," 93","Caledon",2,0,68,25,100,12,0,207,578
35022,"Dufferin--Caledon/Dufferin--Caledon"," 94","Caledon",2,0,56,31,113,14,0,216,585
35022,"Dufferin--Caledon/Dufferin--Caledon"," 95","Orangeville",20,1,115,48,191,36,3,414,931
35022,"Dufferin--Caledon/Dufferin--Caledon"," 96","Orangeville",2,2,124,34,156,26,1,345,886
35022,"Dufferin--Caledon/Dufferin--Caledon"," 97","Orangeville",7,1,25,31,71,25,1,161,474
35022,"Dufferin--Caledon/Dufferin--Caledon"," 98","Orangeville",11,1,37,19,20,12,1,101,453
35022,"Dufferin--Caledon/Dufferin--Caledon"," 99","Orangeville",12,0,61,46,119,28,0,266,799
35022,"Dufferin--Caledon/Dufferin--Caledon"," 100","Orangeville",20,1,48,21,117,11,1,219,587
35022,"Dufferin--Caledon/Dufferin--Caledon"," 101","Caledon",8,0,30,12,119,7,0,176,502
35022,"Dufferin--Caledon/Dufferin--Caledon"," 102","Caledon",6,0,192,58,181,13,1,451,1094
35022,"Dufferin--Caledon/Dufferin--Caledon"," 103","Caledon",6,0,91,31,129,10,1,268,552
35022,"Dufferin--Caledon/Dufferin--Caledon"," 104","Caledon",9,1,87,27,143,19,1,287,644
35022,"Dufferin--Caledon/Dufferin--Caledon"," 105","Caledon",10,0,93,26,121,15,0,265,560
35022,"Dufferin--Caledon/Dufferin--Caledon"," 106","Caledon",4,1,66,23,85,5,0,184,517
35022,"Dufferin--Caledon/Dufferin--Caledon"," 107","Caledon",5,0,45,13,99,12,0,174,420
35022,"Dufferin--Caledon/Dufferin--Caledon"," 108","Orangeville",14,1,56,18,98,4,0,191,524
35022,"Dufferin--Caledon/Dufferin--Caledon"," 109","Orangeville",20,0,37,27,103,26,0,213,590
35022,"Dufferin--Caledon/Dufferin--Caledon"," 110","Orangeville",14,1,60,32,65,20,1,193,447
35022,"Dufferin--Caledon/Dufferin--Caledon"," 111","Orangeville",17,0,44,32,87,19,0,199,607
35022,"Dufferin--Caledon/Dufferin--Caledon"," 112","Caledon",8,0,64,19,78,13,2,184,477
35022,"Dufferin--Caledon/Dufferin--Caledon"," 113","Caledon",6,1,50,11,103,13,3,187,505
35022,"Dufferin--Caledon/Dufferin--Caledon"," 114","Caledon",1,1,58,15,60,21,2,158,559
35022,"Dufferin--Caledon/Dufferin--Caledon"," 115","Caledon",3,0,85,25,113,20,0,246,599
35022,"Dufferin--Caledon/Dufferin--Caledon"," 116","Caledon",3,0,51,17,106,16,0,193,601
35022,"Dufferin--Caledon/Dufferin--Caledon"," 117","Caledon",3,1,111,39,179,42,4,379,958
