Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chey Craik,Isaiah Hunter,Talon Regent,Fraser Tolmie,David Craig Townsend,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 131","Moose Jaw",14,2,34,47,2,9,0,108,386
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 132","Moose Jaw",18,3,48,110,2,12,0,193,464
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 133","Moose Jaw",22,1,28,67,2,5,1,126,447
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 134","Moose Jaw",23,1,47,104,1,4,1,181,434
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 135","Moose Jaw",22,2,22,68,0,11,0,125,376
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 136A","Moose Jaw",26,3,48,57,2,15,0,151,660
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 136B","Mobile poll/Bureau itinérant",1,1,6,31,0,14,0,53,92
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 137","Moose Jaw",16,1,49,77,2,4,0,149,336
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 138","Moose Jaw",28,1,38,67,0,6,0,140,444
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 139","Moose Jaw",28,1,50,55,1,17,5,157,457
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 140","Moose Jaw",44,3,65,91,3,11,2,219,583
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 141","Moose Jaw",30,1,41,54,2,3,2,133,344
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 142","Moose Jaw",30,1,76,75,1,10,1,194,499
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 143","Moose Jaw",37,1,34,53,1,6,3,135,402
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 144","Condie",11,6,35,120,3,17,0,192,251
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 145","Grand Coulee",15,1,32,115,0,10,0,173,289
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 146","Regina",2,1,9,76,1,11,0,100,223
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 147","Keystown",28,0,7,93,1,2,0,131,230
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 148","Pense",33,3,44,189,3,16,0,288,450
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 149","Drinkwater",16,3,15,91,4,0,1,130,279
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 150","Bushell Park",3,1,17,23,0,8,1,53,294
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 151","Baildon",32,0,20,72,2,10,0,136,305
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 152","Rouleau",19,3,34,105,2,6,0,169,449
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 153","Wilcox",26,1,30,153,5,14,2,231,469
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 154","Briercrest",21,5,24,189,7,7,1,254,538
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 155","Avonlea",11,1,7,59,6,6,0,90,314
