Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leona Alleslev,Janice Hagan,Serge Korovitsyn,Anthony Siskos,Leah Taylor Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 73C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,110
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 74A","Richmond Hill",Merged with No./Fusionné avec le n°72A,,,,,,,216
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 74B","Richmond Hill",77,15,1,5,86,1,185,253
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 75A","Richmond Hill",61,24,3,4,66,2,160,288
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 75B","Richmond Hill",61,12,2,6,61,1,143,287
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 76A","Richmond Hill",Merged with No./Fusionné avec le n°75A,,,,,,,221
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 76B","Richmond Hill",Merged with No./Fusionné avec le n°75B,,,,,,,187
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 77","Richmond Hill",49,17,3,7,62,3,141,420
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 78A","Richmond Hill",Merged with No./Fusionné avec le n°80A,,,,,,,224
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 78B","Richmond Hill",Merged with No./Fusionné avec le n°71B,,,,,,,156
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 79","Richmond Hill",48,18,5,17,80,0,168,556
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 80A","Richmond Hill",87,12,2,10,108,1,220,233
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 80B","Richmond Hill",Merged with No./Fusionné avec le n°71B,,,,,,,206
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 81","Richmond Hill",57,9,0,6,72,0,144,670
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 82","Richmond Hill",88,16,3,9,84,4,204,723
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 83","Richmond Hill",63,18,1,3,69,2,156,631
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 84A","Richmond Hill",Merged with No./Fusionné avec le n°86A,,,,,,,187
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 84B","Richmond Hill",Merged with No./Fusionné avec le n°85B,,,,,,,190
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 85A","Richmond Hill",Merged with No./Fusionné avec le n°86A,,,,,,,259
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 85B","Richmond Hill",86,11,0,10,74,3,184,244
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 86A","Richmond Hill",96,17,2,9,79,6,209,287
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 86B","Richmond Hill",Merged with No./Fusionné avec le n°85B,,,,,,,202
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 87A","Richmond Hill",Merged with No./Fusionné avec le n°88A,,,,,,,226
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 87B","Richmond Hill",Merged with No./Fusionné avec le n°88B,,,,,,,225
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 88A","Richmond Hill",65,17,7,5,76,0,170,346
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 88B","Richmond Hill",73,19,1,4,79,2,178,302
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 89A","Richmond Hill",Merged with No./Fusionné avec le n°88A,,,,,,,231
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 89B","Richmond Hill",Merged with No./Fusionné avec le n°88B,,,,,,,165
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill"," 90A","Richmond Hill",Merged with No./Fusionné avec le n°92A,,,,,,,227
