Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Hatch,Dan Muys,Lorne Newick,Bill Panchyshyn,Vito Sgro,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 512","Mobile poll/Bureau itinérant",1,19,9,1,12,3,45,98
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 600","Hamilton",18,495,82,47,240,3,885,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 601","Hamilton",24,609,119,94,425,9,1280,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 602","Hamilton",35,857,213,85,758,4,1952,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 603","Hamilton",24,739,171,94,651,7,1686,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 604","Hamilton",37,542,143,69,386,1,1178,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 605","Hamilton",20,338,52,65,161,2,638,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 606","Hamilton",41,659,133,106,373,2,1314,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 607","Hamilton",17,456,88,59,213,2,835,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 608","Hamilton",24,665,215,74,754,9,1741,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 609","Hamilton ",20,511,186,116,457,6,1296,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 610","Hamilton ",14,421,165,65,291,4,960,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 611","Hamilton",12,347,136,76,425,6,1002,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 612","Hamilton",10,237,112,67,266,0,692,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 613","Hamilton",7,355,140,72,473,5,1052,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 614","Hamilton",10,322,142,86,433,7,1000,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 615","Hamilton",22,477,195,101,460,7,1262,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook"," 616","Hamilton",23,549,191,81,366,5,1215,
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,Group 1/Groupe 1, 8,168,155,10,202,47,590,171
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",,Group 2/Groupe 2, 40,644,375,48,963,93,2163,
