Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 157","Burnt Point--Gull Island",6,2,29,21,3,61,142
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 158","Northern Bay--Ochre Pit Cove",9,9,38,29,2,87,242
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 159","Western Bay",14,5,65,27,0,111,293
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 160","Blackhead--Broad Cove--Adams Cove",22,7,67,32,0,128,234
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 161","Small Point--Kingston--Spout Cove",3,1,17,8,0,29,74
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 162","Salmon Cove--Perry's Cove",15,12,80,32,0,139,278
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 163","Salmon Cove",15,6,99,59,3,182,355
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 164","Monkstown",2,0,5,2,0,9,12
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 165","Terrenceville",2,4,34,55,4,99,394
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 166","Grand le Pierre",0,3,22,34,2,61,199
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 167","English Harbour East",1,2,15,20,1,39,107
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 168","Harbour Mille--Little Harbour East",5,2,20,23,1,51,91
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 169","Little Bay East",6,3,20,23,0,52,89
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 170","Bay L'Argent",10,3,42,38,5,98,210
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 171","Jacques Fontaine",5,1,28,26,0,60,134
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 172","St. Bernard's",8,3,49,54,1,115,216
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 173","South East Bight",2,2,10,23,0,37,61
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 174","Petit Forte",0,0,16,21,0,37,55
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 175","Brookside--Boat Harbour West",2,2,25,56,1,86,148
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 176","Parkers Cove",5,1,31,46,7,90,211
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 177","Baine Harbour",6,2,22,35,2,67,109
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 178","Rushoon",3,11,33,40,6,93,225
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 179","Red Harbour",6,6,18,35,0,65,165
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 180","Jean de Baie--Spanish Room",3,6,26,35,4,74,186
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 181","Marystown",12,2,51,88,6,159,450
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 182","Marystown",8,8,30,43,2,91,346
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 183","Marystown",13,6,41,53,2,115,326
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 184","Rock Harbour",0,1,8,8,0,17,33
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 185","Marystown",10,7,66,70,6,159,303
