Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Scott Aitchison,James Fawcett,Heather Hay,Marc Mantha,Jovanie Nicoyishakiye,Daniel Predie Jr,James Tole,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","Brackenrig",101,0,27,16,25,0,11,1,181,428
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","Port Carling",89,0,36,13,44,0,9,0,191,463
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47","Port Carling",87,0,21,9,28,0,6,1,152,458
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48","Dudley",110,0,19,8,28,0,3,0,168,336
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49","Bala",107,0,25,8,52,0,21,1,214,421
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 50","Bala",118,1,41,8,73,0,12,1,254,498
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 51","MacTier",102,0,20,9,37,0,20,1,189,428
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 52","MacTier",103,1,24,3,38,0,1,0,170,319
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 53","MacTier",104,1,25,3,26,0,16,0,175,407
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 54","Georgian Bay--Crooked Bay",73,0,14,6,42,0,3,0,138,455
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 55","Georgian Bay--Bayview Park",59,0,16,7,50,0,9,0,141,399
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 56","Honey Harbour",70,1,36,5,43,1,22,0,178,517
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 57","Georgian Bay--Port Severn",107,0,23,3,49,0,12,0,194,560
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 58","South River",53,0,19,3,34,0,13,0,122,291
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 59","South River",75,0,37,10,30,0,20,0,172,390
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 60","South River",63,0,32,9,17,0,21,0,142,312
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 61","South River",69,0,34,4,30,0,14,0,151,368
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 62","Machar",92,0,23,8,31,0,24,1,179,485
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 63","Machar",58,0,24,6,27,0,6,1,122,344
