Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Anstey,Gudie Hutchings,Kaila Mintz,Darrell Shelley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 201","Channel-Port aux Basques",45,52,16,3,0,116,350
10005,"Long Range Mountains/Long Range Mountains"," 202","Fox Roost-Margaree",50,31,10,2,0,93,90
10005,"Long Range Mountains/Long Range Mountains"," 203","Channel-Port aux Basques",92,71,20,4,2,189,512
10005,"Long Range Mountains/Long Range Mountains"," 204","Channel-Port aux Basques",51,57,10,4,0,122,307
10005,"Long Range Mountains/Long Range Mountains"," 205","Channel-Port aux Basques",62,41,12,8,1,124,362
10005,"Long Range Mountains/Long Range Mountains"," 206","Channel-Port aux Basques",45,62,13,3,5,128,493
10005,"Long Range Mountains/Long Range Mountains"," 207","Channel-Port aux Basques",46,52,20,3,1,122,352
10005,"Long Range Mountains/Long Range Mountains"," 208","Channel-Port aux Basques",64,46,8,2,0,120,375
10005,"Long Range Mountains/Long Range Mountains"," 500","Mobile poll/Bureau itinérant",0,10,1,0,0,11,17
10005,"Long Range Mountains/Long Range Mountains"," 501","Mobile poll/Bureau itinérant",1,40,1,0,0,42,3
10005,"Long Range Mountains/Long Range Mountains"," 502","Mobile poll/Bureau itinérant",1,5,1,0,0,7,8
10005,"Long Range Mountains/Long Range Mountains"," 503","Mobile poll/Bureau itinérant",3,16,1,0,0,20,49
10005,"Long Range Mountains/Long Range Mountains"," 504","Mobile poll/Bureau itinérant",Results combined with no. 18/Résultats combinés au n° 18,,,,,,
10005,"Long Range Mountains/Long Range Mountains"," 505","Mobile poll/Bureau itinérant",14,4,0,0,0,18,23
10005,"Long Range Mountains/Long Range Mountains"," 506","Mobile poll/Bureau itinérant",8,25,5,1,7,46,9
10005,"Long Range Mountains/Long Range Mountains"," 507","Mobile poll/Bureau itinérant",17,34,2,5,6,64,6
10005,"Long Range Mountains/Long Range Mountains"," 508","Mobile poll/Bureau itinérant",10,21,2,1,0,34,4
10005,"Long Range Mountains/Long Range Mountains"," 509","Mobile poll/Bureau itinérant",2,14,1,0,0,17,36
10005,"Long Range Mountains/Long Range Mountains"," 510","Mobile poll/Bureau itinérant",6,7,0,0,0,13,22
10005,"Long Range Mountains/Long Range Mountains"," 511","Mobile poll/Bureau itinérant",19,38,3,2,0,62,105
10005,"Long Range Mountains/Long Range Mountains"," 512","Mobile poll/Bureau itinérant",2,11,1,0,1,15,1
10005,"Long Range Mountains/Long Range Mountains"," 513","Mobile poll/Bureau itinérant",5,6,2,1,0,14,17
10005,"Long Range Mountains/Long Range Mountains"," 514","Mobile poll/Bureau itinérant",0,4,2,0,0,6,20
10005,"Long Range Mountains/Long Range Mountains"," 515","Mobile poll/Bureau itinérant",8,16,0,2,3,29,58
10005,"Long Range Mountains/Long Range Mountains"," 516","Mobile poll/Bureau itinérant",5,7,2,0,7,21,0
10005,"Long Range Mountains/Long Range Mountains"," 517","Mobile poll/Bureau itinérant",6,15,2,2,4,29,41
10005,"Long Range Mountains/Long Range Mountains"," 518","Mobile poll/Bureau itinérant",4,18,0,1,2,25,50
10005,"Long Range Mountains/Long Range Mountains"," 519","Mobile poll/Bureau itinérant",7,15,0,2,1,25,0
10005,"Long Range Mountains/Long Range Mountains"," 520","Mobile poll/Bureau itinérant",8,7,0,2,0,17,31
10005,"Long Range Mountains/Long Range Mountains"," 521","Mobile poll/Bureau itinérant",2,2,0,1,1,6,31
10005,"Long Range Mountains/Long Range Mountains"," 522","Mobile poll/Bureau itinérant",11,8,1,0,1,21,0
10005,"Long Range Mountains/Long Range Mountains"," 600","St. Anthony",92,180,15,4,2,293,
10005,"Long Range Mountains/Long Range Mountains"," 601","Flower's Cove",55,57,6,7,0,125,
10005,"Long Range Mountains/Long Range Mountains"," 602","Roddickton",115,24,0,2,1,142,
10005,"Long Range Mountains/Long Range Mountains"," 603","Plum Point",57,34,3,0,3,97,
10005,"Long Range Mountains/Long Range Mountains"," 604","Port au Choix",244,56,4,4,6,314,
10005,"Long Range Mountains/Long Range Mountains"," 605","Parson's Pond",38,41,6,2,0,87,
10005,"Long Range Mountains/Long Range Mountains"," 606","Sop's Arm",20,30,1,2,2,55,
10005,"Long Range Mountains/Long Range Mountains"," 607","Rocky Harbour",81,124,18,1,6,230,
10005,"Long Range Mountains/Long Range Mountains"," 608","Deer Lake",385,199,21,14,11,630,
10005,"Long Range Mountains/Long Range Mountains"," 609","Woody Point",15,41,6,0,2,64,
10005,"Long Range Mountains/Long Range Mountains"," 610","Meadows",50,75,24,1,3,153,
10005,"Long Range Mountains/Long Range Mountains"," 611","Pasadena",335,341,83,11,1,771,
10005,"Long Range Mountains/Long Range Mountains"," 612","Deer Lake",346,312,41,10,34,743,
10005,"Long Range Mountains/Long Range Mountains"," 613","Corner Brook",169,445,105,14,0,733,
10005,"Long Range Mountains/Long Range Mountains"," 614","Corner Brook",121,246,58,10,2,437,
10005,"Long Range Mountains/Long Range Mountains"," 615","Corner Brook",125,215,47,7,4,398,
10005,"Long Range Mountains/Long Range Mountains"," 616","Benoit's cove",65,61,20,17,5,168,
10005,"Long Range Mountains/Long Range Mountains"," 617","Corner Brook",158,294,84,13,4,553,
10005,"Long Range Mountains/Long Range Mountains"," 618","Kippens",251,262,49,38,13,613,
10005,"Long Range Mountains/Long Range Mountains"," 619","Piccadilly",120,70,15,22,1,228,
10005,"Long Range Mountains/Long Range Mountains"," 620","Stephenville",197,319,57,23,13,609,
10005,"Long Range Mountains/Long Range Mountains"," 621","Stephenville Crossing",94,77,18,39,0,228,
10005,"Long Range Mountains/Long Range Mountains"," 622","St. Fintan's",75,67,18,10,1,171,
10005,"Long Range Mountains/Long Range Mountains"," 623","Channel-Port aux Basques",195,197,16,8,1,417,
10005,"Long Range Mountains/Long Range Mountains"," 624","Burnt Islands",28,26,3,0,2,59,
10005,"Long Range Mountains/Long Range Mountains"," 625","Burgeo",39,102,8,0,0,149,
10005,"Long Range Mountains/Long Range Mountains",,Group 1/Groupe 1, 115,98,40,8,10,271,39
10005,"Long Range Mountains/Long Range Mountains",,Group 2/Groupe 2, 579,958,185,22,19,1763,
