Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 38B","Magog",46,2,1,0,19,0,9,2,2,38,1,120,329
24016,"Brome--Missisquoi/Brome--Missisquoi"," 39","Magog",96,11,1,0,22,0,26,3,6,54,0,219,480
24016,"Brome--Missisquoi/Brome--Missisquoi"," 40","Magog",79,2,0,1,23,0,10,4,7,79,6,211,571
24016,"Brome--Missisquoi/Brome--Missisquoi"," 41","Magog",55,3,0,2,22,1,10,1,4,53,7,158,395
24016,"Brome--Missisquoi/Brome--Missisquoi"," 42","Magog",55,3,3,1,43,1,16,1,12,54,7,196,438
24016,"Brome--Missisquoi/Brome--Missisquoi"," 43","Magog",55,4,2,0,25,0,16,2,12,43,3,162,339
24016,"Brome--Missisquoi/Brome--Missisquoi"," 44","Magog",49,3,0,1,16,1,11,5,3,46,2,137,411
24016,"Brome--Missisquoi/Brome--Missisquoi"," 45","Magog",34,7,1,0,13,1,10,3,5,36,1,111,403
24016,"Brome--Missisquoi/Brome--Missisquoi"," 46","Magog",66,3,0,1,35,1,14,2,9,45,0,176,419
24016,"Brome--Missisquoi/Brome--Missisquoi"," 47","Magog",47,0,1,1,22,0,11,3,5,36,5,131,382
24016,"Brome--Missisquoi/Brome--Missisquoi"," 48","Magog",50,2,1,0,13,0,18,2,2,31,2,121,351
24016,"Brome--Missisquoi/Brome--Missisquoi"," 49","Magog",47,4,3,1,16,0,10,1,3,37,2,124,450
24016,"Brome--Missisquoi/Brome--Missisquoi"," 50","Magog",28,1,0,0,9,2,5,1,4,28,4,82,359
24016,"Brome--Missisquoi/Brome--Missisquoi"," 51","Magog",71,7,2,2,33,0,21,8,10,51,6,211,546
24016,"Brome--Missisquoi/Brome--Missisquoi"," 52","Magog",52,8,1,0,21,1,13,2,7,42,7,154,383
24016,"Brome--Missisquoi/Brome--Missisquoi"," 53","Magog",82,7,1,0,46,0,19,5,4,67,5,236,548
24016,"Brome--Missisquoi/Brome--Missisquoi"," 54","Magog",51,3,0,1,27,0,12,4,1,49,1,149,367
24016,"Brome--Missisquoi/Brome--Missisquoi"," 55","Saint-Étienne-de-Bolton",92,4,0,1,19,0,6,4,2,62,2,192,370
24016,"Brome--Missisquoi/Brome--Missisquoi"," 56","Saint-Étienne-de-Bolton",126,9,0,0,21,0,17,8,8,63,3,255,385
24016,"Brome--Missisquoi/Brome--Missisquoi"," 57","Magog",48,3,1,0,17,0,4,1,5,40,0,119,388
24016,"Brome--Missisquoi/Brome--Missisquoi"," 58","Magog",78,3,0,0,33,0,13,5,3,69,1,205,547
24016,"Brome--Missisquoi/Brome--Missisquoi"," 59","Magog",67,4,0,0,25,0,15,0,8,38,2,159,475
24016,"Brome--Missisquoi/Brome--Missisquoi"," 60","Magog",44,6,0,0,24,0,8,3,4,34,2,125,374
24016,"Brome--Missisquoi/Brome--Missisquoi"," 61","Magog",35,2,1,0,12,0,10,1,4,35,2,102,387
24016,"Brome--Missisquoi/Brome--Missisquoi"," 62","Magog",62,3,0,1,14,1,21,0,6,45,0,153,353
24016,"Brome--Missisquoi/Brome--Missisquoi"," 63","Magog",54,4,0,0,20,0,8,1,3,68,1,159,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 64","Magog",66,5,0,0,26,0,16,3,2,75,3,196,474
24016,"Brome--Missisquoi/Brome--Missisquoi"," 65","Magog",51,2,0,0,26,1,19,3,6,59,3,170,472
24016,"Brome--Missisquoi/Brome--Missisquoi"," 66","Magog",44,1,0,0,24,0,6,1,2,63,0,141,490
24016,"Brome--Missisquoi/Brome--Missisquoi"," 67","Magog",95,4,0,1,30,0,17,3,5,73,1,229,517
24016,"Brome--Missisquoi/Brome--Missisquoi"," 68","Magog",85,0,1,0,28,0,14,2,7,70,2,209,546
24016,"Brome--Missisquoi/Brome--Missisquoi"," 69","Magog",29,2,0,0,24,1,10,1,2,52,0,121,346
24016,"Brome--Missisquoi/Brome--Missisquoi"," 70","Magog",64,3,1,1,19,1,7,5,6,34,3,144,400
24016,"Brome--Missisquoi/Brome--Missisquoi"," 71","Magog",56,1,4,0,29,0,8,2,6,41,1,148,496
24016,"Brome--Missisquoi/Brome--Missisquoi"," 72","Austin",63,6,0,0,21,1,3,4,5,59,2,164,349
24016,"Brome--Missisquoi/Brome--Missisquoi"," 73","Austin",96,4,0,0,33,0,16,7,4,69,4,233,499
24016,"Brome--Missisquoi/Brome--Missisquoi"," 74","Austin",48,2,0,0,43,1,12,1,5,50,5,167,292
24016,"Brome--Missisquoi/Brome--Missisquoi"," 75","Austin",54,2,0,0,58,0,10,2,11,90,2,229,392
24016,"Brome--Missisquoi/Brome--Missisquoi"," 76","Bromont",83,6,0,0,38,0,13,5,4,111,2,262,626
24016,"Brome--Missisquoi/Brome--Missisquoi"," 77A","Bromont",77,5,1,0,16,0,10,3,1,77,0,190,431
24016,"Brome--Missisquoi/Brome--Missisquoi"," 77B","Bromont",60,5,0,0,21,0,13,1,5,76,0,181,431
24016,"Brome--Missisquoi/Brome--Missisquoi"," 78","Bromont",89,4,1,1,38,0,7,6,7,71,6,230,560
24016,"Brome--Missisquoi/Brome--Missisquoi"," 79","Bromont",38,8,1,1,11,1,18,7,8,49,2,144,471
24016,"Brome--Missisquoi/Brome--Missisquoi"," 80","Bromont",85,11,0,0,20,0,21,1,3,103,2,246,585
24016,"Brome--Missisquoi/Brome--Missisquoi"," 81","Bromont",122,10,0,2,57,0,25,7,5,101,6,335,394
24016,"Brome--Missisquoi/Brome--Missisquoi"," 82","Bromont",Merged with No./Fusionné avec le n°81,,,,,,,,,,,,470
24016,"Brome--Missisquoi/Brome--Missisquoi"," 83","Bromont",90,12,0,0,23,0,24,4,5,97,0,255,611
24016,"Brome--Missisquoi/Brome--Missisquoi"," 84","Bromont",80,12,1,0,39,0,17,3,2,111,2,267,546
24016,"Brome--Missisquoi/Brome--Missisquoi"," 85A","Bromont",84,2,0,0,33,1,5,3,4,67,5,204,474
24016,"Brome--Missisquoi/Brome--Missisquoi"," 85B","Bromont",52,4,1,1,23,1,13,1,9,76,1,182,470
24016,"Brome--Missisquoi/Brome--Missisquoi"," 86A","Bromont",44,6,0,4,17,0,14,2,2,69,3,161,364
