Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 169","Mill Village--East Port Medway",36,58,67,4,0,165,333
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 170","Charleston",31,35,58,4,0,128,281
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 171","Beach Meadows",35,49,66,9,3,162,414
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 172","Caledonia",23,40,73,2,0,138,423
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 173","Sandy Cove",35,38,50,4,0,127,358
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 174","Brooklyn",18,24,44,0,0,86,259
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 175","Brooklyn",27,45,58,3,1,134,323
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 176","Liverpool",32,51,39,6,0,128,363
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 177","Liverpool",29,45,33,3,2,112,395
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 178","Liverpool",32,29,46,3,4,114,408
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 179","Western Head",27,34,72,3,9,145,340
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 180","Western Head",26,34,56,4,3,123,271
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 181","Liverpool",16,21,38,1,0,76,298
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 182","Liverpool",16,19,45,0,2,82,334
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 183","Liverpool",16,35,49,3,0,103,437
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 184","Milton",20,33,47,2,1,103,382
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 185","Milton",18,21,48,6,1,94,274
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 186","Milton",21,44,67,2,0,134,346
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 187","Hunts Point--Summerville Centre",15,73,105,8,4,205,484
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 188","South West Port Mouton",28,59,100,4,2,193,419
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 189","Port Joli--East Port L'Hebert",11,13,34,3,0,61,127
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 190","Jordan Falls",19,38,70,2,1,130,273
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 191","Jordan Falls--Jordan Bay",13,25,66,0,0,104,318
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 192","Middle Ohio",19,42,107,7,1,176,380
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 193","Sable River",29,22,76,4,0,131,250
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 194","Little Harbour",14,33,30,7,0,84,178
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 195","West Green Harbour",12,28,67,4,0,111,258
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 196","Shelburne",10,20,62,5,0,97,337
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 197","Shelburne",16,43,54,1,2,116,335
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 198","Shelburne",13,29,42,4,0,88,269
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 199","Shelburne",14,38,53,3,3,111,394
