Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 516","Mobile poll/Bureau itinérant",Results combined with no. 509/Résultats combinés au n° 509,,,,,,,,135
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 517","Montréal",Merged with No./Fusionné avec le n°163,,,,,,,,3
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°163,,,,,,,,4
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 600","Dorval",148,703,91,37,168,45,6,1198,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 601","Dorval",220,738,130,50,161,34,6,1339,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 602","Montréal",170,784,339,35,200,31,14,1573,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 603","Montréal",56,269,112,16,42,35,15,545,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 604","Montréal",137,605,206,26,111,28,11,1124,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 605","Montréal",73,308,55,6,45,19,7,513,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 606","Montréal",58,374,53,8,65,8,13,579,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 607","Montréal",85,235,213,16,73,21,4,647,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 608","Montréal",124,516,246,28,74,31,23,1042,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 609","Dorval",167,657,149,42,138,33,12,1198,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 610","Montréal",82,460,175,17,105,29,7,875,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 611","Montréal",107,356,225,22,84,32,14,840,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 612","Montréal",67,304,222,22,70,32,10,727,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 613","Montréal",93,408,151,12,78,44,10,796,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 614","Montréal",51,331,66,8,44,13,5,518,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 615","Montréal",70,341,96,6,39,29,8,589,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 616","Montréal",104,376,227,18,73,36,13,847,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 1/Groupe 1, 60,190,33,6,47,10,26,372,166
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle",,Group 2/Groupe 2, 178,840,210,34,235,48,103,1648,
