Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marc Emery,Peter Fragiskatos,Stephen Gallant,Mary Ann Hodge,Dirka Prout,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35052,"London North Centre/London-Centre-Nord"," 122A","London",14,158,100,11,128,0,411,244
35052,"London North Centre/London-Centre-Nord"," 122B","London",Merged with No./Fusionné avec le n°124B,,,,,,,211
35052,"London North Centre/London-Centre-Nord"," 123A","London",Merged with No./Fusionné avec le n°122A,,,,,,,376
35052,"London North Centre/London-Centre-Nord"," 123B","London",Merged with No./Fusionné avec le n°124B,,,,,,,319
35052,"London North Centre/London-Centre-Nord"," 124A","London",Merged with No./Fusionné avec le n°122A,,,,,,,273
35052,"London North Centre/London-Centre-Nord"," 124B","London",4,124,108,10,94,0,340,253
35052,"London North Centre/London-Centre-Nord"," 125","London",13,136,65,6,81,1,302,589
35052,"London North Centre/London-Centre-Nord"," 126A","London",10,79,45,2,57,1,194,254
35052,"London North Centre/London-Centre-Nord"," 126B","London",Merged with No./Fusionné avec le n°114B,,,,,,,208
35052,"London North Centre/London-Centre-Nord"," 127A","London",Merged with No./Fusionné avec le n°126A,,,,,,,156
35052,"London North Centre/London-Centre-Nord"," 127B","London",Merged with No./Fusionné avec le n°114B,,,,,,,166
35052,"London North Centre/London-Centre-Nord"," 128","London",5,31,32,1,74,0,143,465
35052,"London North Centre/London-Centre-Nord"," 129","London",19,45,37,1,54,0,156,488
35052,"London North Centre/London-Centre-Nord"," 130","London",15,58,37,6,94,0,210,493
35052,"London North Centre/London-Centre-Nord"," 131A","London",Merged with No./Fusionné avec le n°141A,,,,,,,197
35052,"London North Centre/London-Centre-Nord"," 131B","London",Merged with No./Fusionné avec le n°141B,,,,,,,167
35052,"London North Centre/London-Centre-Nord"," 132A","London",2,89,63,7,58,0,219,483
35052,"London North Centre/London-Centre-Nord"," 132B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,148
35052,"London North Centre/London-Centre-Nord"," 133","London",6,89,64,12,94,0,265,521
35052,"London North Centre/London-Centre-Nord"," 134A","London",Merged with No./Fusionné avec le n°137A,,,,,,,224
35052,"London North Centre/London-Centre-Nord"," 134B","London",Merged with No./Fusionné avec le n°135B,,,,,,,204
35052,"London North Centre/London-Centre-Nord"," 135A","London",Merged with No./Fusionné avec le n°137A,,,,,,,244
35052,"London North Centre/London-Centre-Nord"," 135B","London",10,36,21,1,45,2,115,219
35052,"London North Centre/London-Centre-Nord"," 136","London",10,40,41,5,58,0,154,538
35052,"London North Centre/London-Centre-Nord"," 137A","London",13,40,31,3,47,0,134,253
35052,"London North Centre/London-Centre-Nord"," 137B","London",Merged with No./Fusionné avec le n°135B,,,,,,,201
35052,"London North Centre/London-Centre-Nord"," 138","London",8,97,71,11,49,0,236,452
35052,"London North Centre/London-Centre-Nord"," 139","London",9,109,52,4,32,2,208,405
35052,"London North Centre/London-Centre-Nord"," 140A","London",Merged with No./Fusionné avec le n°141A,,,,,,,195
35052,"London North Centre/London-Centre-Nord"," 140B","London",Merged with No./Fusionné avec le n°141B,,,,,,,169
35052,"London North Centre/London-Centre-Nord"," 141A","London",17,73,39,7,53,0,189,236
35052,"London North Centre/London-Centre-Nord"," 141B","London",10,40,24,3,31,0,108,186
35052,"London North Centre/London-Centre-Nord"," 142","London",7,33,26,6,53,2,127,396
35052,"London North Centre/London-Centre-Nord"," 143","London",12,37,18,7,83,0,157,476
35052,"London North Centre/London-Centre-Nord"," 144A","London",12,55,32,8,52,2,161,269
35052,"London North Centre/London-Centre-Nord"," 144B","London",Merged with No./Fusionné avec le n°26B,,,,,,,183
35052,"London North Centre/London-Centre-Nord"," 145","London",9,125,83,10,149,2,378,662
35052,"London North Centre/London-Centre-Nord"," 146","London",11,99,76,3,100,0,289,431
35052,"London North Centre/London-Centre-Nord"," 147A","London",16,56,33,5,40,0,150,238
35052,"London North Centre/London-Centre-Nord"," 147B","London",Merged with No./Fusionné avec le n°182B,,,,,,,193
35052,"London North Centre/London-Centre-Nord"," 148","London",9,45,24,1,52,0,131,537
35052,"London North Centre/London-Centre-Nord"," 149A","London",Merged with No./Fusionné avec le n°150A,,,,,,,258
35052,"London North Centre/London-Centre-Nord"," 149B","London",9,68,39,4,77,4,201,211
35052,"London North Centre/London-Centre-Nord"," 150A","London",14,76,44,6,112,5,257,287
35052,"London North Centre/London-Centre-Nord"," 150B","London",Merged with No./Fusionné avec le n°149B,,,,,,,201
35052,"London North Centre/London-Centre-Nord"," 151","London",15,71,57,12,94,0,249,469
35052,"London North Centre/London-Centre-Nord"," 152","London",5,81,82,7,87,0,262,509
35052,"London North Centre/London-Centre-Nord"," 153","London",13,59,75,10,94,1,252,508
35052,"London North Centre/London-Centre-Nord"," 154","London",19,38,25,5,66,1,154,430
35052,"London North Centre/London-Centre-Nord"," 155A","London",Merged with No./Fusionné avec le n°157A,,,,,,,213
35052,"London North Centre/London-Centre-Nord"," 155B","London",Merged with No./Fusionné avec le n°157B,,,,,,,192
35052,"London North Centre/London-Centre-Nord"," 156A","London",Merged with No./Fusionné avec le n°157A,,,,,,,227
35052,"London North Centre/London-Centre-Nord"," 156B","London",Merged with No./Fusionné avec le n°157B,,,,,,,146
35052,"London North Centre/London-Centre-Nord"," 157A","London",11,44,38,4,84,0,181,258
35052,"London North Centre/London-Centre-Nord"," 157B","London",14,35,25,1,57,0,132,221
35052,"London North Centre/London-Centre-Nord"," 158","London",9,43,18,7,60,0,137,551
35052,"London North Centre/London-Centre-Nord"," 159A","London",Merged with No./Fusionné avec le n°160A,,,,,,,295
35052,"London North Centre/London-Centre-Nord"," 159B","London",Merged with No./Fusionné avec le n°160B,,,,,,,221
35052,"London North Centre/London-Centre-Nord"," 160A","London",12,78,89,9,109,2,299,328
35052,"London North Centre/London-Centre-Nord"," 160B","London",11,55,59,4,91,0,220,298
35052,"London North Centre/London-Centre-Nord"," 161A","London",Merged with No./Fusionné avec le n°160A,,,,,,,207
35052,"London North Centre/London-Centre-Nord"," 161B","London",Merged with No./Fusionné avec le n°160B,,,,,,,162
35052,"London North Centre/London-Centre-Nord"," 162A","London",Merged with No./Fusionné avec le n°164A,,,,,,,194
35052,"London North Centre/London-Centre-Nord"," 162B","London",Merged with No./Fusionné avec le n°164B,,,,,,,181
35052,"London North Centre/London-Centre-Nord"," 163","London",10,42,12,3,52,2,121,550
35052,"London North Centre/London-Centre-Nord"," 164A","London",9,35,33,2,67,0,146,264
35052,"London North Centre/London-Centre-Nord"," 164B","London",8,43,24,8,76,1,160,194
35052,"London North Centre/London-Centre-Nord"," 165A","London",Merged with No./Fusionné avec le n°164A,,,,,,,177
35052,"London North Centre/London-Centre-Nord"," 165B","London",Merged with No./Fusionné avec le n°164B,,,,,,,145
35052,"London North Centre/London-Centre-Nord"," 166","London",Merged with No./Fusionné avec le n°167,,,,,,,302
35052,"London North Centre/London-Centre-Nord"," 167","London",9,78,55,4,93,3,242,337
35052,"London North Centre/London-Centre-Nord"," 168","London",Merged with No./Fusionné avec le n°167,,,,,,,280
35052,"London North Centre/London-Centre-Nord"," 169A","London",Merged with No./Fusionné avec le n°150A,,,,,,,146
35052,"London North Centre/London-Centre-Nord"," 169B","London",Merged with No./Fusionné avec le n°149B,,,,,,,151
35052,"London North Centre/London-Centre-Nord"," 170A","London",Merged with No./Fusionné avec le n°171A,,,,,,,331
35052,"London North Centre/London-Centre-Nord"," 170B","London",Merged with No./Fusionné avec le n°171B,,,,,,,320
35052,"London North Centre/London-Centre-Nord"," 171A","London",6,70,39,5,97,4,221,280
35052,"London North Centre/London-Centre-Nord"," 171B","London",9,47,30,11,71,0,168,234
35052,"London North Centre/London-Centre-Nord"," 172A","London",Merged with No./Fusionné avec le n°171A,,,,,,,224
35052,"London North Centre/London-Centre-Nord"," 172B","London",Merged with No./Fusionné avec le n°171B,,,,,,,201
