Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ajay Copp,Keiran Corrigall,Nick Debrey,Shawn Duncan,Patrick King,Ron Liepert,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48012,"Calgary Signal Hill/Calgary Signal Hill"," 149","Calgary",0,4,10,18,33,56,0,121,353
48012,"Calgary Signal Hill/Calgary Signal Hill"," 150","Calgary",3,1,9,29,16,111,1,170,469
48012,"Calgary Signal Hill/Calgary Signal Hill"," 151","Calgary",2,4,5,39,15,145,2,212,489
48012,"Calgary Signal Hill/Calgary Signal Hill"," 152","Calgary",1,3,4,25,19,78,3,133,370
48012,"Calgary Signal Hill/Calgary Signal Hill"," 153","Calgary",1,1,8,34,20,56,1,121,354
48012,"Calgary Signal Hill/Calgary Signal Hill"," 154","Calgary",0,2,7,34,19,69,0,131,396
48012,"Calgary Signal Hill/Calgary Signal Hill"," 155","Calgary",4,6,12,22,26,109,4,183,466
48012,"Calgary Signal Hill/Calgary Signal Hill"," 156","Calgary",0,4,5,43,17,73,2,144,441
48012,"Calgary Signal Hill/Calgary Signal Hill"," 157","Calgary",0,1,5,39,26,93,1,165,447
48012,"Calgary Signal Hill/Calgary Signal Hill"," 158","Calgary",2,5,12,28,30,142,1,220,557
48012,"Calgary Signal Hill/Calgary Signal Hill"," 159","Calgary",2,3,13,25,24,109,0,176,475
48012,"Calgary Signal Hill/Calgary Signal Hill"," 160","Calgary",4,4,6,24,10,107,0,155,555
48012,"Calgary Signal Hill/Calgary Signal Hill"," 161","Calgary",3,4,3,34,27,77,0,148,403
48012,"Calgary Signal Hill/Calgary Signal Hill"," 162","Calgary",3,3,17,41,33,103,0,200,735
48012,"Calgary Signal Hill/Calgary Signal Hill"," 163","Calgary",2,2,2,39,18,88,2,153,423
48012,"Calgary Signal Hill/Calgary Signal Hill"," 164","Calgary",4,2,1,42,19,79,0,147,411
48012,"Calgary Signal Hill/Calgary Signal Hill"," 165","Calgary",0,1,9,27,19,137,0,193,537
48012,"Calgary Signal Hill/Calgary Signal Hill"," 166","Calgary",1,3,9,24,35,37,1,110,368
48012,"Calgary Signal Hill/Calgary Signal Hill"," 167","Calgary",0,4,2,25,27,63,1,122,378
48012,"Calgary Signal Hill/Calgary Signal Hill"," 168","Calgary",0,3,5,29,41,79,0,157,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 169","Calgary",0,2,19,18,29,69,0,137,336
48012,"Calgary Signal Hill/Calgary Signal Hill"," 170","Calgary",0,4,10,30,44,67,2,157,482
48012,"Calgary Signal Hill/Calgary Signal Hill"," 171","Calgary",0,5,10,35,28,89,0,167,415
48012,"Calgary Signal Hill/Calgary Signal Hill"," 172","Calgary",0,1,7,43,48,44,0,143,476
48012,"Calgary Signal Hill/Calgary Signal Hill"," 173","Calgary",1,1,0,36,23,86,4,151,411
48012,"Calgary Signal Hill/Calgary Signal Hill"," 174","Calgary",0,3,7,20,36,40,3,109,314
48012,"Calgary Signal Hill/Calgary Signal Hill"," 175","Calgary",0,3,8,32,51,85,1,180,394
48012,"Calgary Signal Hill/Calgary Signal Hill"," 176","Calgary",1,3,10,31,26,84,0,155,381
48012,"Calgary Signal Hill/Calgary Signal Hill"," 177","Calgary",0,3,10,30,36,50,0,129,392
48012,"Calgary Signal Hill/Calgary Signal Hill"," 178","Calgary",0,0,5,36,22,126,0,189,461
48012,"Calgary Signal Hill/Calgary Signal Hill"," 179","Calgary",4,1,7,29,23,62,1,127,371
48012,"Calgary Signal Hill/Calgary Signal Hill"," 180","Calgary",1,2,13,38,37,96,0,187,435
48012,"Calgary Signal Hill/Calgary Signal Hill"," 181","Calgary",1,0,10,23,21,105,1,161,416
48012,"Calgary Signal Hill/Calgary Signal Hill"," 182","Calgary",1,3,8,25,19,90,2,148,370
48012,"Calgary Signal Hill/Calgary Signal Hill"," 183","Calgary",0,2,2,21,26,95,0,146,358
48012,"Calgary Signal Hill/Calgary Signal Hill"," 184","Calgary",1,6,4,38,35,112,1,197,490
48012,"Calgary Signal Hill/Calgary Signal Hill"," 185","Calgary",0,0,9,24,28,78,0,139,290
48012,"Calgary Signal Hill/Calgary Signal Hill"," 186","Calgary",2,3,7,33,40,99,1,185,407
48012,"Calgary Signal Hill/Calgary Signal Hill"," 187","Calgary",1,9,9,37,33,165,0,254,490
48012,"Calgary Signal Hill/Calgary Signal Hill"," 188","Calgary",2,3,7,31,42,34,1,120,412
48012,"Calgary Signal Hill/Calgary Signal Hill"," 189","Calgary",1,6,10,32,57,82,0,188,388
48012,"Calgary Signal Hill/Calgary Signal Hill"," 190","Calgary",1,4,14,45,47,55,0,166,429
