Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Benoit,Jean-Charles Cléroux,Pierre Duteau,Jeremy Fournier,Christine Normandin,Jean Rioux,Leigh V. Ryan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24067,"Saint-Jean/Saint-Jean"," 86","Saint-Jean-sur-Richelieu",21,5,3,22,53,44,2,9,159,405
24067,"Saint-Jean/Saint-Jean"," 87","Saint-Jean-sur-Richelieu",22,3,1,17,77,46,5,3,174,439
24067,"Saint-Jean/Saint-Jean"," 88","Saint-Jean-sur-Richelieu",17,2,0,10,89,44,1,4,167,410
24067,"Saint-Jean/Saint-Jean"," 89","Saint-Jean-sur-Richelieu",22,3,0,18,72,37,2,4,158,370
24067,"Saint-Jean/Saint-Jean"," 90","Saint-Jean-sur-Richelieu",30,2,0,8,86,65,3,6,200,425
24067,"Saint-Jean/Saint-Jean"," 91","Saint-Jean-sur-Richelieu",25,2,0,18,73,56,1,4,179,452
24067,"Saint-Jean/Saint-Jean"," 92","Saint-Jean-sur-Richelieu",11,9,2,6,43,35,3,3,112,565
24067,"Saint-Jean/Saint-Jean"," 93","Saint-Jean-sur-Richelieu",6,2,0,15,16,12,1,3,55,245
24067,"Saint-Jean/Saint-Jean"," 94","Saint-Jean-sur-Richelieu",15,4,2,28,86,54,1,0,190,405
24067,"Saint-Jean/Saint-Jean"," 95","Saint-Jean-sur-Richelieu",9,5,0,18,68,46,2,6,154,341
24067,"Saint-Jean/Saint-Jean"," 96","Saint-Jean-sur-Richelieu",23,2,0,10,72,47,5,7,166,429
24067,"Saint-Jean/Saint-Jean"," 97","Saint-Jean-sur-Richelieu",18,7,3,19,73,44,4,0,168,419
24067,"Saint-Jean/Saint-Jean"," 98","Saint-Jean-sur-Richelieu",10,5,0,20,82,51,6,4,178,476
24067,"Saint-Jean/Saint-Jean"," 99","Saint-Jean-sur-Richelieu",21,4,0,13,74,47,4,7,170,419
24067,"Saint-Jean/Saint-Jean"," 100","Saint-Jean-sur-Richelieu",15,4,0,21,73,45,1,3,162,381
24067,"Saint-Jean/Saint-Jean"," 101","Saint-Jean-sur-Richelieu",22,3,1,16,69,45,10,2,168,392
24067,"Saint-Jean/Saint-Jean"," 102","Saint-Jean-sur-Richelieu",34,6,2,18,119,66,8,2,255,580
24067,"Saint-Jean/Saint-Jean"," 103","Saint-Jean-sur-Richelieu",15,8,1,19,50,43,10,1,147,390
24067,"Saint-Jean/Saint-Jean"," 104","Saint-Jean-sur-Richelieu",14,5,0,15,77,41,4,8,164,394
24067,"Saint-Jean/Saint-Jean"," 105","Saint-Jean-sur-Richelieu",17,3,0,15,64,58,4,3,164,357
24067,"Saint-Jean/Saint-Jean"," 106","Saint-Jean-sur-Richelieu",9,6,1,16,62,48,1,1,144,376
24067,"Saint-Jean/Saint-Jean"," 107","Saint-Jean-sur-Richelieu",12,4,0,18,85,28,4,3,154,358
24067,"Saint-Jean/Saint-Jean"," 108","Saint-Jean-sur-Richelieu",13,6,1,8,65,40,3,6,142,509
24067,"Saint-Jean/Saint-Jean"," 109","Saint-Jean-sur-Richelieu",24,11,2,20,59,39,6,8,169,486
24067,"Saint-Jean/Saint-Jean"," 110","Saint-Jean-sur-Richelieu",13,7,1,11,46,29,5,4,116,380
24067,"Saint-Jean/Saint-Jean"," 111","Saint-Jean-sur-Richelieu",7,2,1,8,48,29,3,7,105,334
24067,"Saint-Jean/Saint-Jean"," 112","Saint-Jean-sur-Richelieu",12,3,2,23,61,18,6,3,128,430
24067,"Saint-Jean/Saint-Jean"," 113","Saint-Jean-sur-Richelieu",13,6,1,17,80,44,4,6,171,427
24067,"Saint-Jean/Saint-Jean"," 114","Saint-Jean-sur-Richelieu",2,8,1,5,59,47,4,4,130,336
24067,"Saint-Jean/Saint-Jean"," 115","Saint-Jean-sur-Richelieu",13,5,3,24,60,40,7,5,157,425
24067,"Saint-Jean/Saint-Jean"," 116","Saint-Jean-sur-Richelieu",14,11,4,18,59,38,11,13,168,547
24067,"Saint-Jean/Saint-Jean"," 117","Saint-Jean-sur-Richelieu",29,6,2,13,82,43,6,1,182,471
24067,"Saint-Jean/Saint-Jean"," 118","Saint-Jean-sur-Richelieu",29,10,1,17,78,46,2,1,184,400
24067,"Saint-Jean/Saint-Jean"," 119","Saint-Jean-sur-Richelieu",37,0,2,12,66,41,3,4,165,401
24067,"Saint-Jean/Saint-Jean"," 120","Saint-Jean-sur-Richelieu",31,3,0,24,89,66,4,8,225,519
24067,"Saint-Jean/Saint-Jean"," 121","Saint-Jean-sur-Richelieu",23,6,2,18,112,46,11,7,225,513
24067,"Saint-Jean/Saint-Jean"," 122","Saint-Jean-sur-Richelieu",11,3,2,17,59,29,6,8,135,392
24067,"Saint-Jean/Saint-Jean"," 123","Saint-Jean-sur-Richelieu",5,3,1,20,40,25,1,9,104,375
24067,"Saint-Jean/Saint-Jean"," 124","Saint-Jean-sur-Richelieu",24,3,3,15,78,40,3,7,173,428
24067,"Saint-Jean/Saint-Jean"," 125","Saint-Jean-sur-Richelieu",6,4,1,14,53,42,3,3,126,389
24067,"Saint-Jean/Saint-Jean"," 126","Saint-Jean-sur-Richelieu",8,3,3,20,72,32,3,2,143,455
24067,"Saint-Jean/Saint-Jean"," 127","Saint-Jean-sur-Richelieu",20,5,0,12,70,36,6,3,152,414
24067,"Saint-Jean/Saint-Jean"," 128","Saint-Jean-sur-Richelieu",18,4,3,19,49,33,1,3,130,428
24067,"Saint-Jean/Saint-Jean"," 129","Saint-Jean-sur-Richelieu",16,11,0,17,51,29,5,5,134,412
24067,"Saint-Jean/Saint-Jean"," 130","Saint-Jean-sur-Richelieu",27,3,4,12,52,30,4,6,138,522
24067,"Saint-Jean/Saint-Jean"," 131","Saint-Jean-sur-Richelieu",12,6,2,17,82,42,7,4,172,442
24067,"Saint-Jean/Saint-Jean"," 132","Saint-Jean-sur-Richelieu",9,0,1,14,50,26,4,4,108,396
24067,"Saint-Jean/Saint-Jean"," 133","Saint-Jean-sur-Richelieu",14,5,1,8,55,28,4,5,120,371
24067,"Saint-Jean/Saint-Jean"," 134","Saint-Jean-sur-Richelieu",14,2,2,14,62,29,10,4,137,409
24067,"Saint-Jean/Saint-Jean"," 135","Saint-Jean-sur-Richelieu",25,14,0,14,81,31,5,6,176,520
24067,"Saint-Jean/Saint-Jean"," 136","Saint-Jean-sur-Richelieu",12,8,0,11,78,42,2,2,155,449
24067,"Saint-Jean/Saint-Jean"," 137","Saint-Jean-sur-Richelieu",17,5,0,8,41,59,7,8,145,438
24067,"Saint-Jean/Saint-Jean"," 138","Saint-Jean-sur-Richelieu",14,8,2,9,39,23,3,5,103,348
24067,"Saint-Jean/Saint-Jean"," 139","Saint-Jean-sur-Richelieu",31,5,4,13,79,38,0,3,173,488
24067,"Saint-Jean/Saint-Jean"," 140","Saint-Jean-sur-Richelieu",17,8,2,15,53,37,3,6,141,403
24067,"Saint-Jean/Saint-Jean"," 141","Saint-Jean-sur-Richelieu",23,4,2,22,71,43,3,4,172,469
24067,"Saint-Jean/Saint-Jean"," 142","Saint-Jean-sur-Richelieu",18,2,0,12,58,40,3,10,143,410
24067,"Saint-Jean/Saint-Jean"," 143","Saint-Jean-sur-Richelieu",46,9,2,19,73,31,5,4,189,428
24067,"Saint-Jean/Saint-Jean"," 144","Saint-Jean-sur-Richelieu",18,5,0,17,79,57,2,6,184,411
24067,"Saint-Jean/Saint-Jean"," 145","Saint-Jean-sur-Richelieu",20,3,1,35,101,56,5,7,228,419
24067,"Saint-Jean/Saint-Jean"," 146","Saint-Jean-sur-Richelieu",26,8,2,21,99,63,0,0,219,478
24067,"Saint-Jean/Saint-Jean"," 147","Saint-Jean-sur-Richelieu",32,11,6,16,124,56,6,0,251,584
24067,"Saint-Jean/Saint-Jean"," 148","Saint-Jean-sur-Richelieu",10,2,0,20,42,20,1,5,100,406
24067,"Saint-Jean/Saint-Jean"," 149","Saint-Jean-sur-Richelieu",17,4,0,11,39,19,3,9,102,358
24067,"Saint-Jean/Saint-Jean"," 150","Saint-Jean-sur-Richelieu",6,5,3,11,31,19,3,2,80,382
24067,"Saint-Jean/Saint-Jean"," 151","Saint-Jean-sur-Richelieu",10,3,1,14,39,18,6,5,96,479
24067,"Saint-Jean/Saint-Jean"," 152","Saint-Jean-sur-Richelieu",10,2,2,10,43,15,5,4,91,383
24067,"Saint-Jean/Saint-Jean"," 153","Saint-Jean-sur-Richelieu",10,9,0,10,58,22,4,7,120,446
24067,"Saint-Jean/Saint-Jean"," 154","Saint-Jean-sur-Richelieu",15,3,2,26,61,27,3,3,140,466
24067,"Saint-Jean/Saint-Jean"," 155","Saint-Jean-sur-Richelieu",12,3,1,9,54,19,3,3,104,369
24067,"Saint-Jean/Saint-Jean"," 156","Saint-Jean-sur-Richelieu",20,2,2,18,43,27,6,7,125,380
24067,"Saint-Jean/Saint-Jean"," 157","Saint-Jean-sur-Richelieu",10,7,2,22,71,28,2,1,143,376
24067,"Saint-Jean/Saint-Jean"," 158","Saint-Jean-sur-Richelieu",15,6,1,7,56,21,6,6,118,413
24067,"Saint-Jean/Saint-Jean"," 159","Saint-Jean-sur-Richelieu",12,7,1,16,73,37,3,5,154,390
24067,"Saint-Jean/Saint-Jean"," 160","Saint-Jean-sur-Richelieu",16,5,2,20,51,29,5,6,134,426
24067,"Saint-Jean/Saint-Jean"," 161","Saint-Jean-sur-Richelieu",24,2,1,16,70,49,1,4,167,442
24067,"Saint-Jean/Saint-Jean"," 162","Saint-Jean-sur-Richelieu",15,1,3,6,63,48,5,2,143,384
24067,"Saint-Jean/Saint-Jean"," 163","Saint-Jean-sur-Richelieu",20,0,0,12,67,35,3,6,143,389
24067,"Saint-Jean/Saint-Jean"," 164","Saint-Jean-sur-Richelieu",18,7,0,13,50,35,6,2,131,383
24067,"Saint-Jean/Saint-Jean"," 165","Saint-Jean-sur-Richelieu",24,4,2,14,69,48,7,6,174,453
24067,"Saint-Jean/Saint-Jean"," 166","Saint-Jean-sur-Richelieu",27,5,0,18,74,54,3,4,185,420
24067,"Saint-Jean/Saint-Jean"," 167","Saint-Jean-sur-Richelieu",26,0,1,15,81,36,7,5,171,399
