Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jan Johnstone,Ben Lobb,James Rice,Justin L Smith,Jack Stecho,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 515","Mobile poll/Bureau itinérant",1,11,4,0,1,0,17,21
35040,"Huron--Bruce/Huron--Bruce"," 516","Mobile poll/Bureau itinérant",4,10,13,1,0,2,30,65
35040,"Huron--Bruce/Huron--Bruce"," 517","Mobile poll/Bureau itinérant",1,8,4,0,0,0,13,24
35040,"Huron--Bruce/Huron--Bruce"," 518","Mobile poll/Bureau itinérant",3,45,14,1,4,0,67,163
35040,"Huron--Bruce/Huron--Bruce"," 519","Mobile poll/Bureau itinérant",3,12,1,0,0,2,18,58
35040,"Huron--Bruce/Huron--Bruce"," 520","Mobile poll/Bureau itinérant",4,19,7,1,1,2,34,76
35040,"Huron--Bruce/Huron--Bruce"," 521","Mobile poll/Bureau itinérant",5,34,14,0,2,0,55,90
35040,"Huron--Bruce/Huron--Bruce"," 522","Mobile poll/Bureau itinérant",3,4,9,0,0,1,17,79
35040,"Huron--Bruce/Huron--Bruce"," 523","Mobile poll/Bureau itinérant",1,11,7,0,0,1,20,27
35040,"Huron--Bruce/Huron--Bruce"," 524","Goderich",Merged with No./Fusionné avec le n°154,,,,,,,60
35040,"Huron--Bruce/Huron--Bruce"," 525","Mobile poll/Bureau itinérant",7,25,23,2,3,0,60,142
35040,"Huron--Bruce/Huron--Bruce"," 600","Saugeen Shores",177,567,556,14,70,5,1389,
35040,"Huron--Bruce/Huron--Bruce"," 601","Saugeen Shores",127,497,463,12,43,5,1147,
35040,"Huron--Bruce/Huron--Bruce"," 602","Saugeen Shores",159,585,444,7,76,15,1286,
35040,"Huron--Bruce/Huron--Bruce"," 603","Kincardine",105,307,194,3,47,3,659,
35040,"Huron--Bruce/Huron--Bruce"," 604","Kincardine",159,344,366,2,53,5,929,
35040,"Huron--Bruce/Huron--Bruce"," 605","Kincardine",102,393,339,2,36,6,878,
35040,"Huron--Bruce/Huron--Bruce"," 606","Lucknow",100,627,177,7,87,2,1000,
35040,"Huron--Bruce/Huron--Bruce"," 607","Wingham",35,318,80,2,63,1,499,
35040,"Huron--Bruce/Huron--Bruce"," 608","Walkerton",88,446,213,7,85,4,843,
35040,"Huron--Bruce/Huron--Bruce"," 609","Walkerton",120,424,326,8,99,3,980,
35040,"Huron--Bruce/Huron--Bruce"," 610","Walkerton",58,308,163,6,80,1,616,
35040,"Huron--Bruce/Huron--Bruce"," 611","Brussels",32,207,46,3,53,0,341,
35040,"Huron--Bruce/Huron--Bruce"," 612","Wingham",82,455,197,9,56,2,801,
35040,"Huron--Bruce/Huron--Bruce"," 613","Wingham",65,275,104,4,51,2,501,
35040,"Huron--Bruce/Huron--Bruce"," 614","Goderich",251,820,470,16,71,8,1636,
