Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 152","Vaughan",6,5,1,1,39,67,3,122,344
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 153","Vaughan",17,9,1,0,54,80,3,164,400
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 154","Vaughan",7,7,0,0,50,47,1,112,399
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 155","Vaughan",10,8,4,0,48,79,1,150,394
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 156","Vaughan",9,9,5,2,31,79,2,137,365
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 157","Vaughan",18,7,1,0,44,74,2,146,571
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 158","Vaughan",14,8,1,2,45,56,1,127,344
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 159","Vaughan",20,8,4,0,71,68,1,172,437
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 160","Vaughan",14,11,2,0,55,76,1,159,485
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 161A","Vaughan",10,12,1,1,44,43,1,112,364
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 161B","Vaughan",9,5,4,0,41,47,0,106,332
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 162","Vaughan",13,14,3,0,79,62,0,171,441
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 163","Vaughan",18,1,2,0,50,73,0,144,373
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 164","Vaughan",20,2,0,0,55,82,3,162,539
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 165","Vaughan",5,6,1,0,40,72,2,126,354
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 166","Vaughan",26,9,5,0,52,112,4,208,474
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 167","Vaughan",6,3,0,0,55,59,0,123,362
