Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Elie Diab,Craig Laferriere,Teneshia Samuel,Kathy-Ying Zhao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 408","Mississauga",106,13,3,18,52,3,195,314
35058,"Mississauga Centre/Mississauga-Centre"," 409","Mississauga",78,8,3,26,52,1,168,301
35058,"Mississauga Centre/Mississauga-Centre"," 410","Mississauga",63,5,4,15,17,3,107,225
35058,"Mississauga Centre/Mississauga-Centre"," 411","Mississauga",30,6,1,8,15,0,60,188
35058,"Mississauga Centre/Mississauga-Centre"," 412","Mississauga",103,11,4,40,25,1,184,329
35058,"Mississauga Centre/Mississauga-Centre"," 413","Mississauga",42,1,6,4,21,1,75,167
35058,"Mississauga Centre/Mississauga-Centre"," 414","Mississauga",58,5,3,4,16,5,91,172
35058,"Mississauga Centre/Mississauga-Centre"," 415","Mississauga",67,4,3,18,24,1,117,290
35058,"Mississauga Centre/Mississauga-Centre"," 416","Mississauga",61,8,2,19,26,0,116,339
35058,"Mississauga Centre/Mississauga-Centre"," 417","Mississauga",55,6,1,25,32,0,119,262
35058,"Mississauga Centre/Mississauga-Centre"," 418","Mississauga",66,12,2,15,35,0,130,369
35058,"Mississauga Centre/Mississauga-Centre"," 419","Mississauga",139,12,5,25,78,1,260,589
35058,"Mississauga Centre/Mississauga-Centre"," 420","Mississauga",142,9,6,26,46,1,230,406
35058,"Mississauga Centre/Mississauga-Centre"," 421","Mississauga",96,11,4,22,47,0,180,375
35058,"Mississauga Centre/Mississauga-Centre"," 422","Mississauga",184,14,7,19,71,6,301,478
35058,"Mississauga Centre/Mississauga-Centre"," 423","Mississauga",113,13,6,25,53,3,213,410
35058,"Mississauga Centre/Mississauga-Centre"," 424","Mississauga",65,2,0,11,22,0,100,343
35058,"Mississauga Centre/Mississauga-Centre"," 425","Mississauga",42,9,1,14,32,1,99,239
35058,"Mississauga Centre/Mississauga-Centre"," 426","Mississauga",126,16,5,33,56,0,236,465
35058,"Mississauga Centre/Mississauga-Centre"," 427","Mississauga",131,13,7,21,50,2,224,419
35058,"Mississauga Centre/Mississauga-Centre"," 428","Mississauga",121,13,2,28,43,0,207,410
35058,"Mississauga Centre/Mississauga-Centre"," 429","Mississauga",62,2,5,18,17,1,105,321
35058,"Mississauga Centre/Mississauga-Centre"," 430","Mississauga",40,5,0,13,26,0,84,297
35058,"Mississauga Centre/Mississauga-Centre"," 431","Mississauga",89,2,2,13,34,0,140,292
35058,"Mississauga Centre/Mississauga-Centre"," 432","Mississauga",92,1,5,18,28,0,144,311
35058,"Mississauga Centre/Mississauga-Centre"," 433","Mississauga",133,15,5,22,64,3,242,481
35058,"Mississauga Centre/Mississauga-Centre"," 434","Mississauga",80,6,2,28,35,2,153,383
35058,"Mississauga Centre/Mississauga-Centre"," 435","Mississauga",92,7,6,31,48,1,185,352
35058,"Mississauga Centre/Mississauga-Centre"," 436","Mississauga",103,8,4,28,49,4,196,345
35058,"Mississauga Centre/Mississauga-Centre"," 437","Mississauga",155,5,2,19,43,1,225,440
35058,"Mississauga Centre/Mississauga-Centre"," 438","Mississauga",114,7,7,28,55,1,212,411
35058,"Mississauga Centre/Mississauga-Centre"," 439","Mississauga",75,8,5,19,40,2,149,267
35058,"Mississauga Centre/Mississauga-Centre"," 440","Mississauga",125,6,6,19,58,2,216,329
35058,"Mississauga Centre/Mississauga-Centre"," 441","Mississauga",88,6,2,20,46,1,163,288
