Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juan Estevez Moreno,Sabrina Grover,Greg McLean,Austin Mullins,Dawid Pawlowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 65","Calgary",49,59,44,9,1,1,163,481
48004,"Calgary Centre/Calgary-Centre"," 66","Calgary",31,52,55,6,3,0,147,454
48004,"Calgary Centre/Calgary-Centre"," 67","Calgary",24,43,92,2,3,1,165,480
48004,"Calgary Centre/Calgary-Centre"," 68","Calgary",Merged with No./Fusionné avec le n°70,,,,,,,402
48004,"Calgary Centre/Calgary-Centre"," 69","Calgary",53,29,50,8,1,1,142,463
48004,"Calgary Centre/Calgary-Centre"," 70","Calgary",69,93,92,6,8,3,271,434
48004,"Calgary Centre/Calgary-Centre"," 71","Calgary",33,55,85,7,3,0,183,555
48004,"Calgary Centre/Calgary-Centre"," 72A","Calgary",34,68,58,1,3,1,165,425
48004,"Calgary Centre/Calgary-Centre"," 72B","Calgary",34,48,76,1,2,0,161,401
48004,"Calgary Centre/Calgary-Centre"," 73A","Calgary",Merged with No./Fusionné avec le n°72A,,,,,,,63
48004,"Calgary Centre/Calgary-Centre"," 73B","Calgary",Merged with No./Fusionné avec le n°72B,,,,,,,56
48004,"Calgary Centre/Calgary-Centre"," 73C","Calgary",21,49,42,2,9,0,123,274
48004,"Calgary Centre/Calgary-Centre"," 74","Calgary",34,65,54,1,3,1,158,461
48004,"Calgary Centre/Calgary-Centre"," 75","Calgary",43,55,67,1,1,4,171,450
48004,"Calgary Centre/Calgary-Centre"," 76","Calgary",57,83,94,3,0,3,240,646
48004,"Calgary Centre/Calgary-Centre"," 77","Calgary",29,65,103,3,2,4,206,524
48004,"Calgary Centre/Calgary-Centre"," 78","Calgary",57,80,86,4,0,0,227,598
48004,"Calgary Centre/Calgary-Centre"," 79","Calgary",54,84,61,0,7,2,208,449
48004,"Calgary Centre/Calgary-Centre"," 80","Calgary",52,76,87,6,1,0,222,587
48004,"Calgary Centre/Calgary-Centre"," 81","Calgary",56,62,49,7,2,0,176,464
48004,"Calgary Centre/Calgary-Centre"," 82","Calgary",47,38,48,7,2,0,142,408
48004,"Calgary Centre/Calgary-Centre"," 83","Calgary",43,67,104,2,1,1,218,616
48004,"Calgary Centre/Calgary-Centre"," 84","Calgary",75,109,140,11,3,0,338,395
48004,"Calgary Centre/Calgary-Centre"," 85","Calgary",53,69,79,5,2,1,209,438
48004,"Calgary Centre/Calgary-Centre"," 86","Calgary",67,57,66,4,3,0,197,429
48004,"Calgary Centre/Calgary-Centre"," 87","Calgary",24,64,110,1,4,1,204,524
48004,"Calgary Centre/Calgary-Centre"," 88","Calgary",50,77,128,6,1,2,264,548
48004,"Calgary Centre/Calgary-Centre"," 89","Calgary",54,53,103,2,2,2,216,490
48004,"Calgary Centre/Calgary-Centre"," 90","Calgary",18,67,99,1,1,0,186,505
48004,"Calgary Centre/Calgary-Centre"," 91","Calgary",52,50,65,8,1,3,179,516
48004,"Calgary Centre/Calgary-Centre"," 92","Calgary",29,63,113,1,4,0,210,522
