Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 178","Vendée",1,6,130,24,8,0,62,0,5,236,540
24038,"Laurentides--Labelle/Laurentides--Labelle"," 179","Vendée",Void/Supprimé,,,,,,,,,,
24038,"Laurentides--Labelle/Laurentides--Labelle"," 180","Sainte-Adèle",22,13,129,16,12,5,34,0,9,240,586
24038,"Laurentides--Labelle/Laurentides--Labelle"," 181","Sainte-Adèle",10,12,61,17,5,3,28,0,3,139,335
24038,"Laurentides--Labelle/Laurentides--Labelle"," 182","Sainte-Adèle",25,5,69,11,8,1,30,0,5,154,485
24038,"Laurentides--Labelle/Laurentides--Labelle"," 183","Sainte-Adèle",16,11,108,20,6,2,37,1,2,203,561
24038,"Laurentides--Labelle/Laurentides--Labelle"," 184","Sainte-Adèle",14,5,80,7,7,4,38,4,4,163,603
24038,"Laurentides--Labelle/Laurentides--Labelle"," 185","Sainte-Adèle",84,53,11,5,9,15,2,1,0,180,581
24038,"Laurentides--Labelle/Laurentides--Labelle"," 186","Sainte-Adèle",8,4,55,18,3,1,39,0,5,133,530
24038,"Laurentides--Labelle/Laurentides--Labelle"," 187","Sainte-Adèle",16,10,62,10,7,2,51,0,3,161,522
24038,"Laurentides--Labelle/Laurentides--Labelle"," 188","Sainte-Adèle",26,12,74,13,6,2,64,0,2,199,536
24038,"Laurentides--Labelle/Laurentides--Labelle"," 189","Piedmont",12,7,83,23,5,5,62,0,3,200,481
24038,"Laurentides--Labelle/Laurentides--Labelle"," 190","Piedmont",13,9,60,21,6,3,55,2,1,170,523
24038,"Laurentides--Labelle/Laurentides--Labelle"," 191","Piedmont",15,3,74,14,7,4,67,1,2,187,535
24038,"Laurentides--Labelle/Laurentides--Labelle"," 192","Piedmont",3,7,67,20,6,3,57,1,0,164,521
24038,"Laurentides--Labelle/Laurentides--Labelle"," 193","Piedmont",16,6,70,25,2,2,70,0,2,193,539
24038,"Laurentides--Labelle/Laurentides--Labelle"," 194","Piedmont",10,10,66,21,6,1,50,0,3,167,477
24038,"Laurentides--Labelle/Laurentides--Labelle"," 195","Arundel",3,6,37,15,0,1,26,0,1,89,283
24038,"Laurentides--Labelle/Laurentides--Labelle"," 196","Huberdeau",8,4,70,17,9,3,29,1,3,144,374
24038,"Laurentides--Labelle/Laurentides--Labelle"," 197","Gray Valley",12,4,68,15,5,3,34,0,3,144,424
24038,"Laurentides--Labelle/Laurentides--Labelle"," 198","Arundel",17,3,14,13,4,2,40,0,1,94,299
24038,"Laurentides--Labelle/Laurentides--Labelle"," 199A","Saint-Sauveur",8,4,41,16,3,5,50,0,1,128,348
24038,"Laurentides--Labelle/Laurentides--Labelle"," 199B","Saint-Sauveur",10,2,42,18,4,3,46,0,1,126,355
24038,"Laurentides--Labelle/Laurentides--Labelle"," 200","Saint-Sauveur",13,4,81,13,9,3,66,2,3,194,578
24038,"Laurentides--Labelle/Laurentides--Labelle"," 201","Saint-Sauveur",7,8,57,17,2,2,45,1,5,144,568
24038,"Laurentides--Labelle/Laurentides--Labelle"," 202A","Saint-Sauveur",11,14,39,13,4,2,32,0,3,118,365
