Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 149","Nanaimo",56,14,36,34,5,0,145,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 150","Nanaimo",64,9,23,51,6,1,154,530
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 151","Nanaimo",44,17,26,42,5,0,134,482
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 152","Nanaimo",33,22,42,33,2,0,132,500
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 153","Nanaimo",47,12,22,42,7,2,132,492
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 154","Nanaimo",63,19,24,48,6,0,160,447
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 155","Nanaimo",50,12,21,31,11,1,126,477
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 156","Nanaimo",52,27,28,43,6,1,157,545
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 157","Nanaimo",43,19,20,66,10,0,158,556
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 158","Nanaimo",46,6,16,35,11,0,114,501
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 159","Nanaimo",61,33,46,65,10,2,217,471
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 160","Nanaimo",56,18,34,50,9,0,167,521
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 161","Nanaimo",32,15,12,39,8,0,106,396
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 162","Nanaimo",41,13,19,33,5,0,111,438
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 163","Nanaimo",41,27,25,39,2,0,134,469
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 164","Nanaimo",47,5,23,34,8,0,117,379
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 165","Nanaimo",28,14,26,23,14,0,105,530
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 166","Nanaimo Town 1",42,0,0,29,2,2,75,324
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 167","Nanaimo",41,8,29,21,9,0,108,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 168","Nanaimo",107,29,33,29,13,1,212,537
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 169","Nanaimo",82,31,58,37,16,0,224,552
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 170","Nanaimo",41,17,30,26,13,0,127,508
