Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Des Bissonnette,Kira Brunner,Ann McCormack,Fred Sirett,Shannon Stubbs,John Turvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 109","Mundare",27,8,31,15,154,14,3,252,448
48025,"Lakeland/Lakeland"," 110","Mundare",27,5,19,12,160,20,4,247,402
48025,"Lakeland/Lakeland"," 111","Sputinow",69,2,1,1,17,24,1,115,263
48025,"Lakeland/Lakeland"," 112A","Frog Lake",55,2,1,1,4,25,2,90,371
48025,"Lakeland/Lakeland"," 112B","Frog Lake",55,5,2,0,2,17,0,81,353
48025,"Lakeland/Lakeland"," 113","Two Hills",6,0,29,0,51,4,1,91,353
48025,"Lakeland/Lakeland"," 114","Two Hills",2,0,23,1,56,0,0,82,435
48025,"Lakeland/Lakeland"," 115","Two Hills",13,1,32,0,82,9,0,137,395
48025,"Lakeland/Lakeland"," 116","Heinsburg",10,0,5,1,91,3,1,111,323
48025,"Lakeland/Lakeland"," 117","Warwick",27,1,27,1,122,12,0,190,522
48025,"Lakeland/Lakeland"," 118","Vegreville",37,2,22,0,124,9,0,194,480
48025,"Lakeland/Lakeland"," 119","Vegreville",21,1,22,1,117,9,0,171,456
48025,"Lakeland/Lakeland"," 120","Vegreville",18,2,19,1,76,6,0,122,495
48025,"Lakeland/Lakeland"," 121","Inland",22,2,10,3,116,7,2,162,451
48025,"Lakeland/Lakeland"," 122A","Myrnam",20,0,34,6,117,11,1,189,291
48025,"Lakeland/Lakeland"," 122B","Mobile poll/Bureau itinérant",1,1,0,0,8,1,1,12,6
48025,"Lakeland/Lakeland"," 123","Beauvallon",Void/Supprimé,,,,,,,,
48025,"Lakeland/Lakeland"," 124","Vegreville",20,1,20,3,76,13,0,133,434
48025,"Lakeland/Lakeland"," 125","Vegreville",25,4,11,1,62,9,0,112,386
48025,"Lakeland/Lakeland"," 126","Vegreville",24,3,28,2,83,13,2,155,550
48025,"Lakeland/Lakeland"," 127","Vegreville",20,1,16,0,99,18,0,154,473
48025,"Lakeland/Lakeland"," 128","Vegreville",22,1,14,0,84,5,1,127,402
48025,"Lakeland/Lakeland"," 129","Vegreville",20,0,9,6,95,7,0,137,426
48025,"Lakeland/Lakeland"," 130A","Derwent",14,2,29,9,122,7,0,183,346
48025,"Lakeland/Lakeland"," 130B","Derwent",9,0,26,1,124,5,1,166,340
48025,"Lakeland/Lakeland"," 131","Lavoy",10,2,18,1,121,9,3,164,337
48025,"Lakeland/Lakeland"," 132","Tulliby Lake",7,0,22,10,80,2,0,121,171
48025,"Lakeland/Lakeland"," 133","Northern Valley--Rusylvia",8,0,16,5,90,2,0,121,204
48025,"Lakeland/Lakeland"," 134","Clandonald",8,0,28,3,82,1,0,122,211
48025,"Lakeland/Lakeland"," 135","Ranfurly",14,1,17,2,87,0,1,122,209
48025,"Lakeland/Lakeland"," 136","Lea Park",4,1,12,5,110,1,2,135,311
48025,"Lakeland/Lakeland"," 137","Dewberry",10,3,15,17,111,9,4,169,333
48025,"Lakeland/Lakeland"," 138","Innisfree",12,1,4,2,76,5,0,100,172
48025,"Lakeland/Lakeland"," 139","Innisfree",12,2,12,6,143,8,0,183,276
48025,"Lakeland/Lakeland"," 140","Marwayne",16,3,40,7,213,2,0,281,463
48025,"Lakeland/Lakeland"," 141","Marwayne",1,0,20,12,130,2,0,165,295
48025,"Lakeland/Lakeland"," 142","Minburn",16,1,17,6,78,1,0,119,248
48025,"Lakeland/Lakeland"," 143","Mannville",16,3,20,9,195,9,0,252,404
48025,"Lakeland/Lakeland"," 144","Mannville",16,1,31,2,118,5,1,174,280
48025,"Lakeland/Lakeland"," 145","Mannville",4,1,32,5,140,5,0,187,357
48025,"Lakeland/Lakeland"," 146","Vermilion",7,3,20,2,88,3,0,123,478
48025,"Lakeland/Lakeland"," 147","Vermilion",14,1,22,0,78,1,0,116,379
48025,"Lakeland/Lakeland"," 148","Vermilion",18,2,21,2,93,8,0,144,428
