Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bowman,Tristan Dineen,Aisha Jahangir,Joshua Leier,Karen Levenson,Lloyd Longfield,Ashish Sachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 176","Guelph",15,1,38,7,1,83,39,1,185,537
35032,"Guelph/Guelph"," 177","Guelph",11,0,40,18,1,54,25,0,149,539
35032,"Guelph/Guelph"," 178","Guelph",13,1,36,12,0,70,29,0,161,526
35032,"Guelph/Guelph"," 179","Guelph",22,2,57,17,2,74,53,1,228,517
35032,"Guelph/Guelph"," 180","Guelph",5,0,33,7,2,79,48,2,176,422
35032,"Guelph/Guelph"," 181","Guelph",21,0,57,14,2,63,56,1,214,493
35032,"Guelph/Guelph"," 182","Guelph",16,0,42,13,0,52,29,0,152,443
35032,"Guelph/Guelph"," 183","Guelph",14,0,46,10,1,126,76,0,273,620
35032,"Guelph/Guelph"," 184","Guelph",11,0,49,10,0,99,46,2,217,540
35032,"Guelph/Guelph"," 185","Guelph",23,2,86,16,1,186,128,3,445,1035
35032,"Guelph/Guelph"," 186","Guelph",17,0,23,7,2,97,44,1,191,460
35032,"Guelph/Guelph"," 187","Guelph",13,1,36,12,0,90,70,2,224,505
35032,"Guelph/Guelph"," 188A","Guelph",16,1,56,11,0,105,37,1,227,540
35032,"Guelph/Guelph"," 188B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,,,19
35032,"Guelph/Guelph"," 189","Guelph",29,0,39,5,0,116,73,0,262,542
35032,"Guelph/Guelph"," 190","Guelph",14,0,39,14,2,94,69,1,233,510
35032,"Guelph/Guelph"," 191","Guelph",18,1,33,13,1,125,67,3,261,590
35032,"Guelph/Guelph"," 192","Guelph",16,1,33,8,2,98,58,0,216,501
35032,"Guelph/Guelph"," 193","Guelph",21,1,36,7,3,114,36,1,219,490
35032,"Guelph/Guelph"," 194","Guelph",16,0,30,12,0,86,51,0,195,429
35032,"Guelph/Guelph"," 195","Guelph",15,2,21,11,1,126,61,1,238,506
