Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 21B","Toronto",13,10,78,1,0,1,4,107,184
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 22","Toronto",47,47,135,6,5,0,3,243,408
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 23","Toronto",37,50,137,5,7,0,3,239,398
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 24","Toronto",Merged with No./Fusionné avec le n°22,,,,,,,,399
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 25","Toronto",69,50,151,7,13,0,1,291,583
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 26","Toronto",Merged with No./Fusionné avec le n°23,,,,,,,,352
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 27","Toronto",34,43,205,1,7,0,0,290,656
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 28","Toronto",36,88,141,16,5,0,0,286,346
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 29","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,,371
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 30","Toronto",45,77,139,10,7,0,0,278,387
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 31","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,,389
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32A","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,,211
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 32B","Toronto",Merged with No./Fusionné avec le n°30,,,,,,,,203
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 33","Toronto",Merged with No./Fusionné avec le n°27,,,,,,,,353
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 34","Toronto",22,34,142,3,5,0,4,210,442
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 35","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,,379
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 36","Toronto",41,68,164,3,9,1,3,289,460
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 37","Toronto",Merged with No./Fusionné avec le n°36,,,,,,,,491
