Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ivan Byard,Brian Chang,Marci Ien,Syed Jaffery,Ryan Lester,Annamie Paul,Peter Stubbins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 31","Toronto",Merged with No./Fusionné avec le n°423,,,,,,,,,285
35108,"Toronto Centre/Toronto-Centre"," 32","Toronto",Merged with No./Fusionné avec le n°28,,,,,,,,,347
35108,"Toronto Centre/Toronto-Centre"," 33","Toronto",0,78,83,6,19,21,1,1,209,371
35108,"Toronto Centre/Toronto-Centre"," 34","Toronto",1,74,170,11,22,9,0,1,288,789
35108,"Toronto Centre/Toronto-Centre"," 35","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,,,240
35108,"Toronto Centre/Toronto-Centre"," 36","Toronto",1,64,108,4,21,16,0,2,216,467
35108,"Toronto Centre/Toronto-Centre"," 37","Toronto",0,68,79,3,17,17,0,0,184,461
35108,"Toronto Centre/Toronto-Centre"," 38","Toronto",1,78,98,3,18,19,0,3,220,379
35108,"Toronto Centre/Toronto-Centre"," 39","Toronto",Merged with No./Fusionné avec le n°438,,,,,,,,,220
35108,"Toronto Centre/Toronto-Centre"," 40","Toronto",0,46,81,9,24,18,0,0,178,390
35108,"Toronto Centre/Toronto-Centre"," 41","Toronto",2,74,133,10,44,24,0,1,288,781
35108,"Toronto Centre/Toronto-Centre"," 42","Toronto",1,60,99,3,32,4,0,2,201,307
35108,"Toronto Centre/Toronto-Centre"," 43","Toronto",2,52,103,4,26,9,1,0,197,558
35108,"Toronto Centre/Toronto-Centre"," 44","Toronto",Merged with No./Fusionné avec le n°439-1,,,,,,,,,261
35108,"Toronto Centre/Toronto-Centre"," 45","Toronto",3,125,150,5,37,21,2,0,343,524
35108,"Toronto Centre/Toronto-Centre"," 46A","Toronto",0,43,67,12,15,6,1,1,145,472
35108,"Toronto Centre/Toronto-Centre"," 46B","Toronto",0,51,69,8,14,6,1,0,149,508
35108,"Toronto Centre/Toronto-Centre"," 47","Toronto",3,82,114,7,36,21,0,0,263,356
35108,"Toronto Centre/Toronto-Centre"," 48","Toronto",0,99,95,10,40,18,0,0,262,541
35108,"Toronto Centre/Toronto-Centre"," 49","Toronto",Merged with No./Fusionné avec le n°48,,,,,,,,,264
35108,"Toronto Centre/Toronto-Centre"," 50","Toronto",Merged with No./Fusionné avec le n°65,,,,,,,,,188
35108,"Toronto Centre/Toronto-Centre"," 51","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 52","Toronto",0,46,94,1,15,13,2,1,172,595
35108,"Toronto Centre/Toronto-Centre"," 53","Toronto",3,45,130,7,19,15,0,3,222,398
35108,"Toronto Centre/Toronto-Centre"," 54","Toronto",Merged with No./Fusionné avec le n°64,,,,,,,,,335
35108,"Toronto Centre/Toronto-Centre"," 55","Toronto",Merged with No./Fusionné avec le n°53,,,,,,,,,371
35108,"Toronto Centre/Toronto-Centre"," 56","Toronto",2,47,72,4,32,17,0,0,174,560
35108,"Toronto Centre/Toronto-Centre"," 57","Toronto",1,48,67,8,14,17,0,0,155,574
35108,"Toronto Centre/Toronto-Centre"," 58A","Toronto",1,50,151,6,21,21,0,1,251,721
35108,"Toronto Centre/Toronto-Centre"," 58B","Toronto",0,42,128,7,21,11,0,2,211,659
35108,"Toronto Centre/Toronto-Centre"," 59","Toronto",4,81,187,8,29,19,1,8,337,709
35108,"Toronto Centre/Toronto-Centre"," 60","Toronto",1,83,95,10,29,19,1,4,242,457
35108,"Toronto Centre/Toronto-Centre"," 61","Toronto",0,45,103,5,20,14,0,4,191,658
35108,"Toronto Centre/Toronto-Centre"," 62","Toronto",3,51,120,6,32,24,1,0,237,510
