Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 150","Stony Plain",4,119,25,36,13,1,0,198,497
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 151A","Stony Plain",0,75,21,31,9,3,1,140,354
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 151B","Stony Plain",2,44,17,27,7,0,0,97,366
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 152","Spruce Grove",3,105,26,51,23,0,0,208,580
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 153","Spruce Grove",1,92,14,35,14,1,0,157,408
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 154","Spruce Grove",2,69,21,48,10,6,2,158,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 155","Spruce Grove",7,93,28,38,15,2,0,183,450
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 156","Spruce Grove",5,80,17,36,10,4,0,152,427
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 157","Spruce Grove",1,88,12,34,8,0,2,145,464
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 158","Spruce Grove",4,53,20,32,4,1,0,114,378
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 159","Spruce Grove",0,63,20,43,13,2,1,142,501
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 160","Spruce Grove",1,56,15,20,9,0,3,104,480
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 161","Spruce Grove",6,120,9,45,11,0,1,192,432
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 162A","Spruce Grove",Merged with No./Fusionné avec le n°164A,,,,,,,,177
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 162B","Spruce Grove",Merged with No./Fusionné avec le n°164B,,,,,,,,163
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 163","Spruce Grove",3,94,29,43,17,0,0,186,399
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 164A","Spruce Grove",0,105,9,50,14,0,0,178,307
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 164B","Spruce Grove",3,123,21,50,23,3,0,223,376
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 165","Spruce Grove",2,64,19,46,11,0,2,144,505
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 166","Spruce Grove",4,99,28,65,20,0,3,219,567
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 167","Spruce Grove",2,53,22,42,14,0,1,134,402
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 168","Parkland County",2,133,12,29,6,2,0,184,382
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 169","Parkland County",5,121,18,29,9,4,1,187,367
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 170","Parkland County",3,129,26,25,8,1,0,192,350
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 171","Stony Plain",7,113,16,43,14,1,0,194,477
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 172","Stony Plain",2,88,15,39,7,0,1,152,456
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 173","Stony Plain",4,100,18,53,11,0,1,187,444
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 174","Stony Plain",4,132,12,54,10,1,0,213,525
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 175","Stony Plain",4,108,16,28,15,1,1,173,478
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 176","Stony Plain",4,180,25,43,12,2,2,268,595
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 177","Stony Plain",1,101,9,24,11,5,0,151,442
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 178A","Stony Plain",3,105,11,28,11,0,6,164,361
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 178B","Stony Plain",2,98,11,33,9,3,0,156,368
