Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Boisclair,Nancy Cardin,Pierre Chénier,Kalden Dhatsenpa,Isabelle Lalonde,Tiny Olinga,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 126","Longueuil",51,6,1,27,15,3,95,9,207,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 127","Longueuil",23,2,1,21,10,8,71,3,139,353
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 128","Longueuil",28,4,0,14,24,7,73,1,151,359
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 129","Longueuil",36,6,1,19,13,5,55,3,138,315
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 130","Longueuil",50,5,0,17,5,3,37,1,118,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 131","Longueuil",32,8,0,12,11,2,27,3,95,350
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 132","Longueuil",48,8,0,21,14,3,57,3,154,448
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 133","Longueuil",44,8,0,21,15,11,41,6,146,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 134","Longueuil",29,6,0,22,11,7,45,2,122,434
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 135","Longueuil",35,6,1,22,13,13,38,3,131,411
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 136","Longueuil",29,7,1,20,16,3,55,0,131,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 137","Longueuil",49,7,1,35,7,7,52,8,166,484
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 138","Longueuil",34,3,0,18,9,7,44,2,117,365
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 139","Longueuil",26,4,0,6,18,6,54,1,115,467
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 140","Longueuil",58,2,0,12,11,10,62,4,159,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 141","Longueuil",72,2,1,15,17,3,72,1,183,449
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 142","Longueuil",58,3,0,14,9,0,82,5,171,386
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 143","Longueuil",64,3,0,16,19,4,66,1,173,398
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 144","Longueuil",50,3,0,16,8,1,63,3,144,361
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 145","Longueuil",53,3,0,8,12,7,61,3,147,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 146","Longueuil",56,2,0,21,18,5,82,4,188,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 147","Longueuil",69,3,1,19,15,9,87,2,205,404
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 148","Longueuil",47,4,0,26,22,9,83,3,194,445
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 149","Longueuil",59,6,0,23,16,7,68,1,180,415
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 150","Longueuil",28,8,1,19,14,2,80,3,155,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 151","Longueuil",34,5,1,29,22,7,91,5,194,455
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 152","Longueuil",28,2,0,19,6,1,58,1,115,346
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 153","Longueuil",23,4,0,15,14,3,43,0,102,338
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 154","Longueuil",21,3,1,15,17,1,79,1,138,355
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 155","Longueuil",25,3,0,13,12,6,51,3,113,337
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 156","Longueuil",15,3,0,27,13,2,73,1,134,372
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 157","Longueuil",36,6,1,25,16,7,102,6,199,407
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 158","Longueuil",24,1,0,11,13,2,43,3,97,447
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 159","Longueuil",37,5,0,16,12,3,38,1,112,395
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 160","Longueuil",28,1,2,23,10,7,43,2,116,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 161","Longueuil",30,5,0,21,15,2,95,3,171,379
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 162","Longueuil",41,4,0,13,12,8,63,7,148,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 163","Longueuil",43,2,0,22,8,4,48,4,131,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 164","Longueuil",41,3,0,27,4,4,47,3,129,400
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 165","Longueuil",55,1,1,25,11,4,71,2,170,430
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 166","Longueuil",23,3,1,21,10,8,47,5,118,389
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 167","Longueuil",33,11,0,14,10,2,54,2,126,342
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 168","Longueuil",35,2,1,20,12,16,71,1,158,356
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 169","Longueuil",34,0,0,10,3,5,65,2,119,477
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 170","Longueuil",69,3,0,11,7,3,34,2,129,350
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 171","Longueuil",25,0,0,16,12,10,65,3,131,352
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 172","Longueuil",28,4,1,14,11,11,53,4,126,373
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 173","Longueuil",39,8,0,18,10,7,59,3,144,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 174","Longueuil",39,5,1,18,7,2,59,2,133,353
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 175","Longueuil",38,6,0,15,16,5,65,5,150,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 176","Longueuil",50,8,0,24,17,5,79,2,185,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 177","Longueuil",21,5,0,12,8,4,38,3,91,348
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 178","Longueuil",27,8,0,20,11,2,78,3,149,387
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 179","Longueuil",34,4,0,23,14,6,81,3,165,437
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 180","Longueuil",39,6,0,22,16,4,90,1,178,380
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 181","Longueuil",30,4,0,15,15,0,73,1,138,331
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 182","Longueuil",26,4,1,17,2,6,69,2,127,335
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 183","Longueuil",25,3,2,30,14,3,68,2,147,418
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 184","Longueuil",47,5,2,19,15,4,93,3,188,429
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 185","Longueuil",20,6,1,25,17,5,92,2,168,381
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 186","Longueuil",25,3,0,35,16,5,104,3,191,376
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 187","Longueuil",46,7,0,16,10,4,70,6,159,360
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 188","Longueuil",66,2,0,18,17,8,75,5,191,384
