Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 185A","Abbotsford",22,44,10,96,132,0,304,120
59016,"Langley--Aldergrove/Langley--Aldergrove"," 185B","Abbotsford",Merged with No./Fusionné avec le n°186B,,,,,,,149
59016,"Langley--Aldergrove/Langley--Aldergrove"," 185C","Abbotsford",Merged with No./Fusionné avec le n°187C,,,,,,,130
59016,"Langley--Aldergrove/Langley--Aldergrove"," 186A","Abbotsford",Merged with No./Fusionné avec le n°185A,,,,,,,178
59016,"Langley--Aldergrove/Langley--Aldergrove"," 186B","Abbotsford",26,61,6,147,134,1,375,216
59016,"Langley--Aldergrove/Langley--Aldergrove"," 186C","Abbotsford",Merged with No./Fusionné avec le n°187C,,,,,,,206
59016,"Langley--Aldergrove/Langley--Aldergrove"," 187A","Abbotsford",Merged with No./Fusionné avec le n°185A,,,,,,,141
59016,"Langley--Aldergrove/Langley--Aldergrove"," 187B","Abbotsford",Merged with No./Fusionné avec le n°186B,,,,,,,182
59016,"Langley--Aldergrove/Langley--Aldergrove"," 187C","Abbotsford",18,52,9,120,170,0,369,174
59016,"Langley--Aldergrove/Langley--Aldergrove"," 188A","Abbotsford",Merged with No./Fusionné avec le n°185A,,,,,,,136
59016,"Langley--Aldergrove/Langley--Aldergrove"," 188B","Abbotsford",Merged with No./Fusionné avec le n°186B,,,,,,,158
59016,"Langley--Aldergrove/Langley--Aldergrove"," 188C","Abbotsford",Merged with No./Fusionné avec le n°187C,,,,,,,189
59016,"Langley--Aldergrove/Langley--Aldergrove"," 189A","Abbotsford",Merged with No./Fusionné avec le n°185A,,,,,,,158
59016,"Langley--Aldergrove/Langley--Aldergrove"," 189B","Abbotsford",Merged with No./Fusionné avec le n°186B,,,,,,,146
59016,"Langley--Aldergrove/Langley--Aldergrove"," 189C","Abbotsford",Merged with No./Fusionné avec le n°187C,,,,,,,151
59016,"Langley--Aldergrove/Langley--Aldergrove"," 190","Matsqui 4",5,47,7,96,83,2,240,370
59016,"Langley--Aldergrove/Langley--Aldergrove"," 400","Langley",Merged with No./Fusionné avec le n°401,,,,,,,72
59016,"Langley--Aldergrove/Langley--Aldergrove"," 401","Langley",4,45,6,77,98,1,231,297
59016,"Langley--Aldergrove/Langley--Aldergrove"," 402","Langley",2,25,3,27,28,0,85,257
59016,"Langley--Aldergrove/Langley--Aldergrove"," 403","Langley",0,33,7,25,21,1,87,267
59016,"Langley--Aldergrove/Langley--Aldergrove"," 404","Langley",Merged with No./Fusionné avec le n°64,,,,,,,163
59016,"Langley--Aldergrove/Langley--Aldergrove"," 405","Langley",Void/Supprimé,,,,,,,
59016,"Langley--Aldergrove/Langley--Aldergrove"," 406","Langley",Merged with No./Fusionné avec le n°128,,,,,,,132
59016,"Langley--Aldergrove/Langley--Aldergrove"," 500","Mobile poll/Bureau itinérant",7,16,7,52,60,4,146,160
59016,"Langley--Aldergrove/Langley--Aldergrove"," 501","Mobile poll/Bureau itinérant",0,8,1,7,5,0,21,37
59016,"Langley--Aldergrove/Langley--Aldergrove"," 502","Mobile poll/Bureau itinérant",0,7,1,38,27,4,77,110
59016,"Langley--Aldergrove/Langley--Aldergrove"," 503","Mobile poll/Bureau itinérant",0,11,1,32,44,3,91,127
59016,"Langley--Aldergrove/Langley--Aldergrove"," 504A","Mobile poll/Bureau itinérant",2,16,4,17,11,2,52,96
59016,"Langley--Aldergrove/Langley--Aldergrove"," 504B","Mobile poll/Bureau itinérant",0,2,0,5,3,1,11,11
