Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 80","Surrey",31,29,3,15,0,78,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 81","Surrey",48,38,10,35,1,132,453
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 82","Surrey",45,85,11,21,2,164,406
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 83","Surrey",57,76,9,33,0,175,525
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 84","Surrey",71,84,4,47,4,210,503
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 85","Surrey",51,81,3,26,1,162,522
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 86","Surrey",61,90,5,32,0,188,501
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 87","Surrey",37,47,5,10,0,99,368
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 88","Surrey",51,51,5,29,0,136,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 89","Surrey",72,87,4,41,1,205,713
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 90","Surrey",64,71,7,23,0,165,659
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 91","Surrey",41,50,3,32,1,127,532
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 92","Surrey",29,52,4,20,1,106,408
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93A","Surrey",80,82,5,42,1,210,680
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 93B","Surrey",74,73,7,37,1,192,546
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 94","Surrey",86,91,9,33,0,219,789
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 95","Surrey",139,113,5,31,0,288,463
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 96","Surrey",80,78,9,43,2,212,651
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 97","Surrey",60,33,4,9,0,106,377
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 98","Surrey",119,108,9,24,0,260,837
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 99","Surrey",74,59,6,25,1,165,446
