Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 33","Hamilton",62,2,85,2,9,2,1,163,477
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 34","Hamilton",41,4,83,0,4,1,0,133,418
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 35","Hamilton",38,4,71,2,8,0,0,123,427
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 36","Hamilton",59,3,135,0,11,0,0,208,503
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 37","Hamilton",53,3,98,0,10,1,2,167,452
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 38","Hamilton",42,5,78,0,4,1,0,130,380
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 39","Hamilton",48,1,54,0,15,0,2,120,410
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 40","Hamilton",40,2,94,1,15,2,1,155,443
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 41","Hamilton",41,3,86,0,17,1,0,148,511
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 42","Hamilton",52,1,94,0,15,2,0,164,463
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 43","Hamilton",55,2,72,1,19,0,0,149,390
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 44","Hamilton",61,0,78,0,1,0,0,140,364
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 45","Hamilton",42,6,81,0,6,1,0,136,437
