Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Michelle Ferreri,Matthew Grove,Emma Harrison,Chad Jewell,Jami-Leigh McMaster,Jazmine Raine,Heather Ray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35086,"Peterborough/Peterborough"," 400","Peterborough",47,0,72,1,3,2,11,0,136,177
35086,"Peterborough/Peterborough"," 401","Peterborough",Combined with No./Résultats combinés à ceux du n°166,,,,,,,,,159
35086,"Peterborough/Peterborough"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,,78
35086,"Peterborough/Peterborough"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,,50
35086,"Peterborough/Peterborough"," 502","Mobile poll/Bureau itinérant",27,1,39,2,0,0,7,1,77,99
35086,"Peterborough/Peterborough"," 503","Mobile poll/Bureau itinérant",28,2,25,1,4,1,6,0,67,68
35086,"Peterborough/Peterborough"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,90
35086,"Peterborough/Peterborough"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,,115
35086,"Peterborough/Peterborough"," 506","Mobile poll/Bureau itinérant",23,0,47,0,1,1,7,0,79,92
35086,"Peterborough/Peterborough"," 507","Mobile poll/Bureau itinérant",34,5,54,2,2,2,7,4,110,245
35086,"Peterborough/Peterborough"," 508","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
