Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Brassard,Andrew Harrigan,John Olthuis,Mark Sampson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 610","Barrie",813,47,598,17,10,1485,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 611","Barrie",707,42,612,11,6,1378,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 612","Innisfil",803,37,450,9,0,1299,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 613","Innisfil",694,34,373,13,10,1124,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 614","Innisfil",847,49,498,16,11,1421,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 615","Innisfil",1030,41,496,8,4,1579,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 616","Innisfil",1037,46,489,12,10,1594,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil"," 617","Innisfil",500,15,328,15,1,859,
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil",,Group 1/Groupe 1, 357,23,342,11,60,793,231
35004,"Barrie South--Innisfil/Barrie-Sud--Innisfil",,Group 2/Groupe 2, 1976,94,1625,26,65,3786,
