Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 120","North Vancouver",0,9,62,1,7,108,0,187,606
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 121","North Vancouver",1,5,50,0,3,59,0,118,339
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 122","North Vancouver",2,11,68,0,3,70,3,157,411
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 123","North Vancouver",0,5,23,0,1,62,0,91,347
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 124","North Vancouver",0,4,72,1,2,85,0,164,552
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 125","North Vancouver",0,11,64,1,6,93,1,176,517
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 126","North Vancouver",2,9,61,0,2,67,0,141,558
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 127","North Vancouver",0,11,41,0,1,97,0,150,400
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 128","North Vancouver",0,10,33,0,2,64,2,111,351
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 129","North Vancouver",1,10,48,0,1,58,0,118,418
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 130","North Vancouver",1,8,55,0,1,65,0,130,418
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 131","North Vancouver",1,6,40,0,3,77,2,129,416
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 132","North Vancouver",2,8,39,0,5,56,0,110,346
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 133","North Vancouver",0,7,33,1,2,40,0,83,360
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 134","North Vancouver",0,6,28,0,6,46,0,86,468
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 135","North Vancouver",0,6,26,0,3,40,0,75,334
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 136","North Vancouver",1,6,34,0,4,50,0,95,359
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 137","North Vancouver",0,11,59,0,4,59,2,135,494
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 138","North Vancouver",0,1,28,0,0,31,0,60,317
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 139","North Vancouver",3,21,58,0,3,94,1,180,548
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 140A","North Vancouver",0,4,34,0,3,58,1,100,330
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 140B","North Vancouver",2,7,34,1,4,46,0,94,322
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 140C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,,25
