Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 159","Kelleys Cove",82,1,56,1,1,0,141,422
12001,"Acadie--Annapolis/Acadie--Annapolis"," 160","Yarmouth",50,7,46,5,2,1,111,363
12001,"Acadie--Annapolis/Acadie--Annapolis"," 161","Yarmouth",102,4,83,1,1,2,193,576
12001,"Acadie--Annapolis/Acadie--Annapolis"," 162","Sand Beach",89,6,51,1,2,1,150,391
12001,"Acadie--Annapolis/Acadie--Annapolis"," 163","Arcadia",81,4,69,2,0,0,156,319
12001,"Acadie--Annapolis/Acadie--Annapolis"," 164","Arcadia",110,7,41,0,4,1,163,302
12001,"Acadie--Annapolis/Acadie--Annapolis"," 165","Pinkneys Point",118,6,66,0,0,1,191,302
12001,"Acadie--Annapolis/Acadie--Annapolis"," 166","Hubbards Point",39,3,20,1,0,1,64,272
12001,"Acadie--Annapolis/Acadie--Annapolis"," 167","Amiraults Hill",53,4,24,1,3,1,86,366
12001,"Acadie--Annapolis/Acadie--Annapolis"," 168","Plymouth",135,8,62,2,0,0,207,384
12001,"Acadie--Annapolis/Acadie--Annapolis"," 169","Surettes Island",92,3,59,3,1,1,159,347
12001,"Acadie--Annapolis/Acadie--Annapolis"," 170","Upper Wedgeport",92,3,59,1,2,1,158,292
12001,"Acadie--Annapolis/Acadie--Annapolis"," 171","Wedgeport",126,9,97,5,1,1,239,377
12001,"Acadie--Annapolis/Acadie--Annapolis"," 172","Comeaus Hill",83,8,50,1,1,0,143,245
12001,"Acadie--Annapolis/Acadie--Annapolis"," 173","Lower Wedgeport",114,9,99,3,1,0,226,382
12001,"Acadie--Annapolis/Acadie--Annapolis"," 174","Tusket",57,5,47,3,2,0,114,301
12001,"Acadie--Annapolis/Acadie--Annapolis"," 175","Belleville",99,4,41,3,0,1,148,458
12001,"Acadie--Annapolis/Acadie--Annapolis"," 176","Ste. Anne du Ruisseau",53,7,50,0,2,1,113,323
12001,"Acadie--Annapolis/Acadie--Annapolis"," 177","Central Argyle",144,6,61,3,2,1,217,456
12001,"Acadie--Annapolis/Acadie--Annapolis"," 178","Pubnico",72,0,12,0,0,0,84,321
12001,"Acadie--Annapolis/Acadie--Annapolis"," 179","East Pubnico",168,6,55,0,1,0,230,403
12001,"Acadie--Annapolis/Acadie--Annapolis"," 180","Upper West Pubnico",89,2,34,1,1,0,127,407
12001,"Acadie--Annapolis/Acadie--Annapolis"," 181","Middle West Pubnico",67,1,40,0,1,0,109,419
12001,"Acadie--Annapolis/Acadie--Annapolis"," 182","Middle West Pubnico",65,5,21,0,1,2,94,363
12001,"Acadie--Annapolis/Acadie--Annapolis"," 183","Lower West Pubnico",89,3,21,1,1,1,116,373
12001,"Acadie--Annapolis/Acadie--Annapolis"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,9
12001,"Acadie--Annapolis/Acadie--Annapolis"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,18
12001,"Acadie--Annapolis/Acadie--Annapolis"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,17
12001,"Acadie--Annapolis/Acadie--Annapolis"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,17
12001,"Acadie--Annapolis/Acadie--Annapolis"," 504","Mobile poll/Bureau itinérant",18,3,43,0,3,0,67,147
12001,"Acadie--Annapolis/Acadie--Annapolis"," 505","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,49
12001,"Acadie--Annapolis/Acadie--Annapolis"," 506","Mobile poll/Bureau itinérant",16,2,29,1,0,0,48,78
12001,"Acadie--Annapolis/Acadie--Annapolis"," 507","Mobile poll/Bureau itinérant",26,6,51,2,3,1,89,32
12001,"Acadie--Annapolis/Acadie--Annapolis"," 508","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,23
12001,"Acadie--Annapolis/Acadie--Annapolis"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,,50
12001,"Acadie--Annapolis/Acadie--Annapolis"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,20
12001,"Acadie--Annapolis/Acadie--Annapolis"," 511","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,54
12001,"Acadie--Annapolis/Acadie--Annapolis"," 512","Mobile poll/Bureau itinérant",44,6,27,0,1,3,81,81
12001,"Acadie--Annapolis/Acadie--Annapolis"," 513","Mobile poll/Bureau itinérant",35,5,33,3,1,4,81,116
12001,"Acadie--Annapolis/Acadie--Annapolis"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°513,,,,,,,2
12001,"Acadie--Annapolis/Acadie--Annapolis"," 515","Yarmouth",Combined with No./Résultats combinés à ceux du n°148,,,,,,,4
12001,"Acadie--Annapolis/Acadie--Annapolis"," 516","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°512,,,,,,,17
12001,"Acadie--Annapolis/Acadie--Annapolis"," 600","Aylesford",349,16,342,7,4,4,722,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 601","Kingston",486,38,722,7,4,10,1267,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 602","Kingston--Greenwood",523,39,615,15,5,2,1199,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 603","Margaretsville--Wilmot",354,24,479,9,10,5,881,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 604","Middleton",321,31,516,18,0,5,891,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 605","Nictaux",337,24,548,10,2,3,924,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 606","Bridgetown",208,19,442,10,5,3,687,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 607","Annapolis Royal",308,27,628,3,7,5,978,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 608","Bear River 6B",Combined with No./Résultats combinés à ceux du n°609,,,,,,,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 609","Cornwallis Park",259,42,429,7,11,2,750,
