Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 138","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°139,,,,,,,,280
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 139","Wood Buffalo",1,5,2,0,194,19,0,221,289
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 140","Fort McMurray",Combined with No./Résultats combinés à ceux du n°134,,,,,,,,325
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 141","Wood Buffalo",0,3,4,0,115,16,0,138,346
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 142","Fort McMurray",0,1,0,0,120,16,0,137,352
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 143A","Fort McMurray",0,0,2,1,175,10,1,189,326
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 143B","Fort McMurray",0,3,2,0,162,6,0,173,311
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 144A","Anzac",Combined with No./Résultats combinés à ceux du n°145A,,,,,,,,113
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 144B","Anzac",Combined with No./Résultats combinés à ceux du n°145B,,,,,,,,75
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 145A","Anzac",2,12,6,2,105,20,1,148,269
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 145B","Anzac",0,7,5,2,139,18,1,172,338
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 146","Janvier 194",Combined with No./Résultats combinés à ceux du n°147,,,,,,,,42
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 147","Janvier 194",1,4,2,3,12,20,0,42,181
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 148","Calling Lake",3,12,9,1,79,34,0,138,379
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 149","Calling Lake",Combined with No./Résultats combinés à ceux du n°148,,,,,,,,73
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 150","Avenir",0,4,1,1,189,13,1,209,495
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 151","Lac La Biche Mission",1,4,2,1,136,15,0,159,496
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 152","Plamondon",2,10,3,5,303,34,0,357,722
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 153","Conklin",0,8,2,0,20,4,0,34,154
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 154","Owl River",0,3,4,0,126,25,1,159,299
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 155","Heart Lake 167",Combined with No./Résultats combinés à ceux du n°154,,,,,,,,61
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 156","Barnegat",1,4,2,2,106,14,0,129,410
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 157","Lac La Biche",0,5,2,2,118,17,1,145,447
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 158","Lac La Biche",0,11,4,3,90,30,0,138,468
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 159","Lac La Biche",0,3,3,8,83,32,0,129,384
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 160","Lac la Biche County",0,3,3,4,57,37,0,104,319
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 161A","Lac La Biche",0,6,2,4,121,30,0,163,469
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 161B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,52
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 162","Lac La Biche",1,4,3,5,72,24,0,109,381
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 163","Beaver Lake",1,5,3,2,106,26,0,143,494
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 164","Beaver Lake 131",Combined with No./Résultats combinés à ceux du n°165,,,,,,,,1
