Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 144","Pickering",81,1,0,1,53,0,0,136,332
35087,"Pickering--Brooklin/Pickering--Brooklin"," 145","Pickering",86,3,1,3,54,4,1,152,413
35087,"Pickering--Brooklin/Pickering--Brooklin"," 146","Pickering",88,4,3,4,48,3,1,151,400
35087,"Pickering--Brooklin/Pickering--Brooklin"," 147","Pickering",94,1,2,2,86,1,0,186,535
35087,"Pickering--Brooklin/Pickering--Brooklin"," 148","Pickering",77,2,0,1,58,3,1,142,403
35087,"Pickering--Brooklin/Pickering--Brooklin"," 149","Pickering",75,2,1,2,71,1,1,153,467
35087,"Pickering--Brooklin/Pickering--Brooklin"," 150","Pickering",90,10,2,1,92,0,0,195,487
35087,"Pickering--Brooklin/Pickering--Brooklin"," 151A","Pickering",84,7,2,1,65,2,0,161,412
35087,"Pickering--Brooklin/Pickering--Brooklin"," 151B","Pickering",68,5,1,1,54,0,0,129,360
35087,"Pickering--Brooklin/Pickering--Brooklin"," 152","Pickering",125,6,1,2,76,4,1,215,425
35087,"Pickering--Brooklin/Pickering--Brooklin"," 153","Pickering",58,6,1,5,75,1,0,146,390
35087,"Pickering--Brooklin/Pickering--Brooklin"," 154","Pickering",69,4,4,1,54,0,0,132,385
35087,"Pickering--Brooklin/Pickering--Brooklin"," 155","Pickering",76,0,0,3,50,2,0,131,415
35087,"Pickering--Brooklin/Pickering--Brooklin"," 156","Pickering",76,4,0,1,58,2,0,141,367
35087,"Pickering--Brooklin/Pickering--Brooklin"," 157","Pickering",102,3,1,5,94,3,0,208,600
35087,"Pickering--Brooklin/Pickering--Brooklin"," 158","Pickering",86,4,0,1,76,3,1,171,452
35087,"Pickering--Brooklin/Pickering--Brooklin"," 159","Pickering",125,12,1,4,106,0,3,251,564
35087,"Pickering--Brooklin/Pickering--Brooklin"," 160","Pickering",114,2,1,1,51,3,0,172,406
35087,"Pickering--Brooklin/Pickering--Brooklin"," 161","Pickering",73,3,2,1,41,1,1,122,525
35087,"Pickering--Brooklin/Pickering--Brooklin"," 162","Pickering",89,3,2,3,64,1,0,162,369
35087,"Pickering--Brooklin/Pickering--Brooklin"," 163","Pickering",93,11,1,0,96,3,1,205,442
35087,"Pickering--Brooklin/Pickering--Brooklin"," 164","Pickering",90,4,2,6,71,2,1,176,373
35087,"Pickering--Brooklin/Pickering--Brooklin"," 165","Pickering",83,3,2,1,106,4,0,199,489
35087,"Pickering--Brooklin/Pickering--Brooklin"," 166","Pickering",106,3,0,0,128,3,1,241,541
35087,"Pickering--Brooklin/Pickering--Brooklin"," 167","Pickering",58,4,0,2,78,3,0,145,450
35087,"Pickering--Brooklin/Pickering--Brooklin"," 168","Pickering",63,6,1,5,45,1,0,121,408
35087,"Pickering--Brooklin/Pickering--Brooklin"," 169","Pickering",69,7,0,0,41,2,0,119,348
35087,"Pickering--Brooklin/Pickering--Brooklin"," 170","Pickering",106,7,0,4,66,4,1,188,565
35087,"Pickering--Brooklin/Pickering--Brooklin"," 171","Pickering",77,7,0,3,63,2,2,154,390
35087,"Pickering--Brooklin/Pickering--Brooklin"," 172","Pickering",85,6,0,2,96,0,0,189,495
35087,"Pickering--Brooklin/Pickering--Brooklin"," 173","Pickering",77,5,0,3,64,2,0,151,441
35087,"Pickering--Brooklin/Pickering--Brooklin"," 174","Pickering",56,4,0,0,46,1,1,108,379
35087,"Pickering--Brooklin/Pickering--Brooklin"," 175","Pickering",90,4,0,2,119,2,0,217,480
35087,"Pickering--Brooklin/Pickering--Brooklin"," 176","Pickering",93,7,0,6,69,6,0,181,425
35087,"Pickering--Brooklin/Pickering--Brooklin"," 177","Pickering",104,2,1,1,65,3,2,178,408
35087,"Pickering--Brooklin/Pickering--Brooklin"," 178","Pickering",94,15,0,5,104,1,1,220,455
35087,"Pickering--Brooklin/Pickering--Brooklin"," 179","Pickering",67,6,0,4,101,0,0,178,397
35087,"Pickering--Brooklin/Pickering--Brooklin"," 180","Pickering",95,12,3,2,88,2,0,202,498
35087,"Pickering--Brooklin/Pickering--Brooklin"," 181","Pickering",61,2,1,0,41,0,0,105,425
35087,"Pickering--Brooklin/Pickering--Brooklin"," 182","Pickering",76,1,3,2,45,0,0,127,360
35087,"Pickering--Brooklin/Pickering--Brooklin"," 183","Pickering",94,8,1,4,102,2,1,212,479
35087,"Pickering--Brooklin/Pickering--Brooklin"," 184","Pickering",116,9,0,11,107,1,2,246,495
35087,"Pickering--Brooklin/Pickering--Brooklin"," 185","Pickering",96,3,1,2,82,0,1,185,390
35087,"Pickering--Brooklin/Pickering--Brooklin"," 186","Pickering",88,2,1,6,74,0,0,171,391
35087,"Pickering--Brooklin/Pickering--Brooklin"," 187","Pickering",93,2,2,4,98,3,1,203,531
35087,"Pickering--Brooklin/Pickering--Brooklin"," 188","Pickering",96,5,1,3,63,1,0,169,452
35087,"Pickering--Brooklin/Pickering--Brooklin"," 189","Pickering",83,5,0,1,60,0,1,150,379
35087,"Pickering--Brooklin/Pickering--Brooklin"," 190","Pickering",94,2,2,4,73,3,1,179,473
35087,"Pickering--Brooklin/Pickering--Brooklin"," 191","Pickering",95,4,0,7,77,3,1,187,425
35087,"Pickering--Brooklin/Pickering--Brooklin"," 192","Pickering",74,4,0,4,38,1,0,121,392
35087,"Pickering--Brooklin/Pickering--Brooklin"," 193","Pickering",73,5,1,3,62,0,0,144,357
