Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Boisvert,Ruth Fontaine,Barbara Joannette,Dave Pouliot,Jacques Ramsay,Alain Therrien,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24032,"La Prairie--Atateken/La Prairie--Atateken"," 168","Saint-Constant",6,3,5,31,57,100,1,203,466
24032,"La Prairie--Atateken/La Prairie--Atateken"," 169","Saint-Constant",8,0,3,61,86,96,2,256,558
24032,"La Prairie--Atateken/La Prairie--Atateken"," 170","Saint-Constant",4,1,2,36,66,86,1,196,494
24032,"La Prairie--Atateken/La Prairie--Atateken"," 171","Saint-Constant",4,1,7,40,94,92,3,241,552
24032,"La Prairie--Atateken/La Prairie--Atateken"," 172","Saint-Constant",6,1,5,46,63,105,5,231,550
24032,"La Prairie--Atateken/La Prairie--Atateken"," 173","Saint-Constant",10,0,1,99,151,83,2,346,740
24032,"La Prairie--Atateken/La Prairie--Atateken"," 174","Saint-Constant",10,0,5,59,90,81,2,247,596
24032,"La Prairie--Atateken/La Prairie--Atateken"," 175","Saint-Constant",6,2,2,78,132,70,5,295,574
24032,"La Prairie--Atateken/La Prairie--Atateken"," 176","Saint-Constant",9,0,3,30,88,77,1,208,441
24032,"La Prairie--Atateken/La Prairie--Atateken"," 177","Saint-Constant",8,1,2,35,80,78,3,207,423
24032,"La Prairie--Atateken/La Prairie--Atateken"," 178","Saint-Constant",9,2,1,70,82,58,3,225,589
24032,"La Prairie--Atateken/La Prairie--Atateken"," 179","Saint-Constant",4,0,0,19,37,31,1,92,219
24032,"La Prairie--Atateken/La Prairie--Atateken"," 180","Saint-Constant",3,1,3,55,70,72,2,206,533
24032,"La Prairie--Atateken/La Prairie--Atateken"," 181","Saint-Constant",5,2,5,48,98,117,1,276,531
24032,"La Prairie--Atateken/La Prairie--Atateken"," 182","Saint-Constant",6,2,2,34,60,86,3,193,452
24032,"La Prairie--Atateken/La Prairie--Atateken"," 183","Saint-Constant",4,2,1,48,63,22,2,142,259
24032,"La Prairie--Atateken/La Prairie--Atateken"," 184","Saint-Constant",4,0,1,54,55,82,5,201,486
24032,"La Prairie--Atateken/La Prairie--Atateken"," 185","Saint-Mathieu",4,0,1,20,31,48,6,110,355
24032,"La Prairie--Atateken/La Prairie--Atateken"," 186","Saint-Mathieu",4,0,0,50,69,90,4,217,533
24032,"La Prairie--Atateken/La Prairie--Atateken"," 187","Saint-Mathieu",7,1,1,26,43,52,2,132,316
24032,"La Prairie--Atateken/La Prairie--Atateken"," 188","Saint-Mathieu",4,1,2,49,48,88,3,195,430
24032,"La Prairie--Atateken/La Prairie--Atateken"," 189","Saint-Mathieu",5,0,2,51,82,77,0,217,441
24032,"La Prairie--Atateken/La Prairie--Atateken"," 400","Candiac",7,1,1,20,148,91,9,277,335
24032,"La Prairie--Atateken/La Prairie--Atateken"," 401","Sainte-Catherine",3,0,3,3,87,97,14,207,272
24032,"La Prairie--Atateken/La Prairie--Atateken"," 402","Candiac",3,0,1,14,238,88,6,350,428
24032,"La Prairie--Atateken/La Prairie--Atateken"," 500","Mobile poll/Bureau itinérant",1,0,0,6,27,15,8,57,98
24032,"La Prairie--Atateken/La Prairie--Atateken"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,39
24032,"La Prairie--Atateken/La Prairie--Atateken"," 502","La Prairie",1,3,2,13,94,46,7,166,205
24032,"La Prairie--Atateken/La Prairie--Atateken"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,26
24032,"La Prairie--Atateken/La Prairie--Atateken"," 504","Mobile poll/Bureau itinérant",0,0,0,2,35,38,1,76,45
24032,"La Prairie--Atateken/La Prairie--Atateken"," 505","Sainte-Catherine",1,0,3,10,68,60,12,154,189
24032,"La Prairie--Atateken/La Prairie--Atateken"," 506","Saint-Constant",Combined with No./Résultats combinés à ceux du n°107,,,,,,,,47
24032,"La Prairie--Atateken/La Prairie--Atateken"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,22
24032,"La Prairie--Atateken/La Prairie--Atateken"," 600","La Prairie",27,9,9,130,544,321,8,1048,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 601","La Prairie",19,2,5,112,596,360,9,1103,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 602","La Prairie",21,2,4,121,719,384,10,1261,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 603","La Prairie",14,3,10,129,408,367,11,942,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 604","La Prairie",22,5,5,123,603,266,1,1025,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 605","La Prairie",8,5,3,127,380,251,8,782,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 606","La Prairie",29,2,5,132,699,274,5,1146,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 607","Candiac",24,3,11,115,545,306,9,1013,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 608","Sainte-Catherine",15,1,6,144,374,427,21,988,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 609","Delson",21,6,5,106,401,371,6,916,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 610","Candiac",27,5,5,93,642,333,7,1112,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 611","Candiac",22,2,7,186,761,238,9,1225,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 612","Candiac",7,10,6,145,665,184,5,1022,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 613","Candiac",9,2,5,160,824,181,3,1184,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 614","Saint-Philippe",23,10,11,206,418,425,17,1110,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 615","Saint-Philippe",10,4,12,125,261,283,17,712,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 616","Delson",17,2,14,127,436,413,8,1017,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 617","Saint-Constant",22,6,1,131,314,376,6,856,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 618","Sainte-Catherine",21,5,3,121,317,335,6,808,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 619","Sainte-Catherine",21,5,10,135,322,403,13,909,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 620","Saint-Constant",28,5,5,162,404,430,10,1044,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 621","Saint-Constant",25,4,13,137,498,489,9,1175,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 622","Saint-Constant",11,0,3,185,448,424,10,1081,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 623","Saint-Constant",16,4,4,98,342,490,12,966,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 624","Saint-Constant",19,4,9,112,381,435,7,967,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 625","Saint-Constant",28,1,10,177,443,343,8,1010,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 626","Kahnawake",29,7,9,135,330,415,10,935,
24032,"La Prairie--Atateken/La Prairie--Atateken"," 627","Kahnawake 14",1,1,0,4,11,0,1,18,
24032,"La Prairie--Atateken/La Prairie--Atateken",,Group 1/Groupe 1, 40,5,11,75,309,141,33,614,119
24032,"La Prairie--Atateken/La Prairie--Atateken",,Group 2/Groupe 2, 15,8,7,167,598,235,30,1060,
