Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 178B","Burnaby",11,0,49,1,47,1,109,465
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 179","Burnaby",12,5,57,1,51,1,127,528
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 180","Burnaby",18,1,55,2,40,0,116,435
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 181","Burnaby",6,4,80,1,91,2,184,593
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 182","Burnaby",12,4,50,1,74,0,141,428
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 183","Burnaby",20,3,72,0,107,2,204,508
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 184","Burnaby",18,3,30,0,77,1,129,367
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 185","Burnaby",14,2,56,1,49,1,123,370
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 186A","Burnaby",13,1,55,0,65,1,135,353
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 186B","Burnaby",12,1,42,1,78,0,134,344
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 187","New Westminster",21,1,37,0,29,0,88,388
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 188","Burnaby",17,3,50,1,68,1,140,421
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 189","Burnaby",22,2,86,3,100,0,213,591
