Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 94","Port Coquitlam",72,3,19,2,46,1,143,501
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 95","Port Coquitlam",54,3,21,2,42,1,123,366
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 96","Port Coquitlam",50,0,10,1,38,3,102,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 97","Port Coquitlam",89,4,13,2,65,1,174,470
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 98","Port Coquitlam",67,0,22,1,81,0,171,407
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 99A","Port Coquitlam",45,2,16,2,42,0,107,351
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 99B","Port Coquitlam",22,0,6,0,39,1,68,243
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 100","Port Coquitlam",78,1,22,2,99,0,202,445
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 101","Port Coquitlam",56,2,13,0,74,0,145,328
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 102","Port Coquitlam",77,2,23,6,62,0,170,467
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 103","Port Coquitlam",85,2,17,1,83,0,188,461
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 104A","Port Coquitlam",66,5,21,1,37,1,131,282
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 104B","Port Coquitlam",58,1,10,1,34,1,105,230
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 105","Port Coquitlam",75,4,14,4,68,1,166,462
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 106","Port Coquitlam",73,3,16,2,78,2,174,505
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 107","Port Coquitlam",78,3,23,2,83,0,189,489
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 108A","Port Coquitlam",99,5,16,1,84,0,205,314
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 108B","Port Coquitlam",99,5,16,1,84,0,205,226
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 109","Port Coquitlam",87,2,15,5,68,2,179,452
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 110A","Port Coquitlam",60,3,20,1,83,1,168,409
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 110B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,54
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 111","Port Coquitlam",77,4,17,5,75,1,179,446
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 112","Port Coquitlam",81,2,21,3,55,0,162,413
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 113","Port Coquitlam",83,5,19,2,69,0,178,487
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 114","Port Coquitlam",137,2,25,2,93,3,262,472
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 115A","Port Coquitlam",47,1,10,0,55,0,113,291
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 115B","Port Coquitlam",35,2,5,0,44,1,87,242
