Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Réal Batrhino Martel,Nataël Bureau,Philippe D'Arcangeli,Henri Donascimento,Daniel Lebel,Éric Lefebvre,Alain Saint-Pierre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 171","Danville",4,2,5,1,58,53,54,2,179,379
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 172","Danville",0,3,3,4,39,48,66,3,166,291
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 173","Shipton",2,4,3,0,38,56,26,4,133,292
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 174","Val-des-Sources",2,5,2,0,51,38,32,5,135,373
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 175","Danville",0,6,5,1,45,54,27,1,139,423
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 176","Saint-Camille",6,7,2,2,90,65,63,2,237,329
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 177","Saint-Georges-de-Windsor",1,6,6,0,67,63,80,7,230,420
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 178","Saint-Georges-de-Windsor",0,6,3,0,92,60,41,3,205,354
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 179","Saint-Claude",0,4,10,1,64,47,31,0,157,260
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 180","Saint-Claude",1,3,2,5,58,62,42,6,179,303
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 181","Cleveland",2,5,0,0,28,45,36,3,119,299
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 182A","Cleveland",0,2,2,2,30,33,30,3,102,249
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 182B","Cleveland",Combined with No./Résultats combinés à ceux du n°525,,,,,,,,,38
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 183","Cleveland",0,6,1,0,31,45,61,0,144,284
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 184","Cleveland",0,3,2,1,42,52,67,2,169,425
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 185","Richmond",1,3,1,1,31,65,52,5,159,373
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 186","Richmond",0,3,2,0,35,45,40,3,128,327
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 187A","Richmond",0,5,4,4,39,34,26,3,115,326
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 187B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°526,,,,,,,,,36
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 188","Richmond",1,8,1,3,50,47,47,1,158,377
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 189","Richmond",0,6,1,2,25,44,30,1,109,344
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 190","Richmond",0,9,1,1,31,39,61,1,143,385
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 191","Melbourne",2,2,2,2,23,43,65,3,142,334
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 192","Ulverton",4,5,5,1,72,88,73,4,252,406
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 193","Richmond",3,3,8,1,25,39,29,2,110,318
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 194","Melbourne",1,6,6,2,30,40,66,2,153,308
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 195","Saint-Claude",2,5,0,0,63,56,34,2,162,386
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 196","Val-Joli",1,2,3,0,28,38,25,1,98,240
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 197","Val-Joli",0,2,4,2,69,55,55,3,190,387
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 198","Saint-Claude",0,2,1,0,26,37,30,0,96,248
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 199","Windsor",4,6,0,2,56,43,52,1,164,398
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 200","Windsor",1,6,4,5,80,30,36,4,166,367
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 201","Windsor",2,7,3,2,67,42,53,4,180,415
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 202","Windsor",2,4,2,1,69,67,70,9,224,469
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 203","Val-Joli",2,5,0,2,66,56,39,5,175,381
