Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gérard Briand,Bart Cortenbach,Caroline Desbiens,Gabriel Hardy,Alex Ouellet-Bélanger,Élie Prud'Homme-Tessier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 210","Québec",2,0,33,54,44,1,0,134,350
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 211","Québec",3,0,41,71,57,4,2,178,320
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 212","Québec",5,1,51,119,49,3,1,229,460
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 213","Sainte-Pétronille",3,0,76,80,57,0,1,217,368
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 214","Sainte-Pétronille",1,0,73,32,55,0,2,163,271
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 215","Sainte-Pétronille",2,0,44,17,40,3,0,106,233
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,12
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,,9
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 502","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,8
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 503","Mobile poll/Bureau itinérant",1,0,10,1,2,0,2,16,14
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 504","Mobile poll/Bureau itinérant",2,0,7,2,6,0,0,17,34
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 505","Mobile poll/Bureau itinérant",0,1,10,2,9,0,2,24,18
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 506","Mobile poll/Bureau itinérant",1,4,39,6,57,2,5,114,174
24051,"Montmorency--Charlevoix/Montmorency--Charlevoix"," 507","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,6
