Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Richard Bragdon,Vern Brundle,Liam MacDougall,Julian Moulton,Michael John Winter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Richmond",113,2,4,31,3,0,153,338
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 126","Pinder",122,6,2,46,2,0,178,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Bull Lake",87,1,2,20,1,1,112,275
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128","Hanwell",75,2,6,80,6,0,169,487
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 129","Nackawic",92,0,1,38,1,2,134,353
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Nackawic",51,0,0,34,2,0,87,303
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131","Rossville",76,0,2,36,2,0,116,438
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Mazerolle Settlement",75,7,7,56,7,0,152,432
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133","Mazerolle Settlement",37,0,2,26,1,0,66,239
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Mazerolle Settlement",32,1,2,45,2,2,84,285
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135","Mazerolle Settlement",85,2,5,82,3,0,177,450
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 136","Newmarket",80,2,1,73,1,1,158,435
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137","Prince William",96,3,4,68,3,1,175,443
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 138","Woodstock",101,7,1,66,6,0,181,409
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Woodstock",147,3,6,59,10,2,227,431
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Yoho",57,2,3,47,0,0,109,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Meductic",179,1,2,41,7,2,232,413
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 142","Dumfries",140,2,3,90,11,0,246,418
