Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Andresen,Jérémie Juneau,Sébastien Lemire,Vincent Palin-Bussières,Steve Tardif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 523","Mobile poll/Bureau itinérant",26,1,26,0,2,3,58,50
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°523,,,,,,,11
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,15
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,18
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 527","Mobile poll/Bureau itinérant",17,2,10,0,2,2,33,26
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 528","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°527,,,,,,,20
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 529","Lorrainville",Combined with No./Résultats combinés à ceux du n°214,,,,,,,0
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 530","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,21
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,34
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 532","Mobile poll/Bureau itinérant",16,2,15,1,6,0,40,36
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","Barraute",108,4,135,0,65,2,314,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","Amos",177,5,171,1,83,6,443,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Amos",332,20,400,1,134,9,896,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Amos",243,23,359,7,113,15,760,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","Pikogan",2,0,3,0,0,0,5,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Preissac",137,13,195,8,84,7,444,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Villemontel",23,3,59,0,21,2,108,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Macamic",129,4,235,3,84,11,466,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","La Sarre",174,11,258,1,102,4,550,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Sainte-Hélène-de-Mancebourg",234,14,429,0,119,12,808,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Duparquet",62,5,126,1,50,1,245,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",230,14,392,9,109,14,768,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 612","Rouyn-Noranda",333,21,501,8,89,24,976,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 613","Rouyn-Noranda",415,19,520,7,115,14,1090,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 614","Rouyn-Noranda",317,23,477,5,94,22,938,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 615","Rouyn-Noranda",304,13,411,3,87,11,829,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 616","Rouyn-Noranda",118,17,241,3,89,7,475,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 617","Notre-Dame-du-Nord",96,7,109,1,59,2,274,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 618","Timiskaming",23,1,2,0,4,0,30,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 619","Latulipe",35,5,58,0,15,1,114,
