Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Adam Chambers,Russ Emo,Ray Little,Melissa Lloyd,Stephen Toivo Makk,Ryan Rocca,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35099,"Simcoe North/Simcoe-Nord"," 210","Ramara",79,0,4,4,1,22,0,110,379
35099,"Simcoe North/Simcoe-Nord"," 211","Ramara",92,0,2,5,1,47,3,150,474
35099,"Simcoe North/Simcoe-Nord"," 400","Penetanguishene",32,5,7,15,10,46,4,119,140
35099,"Simcoe North/Simcoe-Nord"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°508,,,,,,,,53
35099,"Simcoe North/Simcoe-Nord"," 501","Mobile poll/Bureau itinérant",10,2,2,5,0,36,2,57,83
35099,"Simcoe North/Simcoe-Nord"," 502","Penetanguishene",Combined with No./Résultats combinés à ceux du n°45,,,,,,,,3
35099,"Simcoe North/Simcoe-Nord"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,30
35099,"Simcoe North/Simcoe-Nord"," 504A","Mobile poll/Bureau itinérant",30,1,1,2,2,71,2,109,160
35099,"Simcoe North/Simcoe-Nord"," 504B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504A,,,,,,,,63
35099,"Simcoe North/Simcoe-Nord"," 505","Mobile poll/Bureau itinérant",37,2,5,13,4,62,1,124,161
35099,"Simcoe North/Simcoe-Nord"," 506","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
35099,"Simcoe North/Simcoe-Nord"," 507A","Mobile poll/Bureau itinérant",24,2,7,12,1,36,2,84,119
35099,"Simcoe North/Simcoe-Nord"," 507B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507A,,,,,,,,7
35099,"Simcoe North/Simcoe-Nord"," 508","Mobile poll/Bureau itinérant",29,0,4,2,1,38,2,76,49
35099,"Simcoe North/Simcoe-Nord"," 509","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,108
35099,"Simcoe North/Simcoe-Nord"," 510","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,,23
35099,"Simcoe North/Simcoe-Nord"," 511","Mobile poll/Bureau itinérant",41,1,0,5,1,32,3,83,90
35099,"Simcoe North/Simcoe-Nord"," 512","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,52
35099,"Simcoe North/Simcoe-Nord"," 513","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°522,,,,,,,,73
35099,"Simcoe North/Simcoe-Nord"," 514","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,32
35099,"Simcoe North/Simcoe-Nord"," 515","Mobile poll/Bureau itinérant",26,1,1,3,0,27,2,60,94
35099,"Simcoe North/Simcoe-Nord"," 516","Mobile poll/Bureau itinérant",36,1,3,3,1,31,2,77,57
35099,"Simcoe North/Simcoe-Nord"," 517","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°516,,,,,,,,57
35099,"Simcoe North/Simcoe-Nord"," 518","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°519,,,,,,,,26
35099,"Simcoe North/Simcoe-Nord"," 519","Mobile poll/Bureau itinérant",26,2,2,4,0,22,3,59,34
35099,"Simcoe North/Simcoe-Nord"," 520","Orillia",Combined with No./Résultats combinés à ceux du n°162,,,,,,,,3
35099,"Simcoe North/Simcoe-Nord"," 521","Mobile poll/Bureau itinérant",24,0,0,5,2,28,2,61,44
35099,"Simcoe North/Simcoe-Nord"," 522","Mobile poll/Bureau itinérant",35,7,5,6,1,41,1,96,148
35099,"Simcoe North/Simcoe-Nord"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°521,,,,,,,,43
35099,"Simcoe North/Simcoe-Nord"," 524","Mobile poll/Bureau itinérant",41,2,6,8,1,81,5,144,128
35099,"Simcoe North/Simcoe-Nord"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°524,,,,,,,,68
35099,"Simcoe North/Simcoe-Nord"," 600","Christian Island 30",Combined with No./Résultats combinés à ceux du n°601,,,,,,,,
35099,"Simcoe North/Simcoe-Nord"," 601","Tiny",419,1,8,29,4,503,1,965,
35099,"Simcoe North/Simcoe-Nord"," 602","Penetanguishene",474,5,18,40,12,782,5,1336,
35099,"Simcoe North/Simcoe-Nord"," 603","Penetanguishene",546,5,23,48,8,825,3,1458,
35099,"Simcoe North/Simcoe-Nord"," 604","Tiny",533,3,11,38,8,625,3,1221,
35099,"Simcoe North/Simcoe-Nord"," 605","Tiny",595,2,15,28,13,570,6,1229,
35099,"Simcoe North/Simcoe-Nord"," 606","Midland",590,2,16,38,9,803,7,1465,
35099,"Simcoe North/Simcoe-Nord"," 607","Midland",442,2,20,45,7,674,7,1197,
35099,"Simcoe North/Simcoe-Nord"," 608","Midland",455,1,14,28,10,654,4,1166,
35099,"Simcoe North/Simcoe-Nord"," 609","Tay",636,0,10,44,10,525,4,1229,
