Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 122","Cornwall",100,57,0,8,0,4,169,606
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 123","Cornwall",57,54,1,4,2,0,118,413
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 124","Cornwall",56,36,5,3,0,0,100,522
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 125","Cornwall",73,51,1,12,0,0,137,537
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 126","Cornwall",61,72,1,5,0,0,139,383
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 127","Cornwall",61,80,3,1,0,1,146,515
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 128","Cornwall",102,67,0,12,0,1,182,504
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 129","Cornwall",64,50,2,9,0,0,125,521
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 130","Cornwall",87,36,1,8,0,0,132,478
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 131","Cornwall",92,62,0,7,1,2,164,519
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 132","Cornwall",87,58,0,11,1,0,157,436
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 133","Cornwall",89,61,3,7,1,0,161,433
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 134","Cornwall",87,86,1,9,1,2,186,479
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 135","Cornwall",69,56,0,1,1,0,127,418
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 136","Cornwall",76,54,2,6,1,0,139,394
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 137","Cornwall",83,75,6,3,0,2,169,477
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 138","Cornwall",75,47,1,5,0,0,128,443
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 139","Cornwall",99,47,0,5,1,0,152,462
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 140","Newington",202,52,2,7,2,0,265,426
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 141","Sandtown",128,30,2,2,0,0,162,336
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 142","Cornwall",72,49,1,4,0,1,127,429
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 143","Cornwall",67,34,3,13,0,0,117,476
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 144","Cornwall",41,44,0,2,0,0,87,439
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 145","Cornwall",62,32,1,2,0,1,98,477
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 146","Cornwall",63,42,0,4,0,0,109,334
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 147","Cornwall",79,52,1,7,0,2,141,475
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 148","Cornwall",83,44,2,7,1,1,138,465
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 149","Cornwall",77,46,3,4,0,0,130,488
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 150","Cornwall",69,52,2,7,2,1,133,379
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 151","Cornwall",70,41,2,1,0,0,114,337
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 152","Cornwall",72,56,1,5,0,2,136,422
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 153","Cornwall",62,45,3,5,0,1,116,485
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 154","Cornwall",46,61,1,4,0,0,112,442
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 155","Cornwall",43,48,0,6,1,0,98,351
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 156","The Ninth",111,44,5,4,0,0,164,416
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 157","North Dundas",89,37,3,5,2,1,137,465
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 158","North Dundas",95,57,0,4,1,0,157,419
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 159","Limerick",98,45,4,2,3,0,152,432
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 160","Forward",107,40,4,5,0,0,156,398
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 161","Cornwall",60,32,0,6,1,1,100,479
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 162","Cornwall",101,50,3,11,0,0,165,538
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 163","Cornwall",58,31,0,5,0,0,94,440
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 164","Cornwall",83,42,1,7,2,0,135,462
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 165","Akwesasne (Part) 59",17,24,1,1,0,0,43,960
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 165-1","Akwesasne (Part) 59",Combined with No./Résultats combinés à ceux du n°165,,,,,,,35
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 166","Cornwall",57,41,3,0,1,0,102,413
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 167","Lunenburg",103,23,0,2,0,1,129,266
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 168","Lakeview Heights",116,25,2,5,1,0,149,414
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 169","North Lunenburg",93,37,2,1,0,0,133,323
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 170","Lakeview Heights",98,66,2,2,0,3,171,484
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 171","Long Sault",93,96,1,1,0,0,191,557
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 172","Long Sault",66,58,2,5,1,0,132,371
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 173","South Stormont",88,48,1,5,0,0,142,485
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 174","South Stormont",85,36,0,3,3,0,127,370
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 175","Long Sault",75,42,0,6,1,1,125,370
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 176","Long Sault",120,74,0,0,0,0,194,446
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 177","Cornwall",97,95,0,0,0,0,192,577
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 178A","Cornwall",90,47,0,4,0,0,141,426
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 178B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°532,,,,,,,57
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 179","Cornwall",93,60,3,5,0,1,162,475
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 180","Cornwall",63,71,1,3,2,0,140,430
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 181","Cornwall",84,99,1,2,1,1,188,504
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 182","Cornwall",59,61,0,4,1,1,126,419
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 183","Ormond",135,45,2,3,0,0,185,457
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 184","Annable Settlement",113,57,2,6,0,0,178,480
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 185","Harmony",94,38,0,4,0,0,136,426
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 186","Winchester",62,33,4,0,0,0,99,344
