Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ravinder Bhatia,Don Davies,Amy K. Gill,Imtiaz Popat,Fiona Wang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59039,"Vancouver Kingsway/Vancouver Kingsway"," 182","Vancouver",51,79,38,2,2,0,172,443
59039,"Vancouver Kingsway/Vancouver Kingsway"," 183","Vancouver",Combined with No./Résultats combinés à ceux du n°184,,,,,,,366
59039,"Vancouver Kingsway/Vancouver Kingsway"," 184","Vancouver",87,104,112,2,2,2,309,379
59039,"Vancouver Kingsway/Vancouver Kingsway"," 185","Vancouver",76,44,70,6,1,0,197,388
59039,"Vancouver Kingsway/Vancouver Kingsway"," 400","Vancouver",Combined with No./Résultats combinés à ceux du n°401,,,,,,,243
59039,"Vancouver Kingsway/Vancouver Kingsway"," 401","Vancouver",91,63,79,1,0,0,234,313
59039,"Vancouver Kingsway/Vancouver Kingsway"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,11
59039,"Vancouver Kingsway/Vancouver Kingsway"," 501","Mobile poll/Bureau itinérant",4,4,7,0,0,0,15,16
59039,"Vancouver Kingsway/Vancouver Kingsway"," 502","Mobile poll/Bureau itinérant",13,44,21,4,4,2,88,69
59039,"Vancouver Kingsway/Vancouver Kingsway"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,61
59039,"Vancouver Kingsway/Vancouver Kingsway"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,57
59039,"Vancouver Kingsway/Vancouver Kingsway"," 600","Vancouver",106,308,252,4,3,3,676,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 601","Vancouver",175,578,458,10,2,6,1229,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 602","Vancouver",208,685,605,13,5,3,1519,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 603","Vancouver",274,566,508,15,8,3,1374,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 604","Vancouver",258,365,344,9,2,3,981,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 605","Vancouver",244,350,290,6,6,5,901,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 606","Vancouver",312,455,508,15,9,6,1305,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 607","Vancouver",233,463,332,9,9,6,1052,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 608","Vancouver",208,325,271,7,0,3,814,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 609","Vancouver",238,400,283,7,6,1,935,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 610","Vancouver",191,294,271,9,5,6,776,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 611","Vancouver",223,300,358,7,2,2,892,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 612","Vancouver",386,565,475,8,12,7,1453,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 613","Vancouver",212,383,411,10,2,3,1021,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 614","Vancouver",118,294,304,9,1,1,727,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 615","Vancouver",130,369,413,5,1,2,920,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 616","Vancouver",256,427,407,9,5,3,1107,
59039,"Vancouver Kingsway/Vancouver Kingsway"," 617","Vancouver",201,223,390,8,0,1,823,
59039,"Vancouver Kingsway/Vancouver Kingsway",,Group 1/Groupe 1, 224,488,486,18,8,55,1279,476
59039,"Vancouver Kingsway/Vancouver Kingsway",,Group 2/Groupe 2, 419,1073,1078,25,16,72,2683,
