Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Naveed Ahmed,Nadeem Akbar,Adam Van Koeverden,Charles Zach,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 73","Milton",2,105,99,4,0,210,491
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 74","Milton",4,105,87,2,1,199,529
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 75","Milton",8,101,111,0,1,221,641
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 76","Milton",8,88,123,2,0,221,607
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 77","Milton",9,110,165,2,2,288,660
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 78","Milton",6,126,162,5,1,300,624
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 79","Milton",4,98,141,0,0,243,646
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 80","Milton",3,110,109,3,1,226,590
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 81","Milton",8,94,150,2,0,254,637
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 82","Milton",Combined with No./Résultats combinés à ceux du n°24B,,,,,,171
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 83","Milton",Combined with No./Résultats combinés à ceux du n°93,,,,,,29
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 84","Milton",Combined with No./Résultats combinés à ceux du n°88,,,,,,43
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 85","Milton",Combined with No./Résultats combinés à ceux du n°89,,,,,,44
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 86","Milton",Combined with No./Résultats combinés à ceux du n°93,,,,,,171
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 87","Milton",9,118,112,3,1,243,477
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 88","Milton",11,108,124,0,2,245,165
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 89","Milton",5,75,91,1,0,172,317
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 90","Milton",5,51,29,1,0,86,268
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 91","Burlington",Combined with No./Résultats combinés à ceux du n°93,,,,,,0
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 92","Burlington",Combined with No./Résultats combinés à ceux du n°93,,,,,,0
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 93","Burlington",9,106,94,2,1,212,271
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 94","Burlington",Combined with No./Résultats combinés à ceux du n°88,,,,,,310
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 95","Milton",2,56,40,1,1,100,277
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 96","Burlington",3,100,83,1,1,188,461
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 97","Burlington",5,117,92,4,2,220,539
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 98A","Burlington",5,100,98,4,0,207,461
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 98B","Burlington",4,91,57,0,1,153,406
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 99","Burlington",13,109,95,0,2,219,545
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 100","Burlington",2,118,96,5,0,221,517
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 101","Burlington",4,131,80,2,3,220,518
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 102","Milton",3,111,86,5,0,205,435
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 103","Burlington",2,97,99,1,0,199,491
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 104","Burlington",4,120,91,6,0,221,514
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 105","Burlington",6,118,141,6,1,272,556
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 106","Burlington",7,126,114,2,0,249,582
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 107","Burlington",6,146,113,2,0,267,572
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 108","Burlington",7,140,97,1,0,245,484
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 109","Burlington",4,132,151,0,0,287,503
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 110","Burlington",3,151,95,3,1,253,525
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 111","Burlington",4,124,111,2,2,243,484
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 112","Burlington",9,123,101,2,0,235,531
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 113","Burlington",8,114,144,0,0,266,508
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 114","Burlington",5,130,132,3,0,270,575
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 115","Burlington",3,142,125,1,2,273,602
35018,"Burlington North--Milton West/Burlington-Nord--Milton-Ouest"," 116","Burlington",5,125,142,1,0,273,562
