Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 112","West Kelowna",61,2,0,1,39,0,0,103,330
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 113","West Kelowna",Combined with No./Résultats combinés à ceux du n°111,,,,,,,,299
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 114","Central Okanagan West",116,3,2,3,74,0,0,198,424
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 115","Peachland",150,5,3,0,67,0,1,226,421
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 116","Peachland",90,2,2,0,66,0,1,161,515
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 117","Peachland",Combined with No./Résultats combinés à ceux du n°115,,,,,,,,407
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 118","Peachland",79,4,3,0,63,0,0,149,436
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 119","Peachland",55,5,2,0,41,0,0,103,427
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 120","Peachland",91,3,3,1,29,0,0,127,396
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 121","Tsinstikeptum 9",101,6,1,0,83,2,0,193,443
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 122","West Kelowna",76,9,1,0,61,0,1,148,432
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 123","Tsinstikeptum 9",65,6,2,0,34,0,0,107,497
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 124","West Kelowna",91,4,3,0,71,0,3,172,533
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 125","Tsinstikeptum 9",69,10,1,0,54,0,0,134,553
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 126","West Kelowna",114,6,0,2,53,0,1,176,445
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 127","Kelowna",148,3,1,1,109,0,0,262,471
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 128","Kelowna",75,3,3,1,82,0,0,164,391
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 129","Kelowna",65,3,2,1,64,0,1,136,411
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 130","Kelowna",54,4,1,0,40,0,0,99,432
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 131","Kelowna",Combined with No./Résultats combinés à ceux du n°134,,,,,,,,337
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 132","Kelowna",122,7,3,2,105,0,0,239,797
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 133","Kelowna",65,5,1,1,43,0,0,115,394
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 134","Kelowna",107,6,2,0,112,0,0,227,397
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 135","Kelowna",76,5,1,0,79,0,1,162,451
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 136","Kelowna",70,3,1,0,61,0,0,135,465
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 137","Kelowna",88,3,2,1,98,0,3,195,468
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 138","Kelowna",90,8,2,0,89,0,2,191,470
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 139","Kelowna",129,1,4,0,109,0,0,243,442
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 140","Kelowna",70,4,1,0,60,0,0,135,421
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 141","Kelowna",57,7,0,0,57,0,0,121,359
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 142","Kelowna",131,5,1,1,90,0,0,228,234
