Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Claude Bertrand,Sophie Chatel,Todd Hoffman,Brian Nolan,Suzanne Proulx,Gilbert W. Whiteduck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 181","Gatineau",3,123,0,30,22,12,1,191,492
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 182","Gatineau",2,150,0,46,28,9,0,235,693
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 183","Gatineau",3,100,1,36,20,13,2,175,447
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 184","Gatineau",2,111,2,30,8,10,0,163,422
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 185","Gatineau",1,130,1,35,31,6,0,204,687
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 186","Gatineau",2,102,2,44,29,14,3,196,509
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 187","Gatineau",3,78,3,22,15,8,2,131,478
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 188","Gatineau",3,106,0,50,16,11,5,191,536
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 189","Gatineau",2,119,0,39,20,9,2,191,511
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 190","Gatineau",1,85,0,47,15,5,4,157,431
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 191","Gatineau",1,109,3,53,17,4,3,190,475
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 192","Gatineau",2,74,1,33,12,3,1,126,327
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 193","Gatineau",3,91,1,43,15,10,0,163,470
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 194","Gatineau",1,115,2,49,8,14,2,191,644
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 195","Gatineau",1,128,0,68,18,10,3,228,543
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 196","Gatineau",3,106,0,53,12,15,0,189,472
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 197","Gatineau",3,123,1,69,25,16,3,240,625
24057,"Pontiac--Kitigan Zibi/Pontiac--Kitigan Zibi"," 198","Gatineau",5,113,2,47,22,7,3,199,562
