Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Omar Abubakar,Albert Carson,Lindsey Machona,Billy Morin,Colleen Rice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 91B","Edmonton",4,2,45,73,2,6,132,349
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 92","Edmonton",11,3,74,74,3,0,165,492
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 93","Edmonton",10,2,36,70,1,1,120,367
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 94","Edmonton",17,2,62,66,1,3,151,468
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 95","Edmonton",12,1,38,73,0,0,124,408
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 96","Edmonton",14,3,72,92,2,0,183,615
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 97","Edmonton",15,2,89,71,0,2,179,549
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 98A","Edmonton",17,3,86,68,1,1,176,296
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 98B","Edmonton",15,4,21,27,5,0,72,238
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 98C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux due n°98B,,,,,,,126
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 99","Edmonton",8,1,32,35,0,1,77,364
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 100","Edmonton",14,1,46,60,0,0,121,381
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 101","Edmonton",12,2,37,62,3,1,117,356
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 102","Edmonton",19,2,38,71,2,0,132,366
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 103","Edmonton",15,1,42,84,0,0,142,311
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 104","Edmonton",12,2,57,79,1,0,151,397
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 105","Edmonton",21,2,57,68,1,0,149,422
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 106","Edmonton",21,4,70,132,3,0,230,444
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 107","Edmonton",19,5,41,80,4,0,149,343
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 108","Edmonton",30,0,49,92,1,0,172,379
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 109","Edmonton",19,0,38,72,1,1,131,262
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 110","Edmonton",23,0,69,108,1,0,201,478
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 111","Edmonton",21,4,65,193,2,2,287,667
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 112A","Edmonton",17,2,40,136,1,1,197,400
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 112B","Edmonton",20,4,32,100,3,1,160,314
