Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,John Janssen,Garry Keller,Valerie Kennedy,Louise Poitras,Pauline Rochefort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 14","Hanbury",0,132,17,0,56,1,206,403
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 15","Kerns",3,188,33,5,58,0,287,623
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 16","James",2,180,29,0,66,2,279,416
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 17","Sutton Bay",0,116,15,3,95,0,229,412
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 18","Temiskaming Shores",2,135,23,0,118,0,278,681
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19A","Temiskaming Shores",1,74,17,2,100,1,195,488
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 19B","Mobile poll/Bureau itinérant",1,32,15,1,57,2,108,75
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 20","Temiskaming Shores",0,64,18,1,65,0,148,443
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 21","Temiskaming Shores",2,66,18,2,65,0,153,436
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 22","Temiskaming Shores",2,80,16,0,73,0,171,499
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 23","Temiskaming Shores",3,71,21,3,70,1,169,492
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 24","Temiskaming Shores",2,67,14,1,62,1,147,566
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 25","Temiskaming Shores",1,60,13,0,41,0,115,388
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 26","Temiskaming Shores",2,48,10,1,53,1,115,300
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 27","Temiskaming Shores",2,75,15,2,81,0,175,472
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 28","Hillview",3,142,36,1,100,2,284,474
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 29","Cobalt",1,60,16,2,20,2,101,320
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 30","Coleman",1,66,12,1,46,2,128,396
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 31","Dane",5,119,19,0,76,0,219,544
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 32","Temiskaming Shores",0,61,22,6,58,0,147,455
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 33","Temiskaming Shores",2,120,22,2,83,2,231,633
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 34","Temiskaming Shores",1,69,16,1,56,0,143,463
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 35","Temiskaming Shores",2,101,31,3,56,1,194,494
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 36","Temiskaming Shores",3,65,17,0,60,0,145,402
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 37","Temiskaming Shores",3,107,14,1,47,1,173,511
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 38","Timiskaming, Unorganized, West Part",2,124,25,4,112,0,267,668
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 39","Latchford",5,163,20,3,91,0,282,586
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 40","Temagami",0,72,13,1,32,0,118,365
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 41","Bear Island 1",1,15,8,3,89,0,116,166
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 42","Temagami",3,92,12,1,47,0,155,455
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 43","Nipissing, Unorganized, North Part",4,57,5,1,44,0,111,169
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 44","Thorne",4,127,17,3,69,0,220,385
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 45","Balsam Creek",1,80,6,0,49,0,136,363
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 46","North Bay",1,46,4,0,19,0,70,234
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 47","Songis--Redbridge",6,115,19,7,80,1,228,602
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 48","Mattawa",3,82,6,2,32,1,126,379
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 49","Mattawa",1,53,3,1,38,0,96,318
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 50","Mattawa",1,82,13,2,41,0,139,395
35073,"Nipissing--Timiskaming/Nipissing--Timiskaming"," 51","North Bay",2,123,15,0,93,0,233,689
