Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Terry Beech,Michael Charrois,Mauro Francis,Jesse Fulton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 154","Burnaby",71,20,46,0,2,139,385
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 155","Burnaby",64,15,71,4,0,154,373
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 156","Burnaby",49,10,51,1,2,113,434
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 157","Burnaby",48,5,66,0,0,119,413
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 158","Burnaby",58,10,67,4,1,140,411
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 159","Burnaby",49,3,50,0,1,103,383
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 160","Burnaby",40,15,33,0,0,88,390
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 161","Burnaby",68,10,65,0,0,143,460
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 162","Burnaby",56,19,57,0,0,132,408
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 163","Burnaby",47,8,61,1,0,117,410
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 164","Burnaby",65,11,74,1,0,151,399
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 165","Burnaby",74,11,64,1,0,150,412
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 166","Burnaby",71,17,72,3,1,164,495
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 167","Burnaby",88,10,101,1,0,200,477
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 168","Burnaby",74,17,52,1,0,144,459
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 169","Burnaby",97,13,86,0,1,197,530
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 170","Burnaby",49,3,46,0,1,99,473
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 171","Burnaby",68,14,50,1,0,133,487
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 172","Burnaby",50,3,71,0,0,124,538
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 173","Burnaby",50,7,48,0,0,105,459
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 174","Burnaby",69,4,49,1,0,123,442
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 175","Burnaby",92,14,63,1,1,171,534
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 176","Burnaby",85,11,60,1,2,159,489
