Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mathieu Dufort,Gregory Evdokias,Tommy Fournier,Raymond Frizzell,Matthew Rusniak,Francis Scarpaleggia,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,8
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 523","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,1
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 524","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,2
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 525","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,12
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 526","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,48
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 527","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,5
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 528","Baie-D'Urfé",Combined with No./Résultats combinés à ceux du n°179,,,,,,,,2
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 529","Mobile poll/Bureau itinérant",0,2,0,3,9,84,7,105,113
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 530","Baie-D'Urfé",Combined with No./Résultats combinés à ceux du n°175,,,,,,,,1
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 531","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°529,,,,,,,,8
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 600","Kirkland",3,14,13,6,179,519,1,735,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 601","Pointe-Claire",13,46,45,19,347,1127,5,1602,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 602","Pointe-Claire",16,59,44,30,252,1320,1,1722,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 603","Pointe-Claire",8,32,49,30,209,1292,10,1630,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 604","Pointe-Claire",6,36,46,11,161,1026,1,1287,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 605","Pointe-Claire",6,47,25,23,275,1251,5,1632,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 606","Pointe-Claire",9,38,36,13,254,1132,3,1485,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 607","Kirkland",9,20,36,10,343,1149,3,1570,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 608","Montréal",3,24,68,25,253,784,4,1161,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 609","Montréal",7,23,70,10,228,608,3,949,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 610","Montréal",8,24,68,8,357,927,4,1396,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 611","Montréal",13,24,53,14,265,947,6,1322,
24034,"Lac-Saint-Louis/Lac-Saint-Louis"," 612","Kirkland",12,37,48,10,384,1382,3,1876,
