Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 26","Waterloo",91,122,2,8,2,1,0,1,2,0,229,554
35114,"Waterloo/Waterloo"," 27","Waterloo",65,95,0,6,13,0,0,1,1,0,181,395
35114,"Waterloo/Waterloo"," 28","Waterloo",71,91,1,5,8,1,0,1,0,0,178,469
35114,"Waterloo/Waterloo"," 29","Waterloo",59,123,1,5,12,0,0,0,0,0,200,494
35114,"Waterloo/Waterloo"," 30","Kitchener",82,99,0,4,2,1,0,0,0,0,188,490
35114,"Waterloo/Waterloo"," 31","Waterloo",67,107,0,5,0,0,0,0,2,0,181,371
35114,"Waterloo/Waterloo"," 32","Waterloo",56,90,0,3,3,0,1,0,0,2,155,387
35114,"Waterloo/Waterloo"," 33","Waterloo",67,88,0,7,5,0,0,0,2,1,170,376
35114,"Waterloo/Waterloo"," 34","Waterloo",61,85,0,6,4,0,0,0,2,0,158,376
35114,"Waterloo/Waterloo"," 35","Waterloo",68,90,1,6,3,0,0,1,1,0,170,396
35114,"Waterloo/Waterloo"," 36","Waterloo",73,111,1,11,2,0,0,0,2,0,200,510
35114,"Waterloo/Waterloo"," 37","Waterloo",73,85,0,3,3,0,0,0,2,1,167,431
35114,"Waterloo/Waterloo"," 38","Waterloo",68,87,1,7,11,0,0,0,2,1,177,522
35114,"Waterloo/Waterloo"," 39","Waterloo",71,87,0,7,7,0,2,3,3,2,182,402
35114,"Waterloo/Waterloo"," 40","Waterloo",49,96,0,23,1,0,0,0,1,0,170,529
35114,"Waterloo/Waterloo"," 41","Waterloo",36,60,0,9,10,1,1,1,2,1,121,492
35114,"Waterloo/Waterloo"," 42","Waterloo",67,92,0,10,7,2,1,0,0,5,184,492
35114,"Waterloo/Waterloo"," 43","Waterloo",58,63,0,21,4,0,3,0,2,4,155,506
35114,"Waterloo/Waterloo"," 44","Waterloo",64,69,0,1,2,0,0,1,0,0,137,368
35114,"Waterloo/Waterloo"," 45","Waterloo",91,109,0,15,10,0,1,0,4,2,232,491
35114,"Waterloo/Waterloo"," 46","Waterloo",66,86,0,12,12,1,0,2,0,0,179,461
35114,"Waterloo/Waterloo"," 47","Waterloo",72,83,0,8,7,0,1,0,0,0,171,425
35114,"Waterloo/Waterloo"," 48","Waterloo",51,77,0,9,2,1,0,0,2,0,142,411
35114,"Waterloo/Waterloo"," 49","Waterloo",73,99,1,13,3,0,1,3,9,2,204,437
35114,"Waterloo/Waterloo"," 50","Waterloo",53,78,1,4,3,0,0,0,1,0,140,435
35114,"Waterloo/Waterloo"," 51","Waterloo",69,73,1,11,2,0,0,0,0,0,156,466
35114,"Waterloo/Waterloo"," 52","Waterloo",62,100,1,9,8,0,0,0,0,0,180,441
35114,"Waterloo/Waterloo"," 53","Waterloo",87,112,1,4,6,0,0,0,1,0,211,561
35114,"Waterloo/Waterloo"," 54","Waterloo",67,129,0,6,3,1,0,0,0,0,206,437
35114,"Waterloo/Waterloo"," 55","Waterloo",71,116,1,8,1,0,1,0,1,0,199,428
35114,"Waterloo/Waterloo"," 56","Waterloo",66,98,1,7,2,0,0,1,1,0,176,459
35114,"Waterloo/Waterloo"," 57","Waterloo",87,110,1,8,4,0,0,1,0,0,211,467
35114,"Waterloo/Waterloo"," 58","Waterloo",79,92,1,5,7,0,1,0,2,1,188,445
35114,"Waterloo/Waterloo"," 59","Waterloo",60,102,0,3,4,0,0,3,1,0,173,359
35114,"Waterloo/Waterloo"," 60","Waterloo",57,91,1,5,4,0,0,1,3,0,162,389
35114,"Waterloo/Waterloo"," 61","Waterloo",74,107,1,7,5,0,0,0,0,1,195,418
