Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 77","Prince George",12,1,96,46,2,1,1,0,159,515
59004,"Cariboo--Prince George/Cariboo--Prince George"," 78","Prince George",15,2,112,55,0,2,0,1,187,541
59004,"Cariboo--Prince George/Cariboo--Prince George"," 79","Prince George",9,3,100,36,1,0,1,0,150,390
59004,"Cariboo--Prince George/Cariboo--Prince George"," 80","Prince George",10,1,101,34,1,0,0,4,151,439
59004,"Cariboo--Prince George/Cariboo--Prince George"," 81","Prince George",9,1,62,34,0,0,1,0,107,263
59004,"Cariboo--Prince George/Cariboo--Prince George"," 82","Prince George",5,0,91,22,0,1,0,0,119,257
59004,"Cariboo--Prince George/Cariboo--Prince George"," 83","Prince George",10,0,84,61,2,0,0,0,157,499
59004,"Cariboo--Prince George/Cariboo--Prince George"," 84","Prince George",8,1,121,51,1,0,0,0,182,488
59004,"Cariboo--Prince George/Cariboo--Prince George"," 85","Prince George",7,2,72,19,2,0,0,0,102,295
59004,"Cariboo--Prince George/Cariboo--Prince George"," 86","Nechako",10,2,132,51,1,0,4,2,202,452
