Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Cody Chenier,Sandy Crawley,Carla Green,Matthew Green,Hayden Lawrence,Michael Loomans,Aslam Rana,David Speicher,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton Centre/Hamilton-Centre"," 520","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°506,,,,,,,,,,38
35036,"Hamilton Centre/Hamilton-Centre"," 521","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°504,,,,,,,,,,16
35036,"Hamilton Centre/Hamilton-Centre"," 522","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°509,,,,,,,,,,11
35036,"Hamilton Centre/Hamilton-Centre"," 523","Mobile poll/Bureau itinérant",0,2,2,19,6,0,19,2,2,52,56
35036,"Hamilton Centre/Hamilton-Centre"," 524","Mobile poll/Bureau itinérant",1,2,3,21,15,0,51,1,3,97,83
35036,"Hamilton Centre/Hamilton-Centre"," 525","Mobile poll/Bureau itinérant",0,5,0,8,12,0,20,0,3,48,34
35036,"Hamilton Centre/Hamilton-Centre"," 600","Hamilton ",1,17,0,270,158,0,377,8,2,833,
35036,"Hamilton Centre/Hamilton-Centre"," 601","Hamilton ",1,4,2,201,117,0,273,4,1,603,
35036,"Hamilton Centre/Hamilton-Centre"," 602","Hamilton ",2,3,2,218,204,3,260,11,3,706,
35036,"Hamilton Centre/Hamilton-Centre"," 603","Hamilton ",5,8,3,295,273,0,340,7,1,932,
35036,"Hamilton Centre/Hamilton-Centre"," 604","Hamilton ",0,4,2,117,244,3,167,3,4,544,
35036,"Hamilton Centre/Hamilton-Centre"," 605","Hamilton ",0,5,0,45,116,0,88,0,0,254,
35036,"Hamilton Centre/Hamilton-Centre"," 606","Hamilton ",5,12,4,240,486,3,588,19,5,1362,
35036,"Hamilton Centre/Hamilton-Centre"," 607","Hamilton ",5,13,2,284,410,2,461,5,12,1194,
35036,"Hamilton Centre/Hamilton-Centre"," 608","Hamilton ",5,12,0,364,412,2,438,6,6,1245,
35036,"Hamilton Centre/Hamilton-Centre"," 609","Hamilton ",1,23,2,374,282,0,535,4,5,1226,
35036,"Hamilton Centre/Hamilton-Centre"," 610","Hamilton ",3,15,4,436,272,1,445,5,2,1183,
35036,"Hamilton Centre/Hamilton-Centre"," 611","Hamilton ",2,14,1,322,211,0,328,9,4,891,
35036,"Hamilton Centre/Hamilton-Centre"," 612","Hamilton ",1,9,1,199,174,0,205,6,3,598,
35036,"Hamilton Centre/Hamilton-Centre"," 613","Hamilton ",4,4,1,145,128,1,205,7,2,497,
35036,"Hamilton Centre/Hamilton-Centre"," 614","Hamilton ",0,4,5,207,167,0,369,12,1,765,
35036,"Hamilton Centre/Hamilton-Centre"," 615","Hamilton ",0,9,2,196,155,2,368,3,1,736,
35036,"Hamilton Centre/Hamilton-Centre"," 616","Hamilton ",1,13,0,282,130,3,452,1,1,883,
