Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 161","Sainte-Agathe-des-Monts",2,56,0,10,49,36,6,159,495
24036,"Laurentides--Labelle/Laurentides--Labelle"," 162","Sainte-Agathe-des-Monts",1,83,8,1,35,47,1,176,517
24036,"Laurentides--Labelle/Laurentides--Labelle"," 163","Val-Morin",3,58,3,5,22,70,1,162,475
24036,"Laurentides--Labelle/Laurentides--Labelle"," 164","Val-Morin",2,69,4,7,13,38,4,137,357
24036,"Laurentides--Labelle/Laurentides--Labelle"," 165","Val-David",2,59,7,10,20,26,3,127,405
24036,"Laurentides--Labelle/Laurentides--Labelle"," 166","Val-David",0,54,4,2,21,52,2,135,424
24036,"Laurentides--Labelle/Laurentides--Labelle"," 167","Val-Morin",3,56,4,8,31,46,2,150,430
24036,"Laurentides--Labelle/Laurentides--Labelle"," 168","Val-Morin",9,68,5,9,20,52,6,169,430
24036,"Laurentides--Labelle/Laurentides--Labelle"," 169","Val-Morin",8,83,2,12,35,40,6,186,431
24036,"Laurentides--Labelle/Laurentides--Labelle"," 170","Val-Morin",5,84,6,7,30,66,5,203,445
24036,"Laurentides--Labelle/Laurentides--Labelle"," 171","Notre-Dame-de-Pontmain",4,97,3,6,33,72,2,217,439
24036,"Laurentides--Labelle/Laurentides--Labelle"," 172","Notre-Dame-de-Pontmain",5,65,0,1,46,74,4,195,398
24036,"Laurentides--Labelle/Laurentides--Labelle"," 173","Brébeuf",4,126,9,8,48,58,7,260,442
24036,"Laurentides--Labelle/Laurentides--Labelle"," 174","Brébeuf",3,118,4,6,53,82,6,272,443
24036,"Laurentides--Labelle/Laurentides--Labelle"," 175","Vendée",10,148,6,3,37,111,6,321,492
24036,"Laurentides--Labelle/Laurentides--Labelle"," 176","Saint-Rémi-d'Amherst",5,88,2,10,54,39,5,203,418
24036,"Laurentides--Labelle/Laurentides--Labelle"," 177","Saint-Rémi-d'Amherst",2,120,5,5,51,78,4,265,455
