Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Beauregard,Meryem Benslimane,Micheline Boucher Granger,Pierre Branchaud,Josée Larose,Monique Pauzé,Samuel Saint-Laurent,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 157","Repentigny",17,16,2,15,64,130,3,5,252,497
24060,"Repentigny/Repentigny"," 158","Repentigny",8,21,1,5,42,116,0,4,197,461
24060,"Repentigny/Repentigny"," 159","Repentigny",7,12,2,19,46,110,2,6,204,414
24060,"Repentigny/Repentigny"," 160","Repentigny",11,22,1,19,71,145,2,5,276,507
24060,"Repentigny/Repentigny"," 161","Repentigny",14,12,1,15,75,127,0,9,253,460
24060,"Repentigny/Repentigny"," 162","Repentigny",8,6,2,14,51,109,1,6,197,421
24060,"Repentigny/Repentigny"," 163","Repentigny",7,12,1,22,33,151,1,0,227,422
24060,"Repentigny/Repentigny"," 164","Repentigny",6,11,3,17,48,107,0,1,193,489
24060,"Repentigny/Repentigny"," 165","Repentigny",9,13,0,12,73,99,2,2,210,419
24060,"Repentigny/Repentigny"," 166","Repentigny",9,14,1,12,70,118,3,3,230,401
24060,"Repentigny/Repentigny"," 167","Repentigny",5,22,0,10,89,93,1,2,222,357
24060,"Repentigny/Repentigny"," 168","Repentigny",7,11,0,15,89,129,2,0,253,435
24060,"Repentigny/Repentigny"," 169","Repentigny",4,14,1,12,60,92,2,3,188,358
24060,"Repentigny/Repentigny"," 170","Repentigny",5,15,0,6,57,93,1,2,179,325
24060,"Repentigny/Repentigny"," 171","Repentigny",8,8,0,19,44,97,2,5,183,361
24060,"Repentigny/Repentigny"," 172","Repentigny",6,15,2,12,56,83,1,1,176,327
24060,"Repentigny/Repentigny"," 173","Repentigny",11,13,2,15,33,127,1,0,202,432
24060,"Repentigny/Repentigny"," 174A","Repentigny",5,11,0,9,30,59,0,3,117,366
24060,"Repentigny/Repentigny"," 174B","Repentigny",4,5,0,7,29,63,0,3,111,376
24060,"Repentigny/Repentigny"," 175","Charlemagne",14,10,1,12,48,121,1,2,209,410
24060,"Repentigny/Repentigny"," 176","Charlemagne",6,13,3,7,53,127,2,3,214,469
24060,"Repentigny/Repentigny"," 177","Repentigny",8,12,1,18,30,82,2,6,159,380
24060,"Repentigny/Repentigny"," 178","Repentigny",8,11,1,17,74,105,0,6,222,480
24060,"Repentigny/Repentigny"," 179","Repentigny",13,16,2,8,58,108,0,3,208,398
24060,"Repentigny/Repentigny"," 180","Repentigny",9,13,0,10,73,124,0,7,236,426
24060,"Repentigny/Repentigny"," 181","Repentigny",4,17,2,21,57,113,1,4,219,395
24060,"Repentigny/Repentigny"," 182","Repentigny",4,28,1,11,48,116,0,2,210,466
24060,"Repentigny/Repentigny"," 183","Repentigny",6,18,0,10,50,82,3,3,172,357
24060,"Repentigny/Repentigny"," 184","Repentigny",9,21,0,10,45,97,5,5,192,398
24060,"Repentigny/Repentigny"," 185","Repentigny",5,25,3,8,42,114,2,2,201,375
24060,"Repentigny/Repentigny"," 186","Repentigny",8,11,0,18,55,99,1,3,195,343
24060,"Repentigny/Repentigny"," 187","Repentigny",9,14,0,11,46,94,0,6,180,332
24060,"Repentigny/Repentigny"," 188","Repentigny",13,24,1,11,68,117,1,0,235,602
24060,"Repentigny/Repentigny"," 189","Repentigny",8,5,0,13,68,81,2,8,185,395
24060,"Repentigny/Repentigny"," 190","Repentigny",4,9,1,14,66,137,3,7,241,473
24060,"Repentigny/Repentigny"," 191","Repentigny",2,2,1,18,72,105,0,3,203,532
24060,"Repentigny/Repentigny"," 192","Repentigny",7,5,1,12,24,52,2,2,105,260
24060,"Repentigny/Repentigny"," 193","Repentigny",6,19,1,17,61,96,2,5,207,448
24060,"Repentigny/Repentigny"," 194","Repentigny",2,2,2,8,25,62,2,2,105,306
24060,"Repentigny/Repentigny"," 195","Repentigny",4,13,3,6,47,87,0,5,165,363
24060,"Repentigny/Repentigny"," 196","Repentigny",6,9,1,9,47,91,3,2,168,355
24060,"Repentigny/Repentigny"," 197","Repentigny",5,20,0,14,67,99,2,6,213,440
