Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 22","Toronto",2,103,0,12,14,1,0,73,0,0,205,453
35110,"University--Rosedale/University--Rosedale"," 23","Toronto",0,139,2,13,17,1,0,70,0,2,244,550
35110,"University--Rosedale/University--Rosedale"," 24","Toronto",0,139,0,21,25,0,0,47,0,0,232,508
35110,"University--Rosedale/University--Rosedale"," 25","Toronto",1,114,0,23,17,0,0,61,2,0,218,487
35110,"University--Rosedale/University--Rosedale"," 26","Toronto",0,152,0,17,21,1,0,63,3,1,258,365
35110,"University--Rosedale/University--Rosedale"," 27","Toronto",1,179,2,41,39,3,0,58,0,0,323,566
35110,"University--Rosedale/University--Rosedale"," 28","Toronto",0,65,0,5,15,2,0,37,0,0,124,393
35110,"University--Rosedale/University--Rosedale"," 29","Toronto",0,85,0,5,11,0,0,23,0,2,126,328
35110,"University--Rosedale/University--Rosedale"," 30","Toronto",0,81,0,9,9,2,0,25,0,0,126,348
35110,"University--Rosedale/University--Rosedale"," 31","Toronto",1,170,2,25,40,1,0,39,2,0,280,568
35110,"University--Rosedale/University--Rosedale"," 32","Toronto",1,102,0,6,12,1,0,29,3,0,154,367
35110,"University--Rosedale/University--Rosedale"," 33","Toronto",1,114,4,12,15,1,0,46,1,1,195,481
35110,"University--Rosedale/University--Rosedale"," 34","Toronto",0,105,0,5,10,4,0,103,1,0,228,388
35110,"University--Rosedale/University--Rosedale"," 35A","Toronto",1,105,0,8,13,2,0,72,0,2,203,546
35110,"University--Rosedale/University--Rosedale"," 35B","Toronto",Merged with No./Fusionné avec le n°411,,,,,,,,,,,84
35110,"University--Rosedale/University--Rosedale"," 36","Toronto",0,95,2,8,17,2,0,69,0,0,193,498
35110,"University--Rosedale/University--Rosedale"," 37","Toronto",1,98,1,5,6,2,0,41,0,1,155,360
35110,"University--Rosedale/University--Rosedale"," 38","Toronto",0,118,0,25,28,5,0,50,0,0,226,490
35110,"University--Rosedale/University--Rosedale"," 39","Toronto",0,69,0,11,43,1,0,24,1,0,149,370
35110,"University--Rosedale/University--Rosedale"," 40","Toronto",Merged with No./Fusionné avec le n°34,,,,,,,,,,,228
35110,"University--Rosedale/University--Rosedale"," 41","Toronto",0,158,0,19,38,7,0,59,0,6,287,407
35110,"University--Rosedale/University--Rosedale"," 42","Toronto",2,124,0,22,44,0,0,50,1,2,245,447
35110,"University--Rosedale/University--Rosedale"," 43","Toronto",0,127,0,11,23,1,0,53,0,6,221,431
