Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryton Cherrier,Marc Dalton,Ariane Jaschke,John Mogk,Steve Ranta,Dan Ruimy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 127","Maple Ridge",2,76,11,52,0,68,0,209,469
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 128","Maple Ridge",2,83,16,71,1,73,0,246,423
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 129","Maple Ridge",3,74,19,81,1,66,0,244,488
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 130","Maple Ridge",8,101,15,75,3,76,3,281,482
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 131","Maple Ridge",3,80,17,69,2,82,2,255,499
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 132","Maple Ridge",1,88,17,39,2,84,2,233,522
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 133","Maple Ridge",1,83,24,63,1,54,0,226,525
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 134","Maple Ridge",6,91,16,74,2,82,0,271,521
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 135","Maple Ridge",5,129,22,60,2,92,0,310,658
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 136","Maple Ridge",1,98,28,75,1,82,0,285,521
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 137","Maple Ridge",3,104,20,65,2,91,0,285,599
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 138","Maple Ridge",1,91,20,38,1,72,0,223,454
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 139","Maple Ridge",7,126,28,59,0,57,0,277,539
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 140","Maple Ridge",9,107,25,81,4,74,0,300,543
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 141","Maple Ridge",3,74,9,33,1,69,0,189,433
