Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 20","Medicine Hat",4,10,190,4,1,18,1,228,427
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 21","Medicine Hat",6,10,195,5,4,28,1,249,470
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 22","Medicine Hat",4,10,162,3,4,15,0,198,394
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 23","Medicine Hat",6,9,164,8,2,17,0,206,388
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 24","Medicine Hat",2,4,85,1,0,17,1,110,186
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 25","Medicine Hat",4,16,124,6,1,14,0,165,455
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 26","Medicine Hat",12,25,117,14,5,24,5,202,449
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 27","Medicine Hat",8,21,121,5,1,29,1,186,429
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 28","Medicine Hat",6,29,156,2,1,11,10,215,406
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 29","Medicine Hat",5,18,240,11,3,31,1,309,556
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 30","Medicine Hat",7,44,262,4,2,39,1,359,648
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 31","Medicine Hat",4,13,187,11,1,19,1,236,451
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 32","Medicine Hat",8,29,210,1,1,14,1,264,454
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 33","Medicine Hat",4,26,217,4,3,32,2,288,518
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 34","Medicine Hat",5,27,152,12,1,26,0,223,428
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 35","Medicine Hat",3,31,169,1,1,23,1,229,414
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 36","Medicine Hat",13,34,223,6,3,42,3,324,502
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 37","Medicine Hat",8,16,151,5,2,34,0,216,430
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 38","Medicine Hat",3,8,139,4,0,21,0,175,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 39","Medicine Hat",1,9,143,10,4,18,1,186,362
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 40","Medicine Hat",4,21,150,10,1,20,1,207,378
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 41","Medicine Hat",7,24,124,6,1,31,0,193,351
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 42","Medicine Hat",8,18,171,6,2,41,1,247,452
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 43","Medicine Hat",16,18,130,7,1,28,1,201,441
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 44","Medicine Hat",9,17,154,3,2,32,1,218,433
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 45","Medicine Hat",6,15,136,5,2,24,1,189,412
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 46","Medicine Hat",4,5,125,6,2,14,0,156,430
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 47","Medicine Hat",6,6,268,8,5,15,4,312,569
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 48","Medicine Hat",4,15,130,3,2,11,1,166,507
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 49","Medicine Hat",6,5,163,6,0,4,0,184,392
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 50","Medicine Hat",11,27,192,11,4,44,0,289,508
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 51","Medicine Hat",13,32,137,10,4,28,2,226,441
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 52","Medicine Hat",9,20,137,9,1,23,2,201,431
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 53","Medicine Hat",12,26,118,8,1,37,3,205,422
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 54","Medicine Hat",10,15,96,7,2,49,0,179,437
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 55","Medicine Hat",11,21,114,4,1,27,0,178,363
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 56","Medicine Hat",7,30,105,7,3,44,4,200,402
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 57","Medicine Hat",8,18,110,4,2,28,1,171,360
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 58","Medicine Hat",6,13,124,4,0,19,1,167,378
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 59","Medicine Hat",10,16,142,9,2,39,1,219,404
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 60","Medicine Hat",10,29,172,4,5,37,3,260,415
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 61","Medicine Hat",11,35,158,10,2,56,2,274,485
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 62","Medicine Hat",10,20,116,2,0,35,2,185,446
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 63","Medicine Hat",5,22,113,7,1,37,2,187,348
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 64","Medicine Hat",7,19,134,8,3,33,2,206,454
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 65","Medicine Hat",4,11,145,10,3,22,3,198,389
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 66","Medicine Hat",9,17,150,12,5,31,0,224,478
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 67","Medicine Hat",7,20,124,6,2,24,0,183,375
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 68","Medicine Hat",6,23,151,5,2,24,0,211,358
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 69","Medicine Hat",2,18,170,4,0,17,2,213,399
