Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,Victoria Hernandez,Barbara Joannette,Isabelle Lapointe,Jean-Claude Poissant,Alain Therrien,Gregory Yablunovsky,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"La Prairie/La Prairie"," 127","Saint-Constant",2,29,9,25,85,139,0,5,294,536
24034,"La Prairie/La Prairie"," 128","Saint-Constant",0,13,15,23,104,133,0,6,294,547
24034,"La Prairie/La Prairie"," 129","Saint-Constant",0,35,4,15,94,104,0,5,257,484
24034,"La Prairie/La Prairie"," 130","Saint-Constant",0,15,7,13,72,127,0,5,239,461
24034,"La Prairie/La Prairie"," 131","Saint-Constant",0,25,8,15,54,118,1,5,226,513
24034,"La Prairie/La Prairie"," 132","Saint-Constant",1,23,10,34,69,134,2,5,278,538
24034,"La Prairie/La Prairie"," 133","Saint-Constant",0,23,12,22,78,114,2,3,254,461
24034,"La Prairie/La Prairie"," 134","Saint-Constant",0,31,11,15,75,114,0,2,248,561
24034,"La Prairie/La Prairie"," 135","Saint-Constant",0,23,12,18,68,107,1,2,231,468
24034,"La Prairie/La Prairie"," 136","Sainte-Catherine",0,19,11,29,48,104,3,11,225,505
24034,"La Prairie/La Prairie"," 137","Sainte-Catherine",0,16,11,21,70,134,2,3,257,512
24034,"La Prairie/La Prairie"," 138","Sainte-Catherine",1,14,9,17,63,91,0,4,199,417
24034,"La Prairie/La Prairie"," 139","Sainte-Catherine",0,9,5,15,34,88,2,2,155,403
24034,"La Prairie/La Prairie"," 140","Sainte-Catherine",0,8,4,25,41,78,3,3,162,406
24034,"La Prairie/La Prairie"," 141","Sainte-Catherine",0,14,9,12,44,90,0,4,173,387
24034,"La Prairie/La Prairie"," 142","Sainte-Catherine",0,14,7,14,52,93,3,4,187,394
24034,"La Prairie/La Prairie"," 143","Sainte-Catherine",0,25,7,9,50,133,1,4,229,441
24034,"La Prairie/La Prairie"," 144","Kahnawake 14",0,17,1,3,22,0,1,0,44,2325
