Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 120","Les Coteaux",12,0,104,59,19,18,1,5,218,477
24071,"Salaberry--Suroît/Salaberry--Suroît"," 121","Les Coteaux",10,0,125,59,21,12,2,2,231,431
24071,"Salaberry--Suroît/Salaberry--Suroît"," 122","Les Coteaux",7,0,91,46,19,15,2,1,181,367
24071,"Salaberry--Suroît/Salaberry--Suroît"," 123","Les Coteaux",5,0,83,58,17,15,3,6,187,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 124","Les Coteaux",3,0,80,38,8,10,0,1,140,342
24071,"Salaberry--Suroît/Salaberry--Suroît"," 125","Les Coteaux",9,2,109,44,21,21,0,1,207,492
24071,"Salaberry--Suroît/Salaberry--Suroît"," 126","Les Coteaux",5,0,39,32,10,5,4,1,96,269
24071,"Salaberry--Suroît/Salaberry--Suroît"," 127","Les Coteaux",6,0,49,25,14,11,0,2,107,248
24071,"Salaberry--Suroît/Salaberry--Suroît"," 128","Salaberry-de-Valleyfield",5,2,114,59,12,17,5,6,220,455
24071,"Salaberry--Suroît/Salaberry--Suroît"," 129","Salaberry-de-Valleyfield",5,0,111,52,17,13,2,7,207,436
24071,"Salaberry--Suroît/Salaberry--Suroît"," 130","Salaberry-de-Valleyfield",3,1,101,48,13,8,5,2,181,471
24071,"Salaberry--Suroît/Salaberry--Suroît"," 131","Salaberry-de-Valleyfield",6,1,100,69,25,21,2,3,227,564
24071,"Salaberry--Suroît/Salaberry--Suroît"," 132","Salaberry-de-Valleyfield",5,2,68,39,12,10,2,2,140,374
24071,"Salaberry--Suroît/Salaberry--Suroît"," 133","Salaberry-de-Valleyfield",3,1,85,53,18,13,3,2,178,382
24071,"Salaberry--Suroît/Salaberry--Suroît"," 134","Salaberry-de-Valleyfield",7,1,99,38,15,6,3,2,171,433
24071,"Salaberry--Suroît/Salaberry--Suroît"," 135","Salaberry-de-Valleyfield",2,1,74,32,9,12,1,3,134,428
24071,"Salaberry--Suroît/Salaberry--Suroît"," 136","Salaberry-de-Valleyfield",8,0,114,60,17,7,4,0,210,440
24071,"Salaberry--Suroît/Salaberry--Suroît"," 137","Salaberry-de-Valleyfield",2,0,72,40,12,6,0,4,136,364
24071,"Salaberry--Suroît/Salaberry--Suroît"," 138","Salaberry-de-Valleyfield",6,0,82,32,13,10,2,1,146,369
24071,"Salaberry--Suroît/Salaberry--Suroît"," 139","Salaberry-de-Valleyfield",5,0,80,59,11,7,3,4,169,451
24071,"Salaberry--Suroît/Salaberry--Suroît"," 140","Salaberry-de-Valleyfield",3,0,94,64,18,6,1,5,191,420
24071,"Salaberry--Suroît/Salaberry--Suroît"," 141","Salaberry-de-Valleyfield",3,0,48,29,12,15,4,5,116,365
24071,"Salaberry--Suroît/Salaberry--Suroît"," 142","Salaberry-de-Valleyfield",2,5,82,23,12,14,5,4,147,391
24071,"Salaberry--Suroît/Salaberry--Suroît"," 143","Salaberry-de-Valleyfield",4,0,61,41,21,12,1,1,141,381
24071,"Salaberry--Suroît/Salaberry--Suroît"," 144","Salaberry-de-Valleyfield",3,0,52,29,21,14,1,4,124,369
24071,"Salaberry--Suroît/Salaberry--Suroît"," 145","Salaberry-de-Valleyfield",5,1,68,27,14,8,0,5,128,384
24071,"Salaberry--Suroît/Salaberry--Suroît"," 146","Salaberry-de-Valleyfield",3,1,100,31,14,20,3,0,172,380
24071,"Salaberry--Suroît/Salaberry--Suroît"," 147","Salaberry-de-Valleyfield",5,1,83,49,14,6,1,1,160,407
