Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 101","Spruce Grove",0,12,0,18,176,1,0,207,368
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102A","Spruce Grove",7,11,3,15,198,8,0,242,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102B","Spruce Grove",4,16,3,36,183,5,5,252,498
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102C","Spruce Grove",4,13,2,23,174,5,1,222,465
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 103","Spruce Grove",0,14,0,14,171,2,0,201,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 104","Carvel",8,27,1,20,187,8,1,252,394
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 105","Spruce Grove",4,29,4,40,251,5,0,333,659
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 106","Spruce Grove",4,24,3,47,214,7,2,301,615
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 107","Spruce Grove",3,13,0,14,154,4,3,191,434
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 108","Spruce Grove",2,21,0,38,235,4,0,300,579
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 109","Spruce Grove",6,16,0,27,206,8,0,263,563
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 110","Spruce Grove",5,10,1,21,140,4,1,182,412
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 111","Spruce Grove",3,32,1,37,159,6,0,238,526
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 112","Spruce Grove",6,24,1,34,230,4,0,299,608
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 113","Spruce Grove",7,16,2,18,122,3,4,172,408
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 114","Spruce Grove",10,15,0,30,225,6,0,286,610
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 115A","Spruce Grove",6,14,3,24,115,2,0,164,395
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 115B","Spruce Grove",3,16,0,23,154,10,0,206,409
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 116","Spruce Grove",1,26,1,40,176,5,1,250,510
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 117","Spruce Grove",9,15,1,28,169,5,0,227,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 118A","Spruce Grove",9,15,1,17,144,4,0,190,342
